"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,399000,389000,398975,398800,399000,398000,395000,399000,385000,375000,370000,359000,350000,350000,350000,350000,350000,359000,358000,350000,349900,345900,339000,330000,329990,330000,338000,340000,349500,359900,369000,369900,374900,374999,379000,379900,389000,399000,425000,449900,465640,479000,489000,485000,488000,479000,474900,469000,459999,469000,475000,491440,499900,5e+05,514900,509250,515000,499999,509000,499000,491990,499000,519000,539000,564900,569000,569957.5,570000,570000,570000,565000,565000,565000,579000,589000,599000,599000,605000,599999,599500,599000,599999,599999,599000,599900,599900,615000,628949.5,639000,639000,639000,635000,630000,630000,629900,625000,629000,640000,649000,659888,665000,675000,659000,659000,660000,662050,659000,649999,649900,650000,665000,675000,679000,689000
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,244900,249000,249000,249000,245000,245000,239000,237949.5,225000,229059.5,225000,214900,201844,200900,208000,210000,214900,210000,205000,199900,199000,191500,185000,179900,178000,179000,179900,184900,184900,181500,176900,175000,171200,169900,169900,165000,167900,175000,180000,190000,199900,207500,2e+05,199900,205000,199900,199000,189900,185900,199000,216855,225000,234900,238500,237500,232000,229800,224900,219900,214872,2e+05,215000,229365.5,233500,239900,239900,239000,235900,232000,229999,229000,224900,224900,235000,249000,255900,259900,259900,254900,249900,249900,249900,245000,238500,239000,250000,264900,269900,274900,277500,275000,269900,269900,269437.5,262000,254900,259000,274500,280000,289900,294900,294900,289900,288900,289000,285000,282000,278800,280000,289900,299000,3e+05,3e+05,299900
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,149900,152900,154755,154900,155000,155000,151000,150000,155000,154900,155000,153000,150000,150000,153990,153950,155000,155000,154900,153500,149900,150000,149900,149900,149900,149900,151900,154000,156500,158900,157900,158955,158000,155683.5,159900,161990,161900,169900,174000,177000,179500,179950,179990,181925,184900,189900,187046.5,188000,189954.5,199900,204990,214737.5,219000,218000,219000,223500,225000,227613,235000,243700,254992.5,259998,266900,275000,265000,255000,269900,270000,274900,277795,276990,283265,285000,274000,279900,279900,278000,279781,275000,275000,270328.5,269900,269000,269000,269000,269900,272000,275000,277990,275000,270000,270000,275000,275000,275000,279000,279990,283286.5,285000,285000,285000,284900,279950,278000,279437,279000,279000,275120,276990,278995,279900,285000,283990,280972
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,179900,175900,174900,169900,165000,159900,154999,152900,149999,149500,149000,144900,142900,140000,139999,139900,140000,142800,142000,145000,145000,149900,150000,152000,159900,164900,171500,179900,180900,185000,185000,189000,189900,195000,199900,202000,209500,217500,224900,229900,237500,239500,239900,235000,235000,237000,238900,239600,239997,241990,249000,249900,252500,255000,250000,250000,253986.5,255000,255000,257690,259500,260000,268990,275000,279000,278000,270000,278990,279000,279900,283900,283995,285000,287000,289000,289900,290200,294900,289995,289000,289000,289000,289000,289500,289900,294990,297377.5,299900,299999,299900,299900,297900,299000,299900,299900,299900,304900,309900,310000,314900,314997,310445,309500,308000,305935,309900,308000,307990,309990,310000,314900,317995,318317.5,319869
"San Diego County","CA","San Diego-Carlsbad","06","073",5,399000,399000,399500,399990,4e+05,399900,399900,402325,399000,389900,385000,374900,365000,357850,355000,365000,370000,374000,369900,359000,349900,349000,349000,349000,349000,344900,349000,349900,363000,370012.5,375000,376000,375000,379900,379000,380000,389882,399000,419900,430000,449000,450000,460000,460000,459900,455000,450000,455000,460000,469900,479000,490000,464900,489000,499000,499000,495000,489900,499000,489000,489000,495000,525000,539000,550000,529000,560000,560000,565000,569000,569950,579500,575000,575000,575000,579999,585000,589000,590000,585000,584000,580000,575000,575000,578000,579900,585000,598000,599888,599000,599000,599000,598900,596000,595000,590000,594947.5,599000,609000,619000,650000,650000,649000,649000,649000,637500,635000,635000,635000,639000,643950,650000,659000,655000
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,550000,529000,510000,519000,519900,521000,509900,525000,499000,489900,495000,473750,465000,459000,459900,468000,469900,470000,469000,460000,455000,449000,435000,427500,429000,434800,444950,450000,474500,484100,490000,499000,497450,499000,499900,5e+05,509000,535300,559000,575000,598888,599900,6e+05,599900,599989,599900,6e+05,599900,599000,6e+05,615000,625000,629900,639000,639000,640000,649500,647250,649000,639999,639000,649000,660000,675000,689500,699000,690000,689900,694500,695000,689000,695900,689990,698000,699000,7e+05,715000,719000,718853,718400,719000,720000,720000,724900,725000,735000,749888,759000,760000,755000,759000,750000,769000,758888,760900,765000,779000,789900,790000,799000,799250,799000,798994,788000,787888,777888.5,774000,774900,769900,775000,779994.5,790000,798000,798000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,459000,469000,459000,459000,450000,450000,459000,469000,449000,450000,450000,450000,449000,429000,439000,439000,439000,430000,429000,429000,429000,429000,429000,432750,439000,440000,439999,450000,468000,459000,450000,448875,439000,439000,435000,429000,428500,433500,445000,449000,454500,449000,432500,439000,449000,449000,475000,470000,489000,479000,499000,499000,499000,499000,520000,520000,509000,549000,561000,550000,595000,589000,599950,619000,649000,669000,670000,650000,675000,679000,668000,675000,699000,720000,699000,749000,719000,727000,725000,749000,758000,765000,765750,769000,769000,780000,790000,789000,779000,785000,775000,760625,769000,770805,769000,749999.5,750000,729000,739499.5,749000,759000,750000,749000,739949.5,748000,748000,734999.5,730000,725000,728000,748000,750000,769000,769000
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228000,235500,249000,250000,250000,254900,259000,259000,269900,249900,249900,254967,270000,270000,274900,278944.5,275000,279000,279667.5,280000,279000,280000,289000,289000,310000,315000,312990,315000,320000,320000,299000,299000,325000,329000,335000,339800,359000,365000,369000,369000,360000,375000,377000,375000,379000,377938,379900,379000,379900,380000,380000,381365,380000,380000,385000,389000,389900,385000,389900,385000,389900,395000,390000,393198,395000,396918,399000,399000,399000,395000,397000,395000,399000,399900,399000,399900,399000,399000,399900,399900
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,159900,159990,164902.5,169000,168000,169000,165000,159900,160000,160000,159500,149900,146818.5,147990,149900,149900,154900,155000,154900,150000,149900,149900,149500,147990,144900,149000,149900,150525,159900,161550,159000,157000,154900,157990,159900,160000,159900,161900,175000,180000,185000,184900,180000,179900,179900,179900,179900,179900,179500,184450,190000,197995,209900,196999.5,199000,212950,199900,199900,2e+05,210000,214994.5,225000,238900,240000,243250,239900,229000,229999,236990,240000,245000,245000,244000,244000,265000,274992.5,279900,279900,275000,275000,279000,283245,279990,280000,282000,295000,296990,310000,319914.5,314900,307000,299900,299900,3e+05,299997,299900,299510,309900,310000,318000,325000,319900,314945,299990,3e+05,303000,309000,299900,299900,305000,313000,325000,325000,324000
"Queens County","NY","New York-Newark-Jersey City","36","081",10,409000,4e+05,375000,375000,375000,372620,365000,375000,388880,389000,379000,379000,375000,359000,364000,358000,357000,355000,349000,339000,329000,319000,319000,319000,319000,317500,299000,305000,299000,305000,315000,305000,299894,299888,3e+05,299888,299000,309000,299000,299000,310000,310000,319999,325287.5,329900,335000,339000,339000,338888,330000,349000,349999,349990,355000,359000,359000,368000,359900,369000,369777,375000,385000,389000,379999.5,389000,399000,399999,413000,418800,429000,425000,429000,444550,450000,455000,458220,460000,470000,475000,475000,476000,475000,474850,475949.5,479999,489000,490000,499000,519000,525000,525000,525000,529000,530000,530000,529000,529000,515000,509999,510444,548000,551000,559000,550500,559000,562000,558950,559000,558888,556500,559000,569000,585000,589999
