"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"United States",0,204000,202500,204499,2e+05,2e+05,199990,199900,199500,199000,196900,194900,189500,185000,184900,187900,187500,189900,189900,189900,189900,189500,188900,185000,182000,180000,184000,185000,187400,189000,189500,189000,187700,185000,184900,184900,182500,184900,189000,190000,198000,199900,199900,199900,199900,199900,199900,199900,199000,199000,199900,208000,214900,219000,219900,219900,219900,219000,217900,217990,214900,215000,219000,221990,225500,230000,234900,232900,230000,232900,231990,231500,229900,229950,231840,239000,244000,247500,249500,249000,246950,248040,249000,245000,244000,242000,249000,250000,259500,263108,265000,264900,260000,262000,262000,260967.5,259900,259999,267000,269999,275500,279600,279900,279000,275000,279000,279000,279000,275000,275000,279000,285000
"New York, NY",1,399000,399000,399000,398876,399000,399000,399000,398999,398973,395000,389900,385000,379000,369949,379900,379000,379000,379000,374000,369000,369000,361000,359000,359000,359000,359000,359000,369000,369000,369000,365000,359900,360000,359900,358876,350000,350000,359900,368500,369900,375000,369990,369000,364990,367500,367000,369999,369000,369925,374999,379990,389900,399000,399500,399000,399000,399000,399000,399000,399000,399000,399000,399000,403000,4e+05,418000,420000,419000,419000,420000,419000,415000,425000,429000,429000,439900,439000,439950,439900,435000,439000,439000,439900,439000,439999,449000,449990,456995,469000,474888,469900,459000,465000,469000,475000,469999,469000,489000,495000,498000,499000,499901,499000,499000,499000,499900,499900,499000,499000,499000,5e+05
"Los Angeles-Long Beach-Anaheim, CA",2,440000,429900,429900,429900,435000,435000,429900,439000,420000,409500,404000,398000,389000,389000,389000,389900,395000,395000,395000,390000,384900,378000,369000,359900,359900,360000,369000,375000,389000,399000,399900,405000,407900,403662.5,411000,419000,425000,442000,469900,495000,509000,525000,529000,529000,529000,525000,519000,509900,499999,519000,525000,539000,549000,550000,559000,555000,559000,549900,554900,540000,539900,549500,568000,584000,599950,610000,609000,609000,609900,610000,599999,6e+05,6e+05,619999,629000,639000,648192.5,649900,649888,649000,649000,649000,649000,640000,649000,649900,659900,679000,687500,680000,684900,678844,678000,675000,674999,669000,678576,695000,699000,699900,710000,719000,699990,699900,699900,699900,699000,698000,695000,699000,699950
"Chicago, IL",3,239000,239000,239900,239000,238900,238000,229990,229900,220000,220000,219000,208900,199900,199900,199900,199999,204990,2e+05,199900,199400,198000,190000,185000,179900,179900,179900,184600,185000,187900,187000,180000,179900,179900,179000,179000,174900,174900,179900,186200,194900,199900,208800,204900,2e+05,204900,199900,199900,195000,194000,199900,215000,222000,229900,232000,229900,229000,225000,224000,219900,215000,210700,219900,229900,232500,239900,240000,239900,239900,237000,235000,230000,228888,228000,237500,248800,250000,258000,259900,257900,250000,250000,250000,249900,245000,247000,254999,264900,269900,270000,274900,269900,268000,267900,265000,264000,259000,259900,272900,279000,284990,285000,287500,284900,279900,279900,279000,275485,274900,275000,284500,289900
"Dallas-Fort Worth, TX",4,175000,175000,177000,179500,179990,179990,179000,176000,179900,179900,179900,175000,172500,173900,174900,174900,177500,177820,179000,179000,175000,176990,175990,175000,175000,179000,178000,179900,184666.5,185000,182900,179990,179900,179900,183900,185000,184900,189000,196990,199900,205000,207500,205000,204000,203420,204490,200972.5,205000,208990,214834,219900,224900,229900,224990,225000,234900,230000,235000,239000,249000,252990,256500,269900,269900,264900,260372.5,259000,259000,259900,265000,269000,275990,279000,274900,284900,286000,289900,290000,289900,289900,295000,3e+05,299000,299500,3e+05,308920,314500,319900,323900,320990,319800,315990,319000,319000,316997.5,319000,322900,327199,329500,332000,334900,329990,325990,320000,324900,320990,320000,319000,319900,319990,322900
"Philadelphia, PA",5,239900,239900,244000,240000,244900,240000,239900,235000,234900,229900,229850,224900,220900,220000,224900,225000,228000,225000,224900,224900,219900,219000,215000,210000,210000,214900,219750,219900,219000,217925,214900,212000,209900,204900,2e+05,199900,199900,2e+05,209900,215000,222000,224900,219000,210000,211900,210000,209900,210000,2e+05,205000,215000,224900,225000,227000,223900,219990,222350,219900,219900,214900,209900,214900,220000,229000,234900,230000,229000,225000,228600,224900,220000,215000,212625,215000,224900,229900,234900,238500,232000,229900,229900,229900,225000,215000,214999,219900,227500,236900,239900,240000,240000,239000,239900,242900,239900,229900,229900,234900,239900,249000,250000,259900,259900,250000,250000,250000,249999,249900,245000,244900,250000
"Houston, TX",6,169000,169900,169900,169900,171450,172900,169900,169900,174840,172500,174000,170000,169900,169900,170000,169900,171306.5,173900,170990,170990,168000,169500,165997,168800,168900,169900,170000,174295,175000,176500,175000,176010,176905,175000,179000,182900,183950,190990,196500,199500,201520,206000,206570.5,207490,209947,216990,212890,214477,217000,225000,229900,239000,241045,244000,244950,249900,252000,256900,262990,274990,281990,285000,289900,296990,289000,279990,290069.5,295000,295000,299000,299000,304900,304465,291000,296000,295990,294995,295500,293909,289950,289500,289900,286500,285776.5,287000,289900,291492.5,295990,296900,295000,290000,290000,290990,289990,289950,292994.5,294995,295000,298639.5,299000,299000,298000,294995,289990,290000,289900,289000,288990,289000,289900,289900
"Washington, DC",7,315000,319000,320000,329000,325000,324900,319900,314900,3e+05,305000,3e+05,295000,285900,289900,299000,299990,315000,319900,319900,315499,314900,315000,309500,3e+05,306900,315000,328500,339894,349000,349900,349000,340000,344900,345000,347990,339000,339000,349000,357000,369900,379650,379900,375000,369900,370000,369900,365000,359992.5,357500,363378.5,375000,385000,395000,393000,389900,385000,389000,387000,384000,375000,370000,374900,385000,395000,399000,399000,379000,389000,389990,389000,383000,379900,384950,384990,397500,410000,414990,414990,409900,4e+05,4e+05,4e+05,4e+05,399900,399900,400130.5,420000,429900,431378,430000,428000,420000,421900,420000,419900,410455,410000,419900,429950,439900,439900,439900,433000,425000,425000,425000,424900,415000,414990,420000,434900
"Miami-Fort Lauderdale, FL",8,250000,249999,245000,239000,235000,229000,225000,220000,210000,209000,215000,205000,201500,209050,210000,2e+05,214900,218200,219900,224999,225000,225000,228900,229000,230000,235000,239000,230000,229300,230000,239000,239000,240000,209000,213000,215000,225000,235000,239000,242900,249000,248000,249000,245000,245000,249000,259750,254900,255000,259000,259000,259295,259900,265000,260000,264900,265000,265000,278000,279596.5,279000,279900,289000,285000,275000,279900,296000,299000,299900,299900,313700,315000,315000,315000,313000,325000,325000,329000,330000,331000,337800,339000,339000,339000,335000,339000,340000,344900,349000,349000,349900,349000,350000,349000,349900,349900,349000,349900,349999,350000,355000,358874,355000,350000,354000,350990,356000,359000,355000,355000,355000
"Atlanta, GA",9,180000,179900,179950,180000,179900,176512.5,175000,174900,169900,169900,168500,159900,156750,155000,154900,150000,152500,152900,150000,149950,149900,147500,142000,139900,139800,139900,144400,145000,149900,150000,155000,158900,159900,163945,165500,167990,169900,175000,179900,189000,192000,196340,198000,195000,198900,197477.5,192900,189900,189000,194000,199900,209000,211900,219000,219583,215000,212900,209900,210000,204900,204900,206900,209900,213500,219000,219900,219500,223990,224000,224900,223199,224000,224900,225000,229500,235000,240000,244900,244900,240000,240200,244999.5,242129,239900,239900,242000,250000,259900,264500,265000,264955,262000,263900,265000,265000,265000,269900,274900,279900,287965,290000,290000,284900,279900,280387.5,279900,279000,277446.5,275000,279900,288000
