"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,229000,224900,235000,231000,235000,236250,235000,229000,229000,228500,225000,215000,205000,210000,223000,224000,225000,225000,219250,219000,214000,219000,215000,215000,209900,218500,221500,219900,229950,231500,229000,219500,215000,219000,215000,207950,210000,224900,235000,244450,245250,249000,244900,249900,239900,239500,244000,250000,250000,253900,269000,275000,287750,279000,275000,279950,275000,284900,274950,269900,299000,3e+05,325000,325000,334000,335000,325000,319000,330000,339900,349000,339900,339990,349250,350000,370000,375000,375000,379500,375000,375000,375000,374990,365000,381500,399000,399000,404750,399000,398000,390000,385000,379000,379000,375000,375000,375000,396250,398950,399900,399000,399000,399000,389000,390000,398750,399000,390000,386990,398000,399000
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98250,99000,99500,101000,105000,109000,110000,111625,114900,118000,119000,115000,115000,115000,115000,115000,115000,116900,118000,122900,124250,127000,126000,130000,129994.5,130000,131628,135000,137800,139900,139999.5,139900,143000,144945,148900,149900,150608,152400,150000,151763,150000,154043.5,156750,159500,159900,163999.5,165000,165500,168950,167900,167250,167000,168500,170000,174500,175000,179000,180000,179900,184800,184950,185000,185000,185000,185000,186719,190000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,147250,149000,144999,139450,135000,132000,129900,129000,124999,124900,124500,119500,119500,119900,118000,115000,115000,111150,111850,114900,114900,116250,114900,112000,111900,109900,111200,113795,119999,125000,120000,117800,119900,122500,122000,126850,130000,130000,134994.5,135000,139900,140000,133450,148950,150000,154000,155950,154900,155400,159500,159999,160000,164900,167900,166800,170000,174444,175000,175000,177000,179894,180000,185000,187000,189000,190000,194900,194900,190000,195000,199000,198000,198000,198000,195000,199900,199999.5,209900,210000,219000,219999,219900,213950,216000,219900,220000,225000,229900,230000,235000,245000,249000,249694,249000,248950,249999,249900,246500,250000,255000,259900,264700,272500,275000,273000,272225,274894,274888,275000,273000,269900
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000,1917500,1999000,1895000,1895000,1895000,1915000,1880500,1880000,1915000,1885000,1835000,1900000,1947500,1995000,1990000,1990000,1950000,1950000,1950000,1950000,1950000,1950000,1899000,1750000,1695000,1759000,1795000,1795000,1795000,1795000,1750000,1795000,1795000,1850000,1895000,1850000,1799000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,201500,205000,205105,210000,212558,214950,209000,203100,213000,210000,214950,215000,216500,214482,210000,205000,205000,210000,209500,209900,207000,205059,208445,205000,209000,209400,210000,215000,209900,210000,215900,219000,219850,224450,229900,233775,238500,245000,249900,249900,259950,269900,284900,279000,280000,280000,280000,289900,279900,289900,296950,299999,305000,308000,315900,315000,309000,308450,310000,309947.5,315000,319250,317000,329900,330000,325000,329900,329900,335000,335000,339000,342500,349000,349500,350000,350000,359000,365000,375000,375000,379950,380000,384184,385000,390000,391424,399949.5,409900,419800,425000,429450,429999,439000,440000,445000,450000,459900,459900,459900,469900,480000,490000,485000,485000,490000,490000,480656.5,489450,479994.5,475000,490000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,1150000,1150000,1125000,1150000,1100000,1050000,1107500,1150000,1199500,1250000,1200000,1195000,1197000,1225000,1195000,1200000,1200000,1250000,1250000,1300000,1399000,1395000,1475000,1400000,1440000,1395000,1395000,1395000,1495000,1350000,1490000,1590000,1650000,1675000,1685000,1695000,1699000,1750000,1730000,1675000,1675000,1675000,1770000,1845000,1799500,1850000,1995000,1999000,1825000,1925000,1827500,1787500,1750000,1750000,1750000,1750000,1790000,1795000,1775000,1799000,1795000,1799000,1795000,1805000,1799000,1795000,1795000,1800000,1889444,1899500,1850000,1650000,1600000,1650000,1639000,1595000,1547000,1500000,1545000,1500000,1495000,1500000,1500000,1552500,1595000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,91000,90960,90000,90000,89900,85000,85000,85000,84900,83500,80000,79800,79500,78000,75900,75000,74900,74000,72900,73100,72050,70000,70000,69900,70000,70000,72100,72350,75000,79999,79900,79900,80000,80000,79900,85000,85000,89900,89900,92700,96990,1e+05,99000,109000,110000,110000,112500,114900,112975,115000,119950,120000,120000,120000,122000,129900,130000,131500,128000,128000,129949.5,130000,130000,133000,139900,139900,139900,140000,144900,142900,140000,144000,144500,147500,149900,149999,150000,155000,159000,159900,159900,160000,162000,164650,165990,169999,174900,175000,178750,179975,185900,185000,189900,190000,190000,189975,190000,195000,2e+05,206000,208000,215000,219000,227000,225000,220000,220000,222318,228950,229449.5,227000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,155200,155400,155000,153750,150000,149800,145000,140000,139150,135000,135000,129000,127750,125000,128100,127900,125000,129250,129900,129900,129945,129000,126900,126700,129900,129900,132700,136600,142055,145000,139900,138250,139990,139900,139900,145000,149000,149900,149900,154900,159000,160000,149900,174900,179900,184600,184900,184900,175000,175000,184950,185000,180000,189900,185000,203450,206399.5,207250,209500,210000,215000,224000,222480,231200,238850,232495,239250,235000,237000,240000,240000,245000,244990,240000,249000,245000,249990,255000,259000,259900,265000,262900,265000,264999,265000,270000,274900,275000,278844,287500,292490,295000,299900,299000,297240,294999,294999.5,299900,292000,293000,299000,299990,3e+05,314782,314950,315000,310000,310000,305000,308000,299999
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",9,165000,164900,160000,154900,160000,169450,174900,175000,169950,169000,169900,170000,175000,180000,179000,174900,169000,170000,170000,171000,171000,172500,170000,170000,174949.5,171005,176400,180000,185000,184250,181250,189000,189900,199000,205000,209900,210000,210000,210000,219000,229900,234000,239388.5,238399.5,238888,239900,239900,244900,249000,249000,245000,250000,249900,250000,260000,260000,259900,256450,265000,274990,272250,275000,279000,270000,274900,275000,279450,289000,289900,295000,295725,299900,3e+05,305500,309000,3e+05,314900,302900,319000,324950,329000,328000,325000,329000,329900,335000,339000,339999,339999.5,340000,349000,349000,349000,350000,353990,350000,365000,370000,370000,375000,375000,375000,389000,395000,394900,398000,395000,398500,399900,399900,415000
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",10,375500,360000,375000,360000,352500,349000,349000,349000,342499.5,347700,349000,339999.5,331850,335474,330000,330000,329000,325000,319000,319500,319000,315000,319000,324999,329000,337248,337248,330000,349000,349000,355000,359000,350000,349000,349000,349000,349000,349000,350000,349000,349000,337248,339000,349000,349000,349999,369000,399000,429000,439000,450000,449499.5,385000,319000,350000,360000,399000,360000,369994.5,357500,329000,354500,360000,359000,350000,387000,395000,395000,399500,423969,399000,425000,385000,4e+05,425000,424500,425000,449000,439000,439000,439000,439000,440000,449000,480000,479000,489000,489000,450000,449000,469000,480000,492499.5,472000,449000,444000,450000,439000,439000,449500,442000,489499.5,505000,487000,489000,499000,499000,499000,499900,499995,525000
