"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,268.343195266272,262.936120305529,268.919148022356,269.091790084828,268.6875,266.428472432444,264.374295377678,264.011799410029,260,256.872852233677,254.563399817131,248.083904800323,245.269759609647,245.822637549804,246.153846153846,244.555335968379,245.565265474114,246.375910619221,245.689655172414,243.959270882678,240.425531914894,237.182152354977,233.625678955993,230.125523012552,229.094501718213,229.304720843132,231.388888888889,232.984195834587,236.113042657512,242.323232323232,245.074483421432,246.17188204527,247.619047619048,248.322147651007,250.448833034111,251.422898742555,257.436646879424,262.4,274.75845410628,288.67937122293,296.81664867148,304.48717948718,309.695036926096,310.640503462777,311.648387407517,310.323383084577,310.077519379845,308.253790005615,308.439935064935,311.320754716981,313.802476593174,320.867768595041,326.74490426189,330.292671620663,332.947444069491,332.306887538205,332.854041761422,332.370072364759,333.121250461108,327.631263437255,324.367088607595,332.290182811016,337.251245212933,345.061728395062,353.53974564857,354.511659344373,356.327307326356,358.558558558559,358.88860303576,361.466655644878,359.506793100002,359.712230215827,361.812361931074,368.926025058707,373.907615480649,378.059440559441,380.648010755234,385.461820851689,387.426900584795,386.839191813488,387.355298308103,387.755102040816,386.991011323153,384.484536082474,387.248776489648,389.663658736669,398.024703513335,404.228855721393,407.849293563579,407.603730663813,407.09435716067,407.01715341891,407.088122605364,409.170487451737,410.872313527181,409.334506325321,410.217853254188,417.326755968253,420.529801324503,424.699493215915,426.771989752348,429.561781609195,429.494079655544,428.913500816993,429.320554369376,431.875174143215,431.916426512968,427.718832891247,427.377892030848,429.700690713738,433.405639913232,436.308275154576,438.034188034188,440.478337732742
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,188.181818181818,189.949662162162,190.126811594203,189.698795180723,188.387065909274,187.361111111111,182.054750843356,179.925925925926,173.183205876253,174.468085106383,171.490407987734,163.982628426887,159.863945578231,157.934203500085,158.002079002079,157.644490110455,158.137887520435,157.629068624911,154.792120075047,151.75,150.289498819465,146.8788249694,142.152996845426,138.269096661891,137.17244135591,137.451937269373,137.751504230982,139.083193622217,138.796296296296,138.75,133.948371844734,132.054176072235,129.985549132948,127.768099109563,127.675931401538,125.040430531874,124.1812063128,127.648561340245,132.236787192405,136.831708556723,140.924464487035,143.556371766209,142.305089023281,141.028225806452,142.484971098266,140.350877192982,137.874087681434,133.744349165805,131.821727414551,138.494760699166,146.256481189384,151.799962172424,156.835499775885,158.839458325316,158.900523560209,157.699443413729,156,153.769230769231,150.703281982585,147.058823529412,143.061674008811,146.964856230032,155.205479452055,157.834757834758,162.556732223903,164.523746445539,163.70808678501,162.263300270514,161.70642943793,161.082064260804,158.579004617781,154.763361592333,154.072657080771,160.110008867213,168.025751072961,172.970583379998,176.140444724145,176.818181818182,174.191395280607,171.085543199316,170.630081300813,169.745082880975,167.298367452956,163.161315462646,162.998686704936,170.068027210884,176.437048952265,180.511662904439,183.315497692743,184.564393939394,183.25,180.875713043225,180.227467965222,179.651809978054,177.570093457944,173.970230342723,174.218105680401,181.718061674009,190.55246351535,195.832680455448,196.875,197.277032359905,196.666666666667,195.796933777633,195.575642920044,194.636685085386,193.263390392049,191.224964633044,192.7566185215,197.805723905724,202.230290456432,205.625,203.703333333333,202.873204247345
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,75.4314441202786,76.2560058535747,76.4823282639452,76.7277023036031,76.6283524904215,76.1904761904762,75.0106623557386,74.8422712933754,75.5383580080754,74.9779341668846,75.3529666522304,74.501246882793,73.9508196317871,73.9320216094085,74.1452170572416,73.8375063873275,74.2466862503232,74.3388429752066,73.8304607808653,73.5856364088099,72.6392251815981,73.1235827664399,72.6874007133651,72.9396325459318,72.9694132118293,72.9852095316352,73.8912841572348,74.7422680412371,75.2806632573042,75.6808973423479,75.4341829416308,75.4207777132908,75.4932744776854,75,75.5578093306288,76.2247664959325,76.5785181733458,78.8288288288288,79.9410029498525,80.9164086687307,81.6648879402348,82.4364595719382,82.6388888888889,83.1686456692914,83.7821663674446,85.5151293301893,85.1411922904527,85.5880728879072,86.6278039312862,89.2045592731568,90.5548469387755,92.3306113134852,93.2240278583865,93.2862354892206,93.8591862940472,95.0906275910116,96.326164874552,97.0246775098149,98.8135593220339,100.877192982456,103.715170278638,105.022390461493,105.801792828685,108.005893909627,105.748757984386,103.820758285453,106.334864258012,106.848550277606,107.81091332667,109.234234234234,109.003439763254,110.763617409434,111.840188668074,109.544666889075,110.780669144981,110.918480265585,110.956310679612,111.170691772411,110.496482418631,110.899720978613,110.63709919526,110.669693530079,110.736515631561,111.273618538324,111.971188402534,112.788365095286,112.979701263884,113.64838311823,113.589549413101,113.207547169811,112.469081272085,112.781954887218,113.7842846553,114.240170031881,114.748565642929,115.663322185061,116.279069767442,116.968675654243,118.270441405218,118.58362423619,118.64406779661,118.306010928962,117.597323600973,117.433002107799,118.133490844654,118.368055555556,118.654543380153,118.88437622405,119.718309859155,120.194426441996,120.772946859903,122.216882693405,122.103548567364,122.086490080162
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,99.2951353158021,97.6657013460253,96.7036900103727,95.26938239159,93.0626057529611,91.786176736916,89.4760507383567,87.7649909145972,86.5869109725201,85.0089983424106,83.5073068893528,81.6973415132924,80.3400309119011,80.0374293785311,79.6370075254537,78.3496452387921,78.6071043889386,78.5055643879173,78.4515569381128,79.646017699115,80.0975196465777,81.5760266370699,82.5763831544178,82.7878824224874,85.1184859992358,87.002728924142,90.1418871491443,93.9408172851104,95.8803611738149,97.4240062353858,98.4566258648217,99.934889623924,101.309635173059,103.402069348761,105.705128205128,107.106930715003,109.384266478864,111.888111888112,114.450127877238,116.991643454039,119.407265774379,120.459469719767,120.931678049733,120.283945583275,121.056493030081,122.448979591837,122.681814967418,122.892347593992,124.524714828897,125.439368668149,126.195748985566,126.868512110727,126.598153034301,126.565234114174,125.81805106077,125.763954627346,126.09649122807,127.349909035779,128.019323671498,128.685072531586,130.359212050985,131.20214595287,132.743362831858,134.610078237514,135.066105769231,134.860050890585,132.873058492061,134.452186132802,135.534746180384,137.243483083749,138.560321394308,139.304906542056,140.614833816971,143.198090692124,143.599776411403,144.230769230769,145.345920832057,144.966118102614,144.184445973847,143.945537171851,144.785854298325,145.664009844432,146.465517241379,146.935811478244,148.5473289597,150.038947440281,150.420862704076,151.515151515152,151.563753007217,151.074828788869,150.359067584642,150.963116942178,152.468272775378,154.366329247146,155.071320359139,156.218112244898,157.553434417245,159.161357845222,160.052298586081,161.671924290221,161.932254765413,161.538461538462,161.216270322098,161.434108527132,161.998890705076,163.011262596325,163.491414554375,163.919861257573,165.43438077634,166.241328991539,166.716294328632,167.693315858453,167.291822955739,167.173252279635
"San Diego County","CA","San Diego-Carlsbad","06","073",5,246.596629185345,249.44316293375,250.879839115133,251.200406971721,250.719524846362,247.721623860812,246.475323716492,246.06971975393,240.740740740741,236.419280795715,234.508547008547,230.468500681269,227.722222222222,226.118500604595,223.955214570858,224.920913884007,226.325757575758,225.16929764356,223.734533183352,217.790004585053,213.605442176871,211.367673179396,210.282343025706,209.139784946237,208.102108768036,207.542372881356,208.779443254818,209.868421052632,214.285714285714,216.657438613385,219.500457018013,220.823691263904,218.757239382239,221.181435116182,221.674057649667,224.259020913599,228.78767191445,237.094837935174,245.535714285714,253.864859002094,262.35509456986,272.721822541966,277.137396545807,278.149386845039,280.082987551867,277.261698440208,274.027005559968,274.28346928085,277.777777777778,282.328337399791,286.976647821447,290.526497803995,295.00283768445,296.683934262863,296.244462685888,296.591190864901,295.189504373178,292.903645833333,292.857142857143,290.132669983416,290.709219858156,294.612794612795,299.778090610867,303.030303030303,308.789880952381,303.485855325612,315.374561930995,316.348919158081,317.647058823529,316.144981834168,316.337558448703,318.000884564352,319.432120674357,322.005097706032,325.131810193322,326.401782398812,328.058104906731,329.479768786127,331.882595936074,331.063829787234,331.507731958763,331.842550109908,329.92992870225,330.863309352518,333.969921222249,334.827682824321,338.997784342688,342.457191780822,346.125816389402,346.351324699231,347.222222222222,347.732793231318,348.075348075348,348.60529986053,348.656549083949,349.432715371104,353.139083139083,356.735159817352,359.869831546708,362.31884057971,374.843554443054,377.015094339623,375.838926174497,377.490039840637,377.018874030653,372.250423011844,371.716812615475,371.964285714286,373.22327031327,375.102639296188,377.906976744186,381.175536139794,382.097052347825,383.750490051946
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,299.92,296.482190048348,296.666666666667,298.172757475083,297.619047619048,295.938104448743,293.515862892215,294.258373205742,287.859310538636,284.541660369755,284.022991983597,278.810408921933,276.258205689278,274.117799399895,273.661670235546,273.419649657273,272.65195446595,272.285055521024,270.652929959577,269.283108866442,266.377097184358,263.39410538741,260.100266313219,257.170319108035,256.840077071291,257.76397515528,260.036719706242,262.075771286163,266.454646577005,269.341847616197,273.249619093535,275.286343612335,276.310809195585,277.777777777778,280.822486293917,283.238904627007,290.378352277785,298.709092398787,309.678668215254,318.284203310156,327.691945628336,335.0786170939,339.107142857143,341.959334565619,344.036697247706,343.57316087308,343.98629602118,343.849856563862,345.899849405027,348.431358885017,349.74417271385,352.955262564796,354.780002715754,356.911945225951,356.5052248172,356.002034587996,358.283745693705,357.426528991263,357.981382403805,357.507987220447,357.514906219016,360.95717884131,362.047440699126,364.963503649635,367.67406585879,370.152761457109,372.109826589595,374.160461653016,374.999583333333,375.293841350537,374.180606045215,377.270303527482,379.387435725464,382.424414705968,384.615384615385,386.882829771555,389.249852333136,391.96509578975,391.807512829879,391.550747037609,392.046137960775,392.768022181146,394.567901234568,395.750586295305,398.843930635838,400.897014830303,404.341427520235,406.50406504065,409.146757679181,409.335727894392,411.202676420068,412.396808727867,413.878871902803,414.144467651118,415.604283528812,417.260940032415,422.180481212113,426.015499001111,426.470588235294,429.502369668246,433.009171325175,435.859129492505,434.642627173213,433.379575491369,433.902518014736,433.526011560694,431.818181818182,431.556195965418,431.034482758621,431.14656302371,433.734939759036,434.782608695652,434.22519509476,434.452278626492
"Kings County","NY","New York-Newark-Jersey City","36","047",7,415.203213610586,413.995726495727,400.289575289575,397.367511866851,402.290246923267,402.085817408398,399,392.857142857143,409.153005464481,412.037037037037,409.153005464481,411.40350877193,409.121957277695,392.888361638362,403.935185185185,401.785714285714,404.385334291876,398.686679174484,393.258426966292,390.625,398.461538461538,400.308324768756,400.308324768756,400.308324768756,398.482490272374,402.340367965368,405.235745614035,427.257587773813,436.875,426.495726495727,423.429075511644,415.676959619952,410.72894136025,405.495978552279,399.9,387.953367875648,383.333333333333,380.34188034188,389,393.914473684211,396.296296296296,399.428571428571,390.624131944444,389.648183385376,403.886264770809,402.385752688172,419.692518605562,403.195488721805,402.869328089001,392.156862745098,398.868928809049,407.608695652174,434.782608695652,452.878787878788,453.986924110962,453.858084696408,454.545227272727,474.160625110903,468.75,472.5,520.88772845953,517.329879482657,531.756302521008,549,575.982811918365,574.076576576577,575.471698113208,571.45539928974,597.826086956522,607.142857142857,604.72972972973,608.62414187643,657.332147062261,671.473561622115,650.210084033613,700.444868888151,666.772621318076,675.273152965661,665.317383145684,677.978883861237,698.928208386277,705.128205128205,705.128205128205,713.407184879209,707.980957312162,717.320261437908,729.11597729116,735.474927675988,758.333333333333,768.75,761.71875,745.076177285319,736.698238365605,740.506329113924,750.312891113892,740.210135970334,744.323385335159,690,633.655790930381,672.163807415606,708.40197693575,702.34375,705.555555555556,699.766355140187,709.786590221373,715.616045845272,713.572742641209,712.962588497721,716.40576242979,730.070843532292,744.736842105263,756.919780366948,763.66256222164,760.280099002622
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.273224043716,158.227848101266,164.461247637051,169.120835671649,172.451646628332,171.890798786653,171.144278606965,175.507020280811,182.054616384915,165.384615384615,164.143777888219,169.114535800216,182.495344506518,183.297464720217,189.987937273824,192.993336728077,191.264660436052,194.029850746269,191.818181818182,194.452449567723,191.752577319588,191.709844559585,195.530726256983,198.366394399067,220.149953139644,223.168654173765,223.465111746362,223.853107144155,224.358974358974,228.318108543794,209.087938205585,210.353535353535,229.708614864865,231.381870875837,235.480367309111,234.766857837532,251.659292035398,256.166982922201,272.222222222222,276.854928017719,269.87802668824,275.775524925541,279.670132664037,278.834841628959,278.458681522748,272.55912707533,276.795789456152,280.490396276678,283.243887895051,286.629566947624,287.475671975421,289.634146341463,288.877470873979,288.606130711394,291.62201551132,293.382811926269,291.86429882732,286.089238845144,289.047434692034,285.662563359884,292.096219931271,296.671917108647,296.610169491525,296.0747680102,297.311200088978,298.013245033113,298.192771084337,295.384962096974,295.023157655295,293.396879932743,295.304045233143,295.388023630505,299.589584429248,302.557034052554,301.65957186378,299.848942598187,296.661272923409,296.754807692308,297.532656023222,297.274275979557
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,84.6566032431961,85.0540354104392,87.6073957703088,88.8834593262263,88.4408376429787,87.8378378378378,87.4953201048296,85.7011915673694,84.5521309748281,84.4296026997151,83.6441129461907,81.0714285714286,78.9120470103882,79.2972381733662,79.8490463215259,80.4261363636364,81.7647058823529,81.2772925764192,80.5002981514609,79.2395896197948,78.2570422535211,78.8996961000923,77.8359547224983,77.0353440150801,76.4117647058823,78.414442700157,79.4483083387669,80.3648068669528,83.2143438702192,83.2043605097497,81.7419450801841,80.4821712208869,80.2944325481799,81.2207844135073,82.0719088912537,82.0336588476123,81.3283348477965,82.6644370122631,87.5928217821782,90.1766122558202,91.7355371900826,91.5657946114799,91.4670170068765,91.304347826087,91.9305413687436,91.7019901783407,91.5903413821815,90.8459512837393,90.4167444898942,91.5310463865006,95.9412797574768,98.3050847457627,101.604532163743,97.3227738032286,98.1805641951183,102.313624678663,99.6796556463655,100.28624954767,100.63860320962,102.311756935271,103.845817601474,105.990046092989,111.111111111111,113.48897535668,112.847222222222,112.597547380156,110.572872788543,110.672927929207,112.177650429799,113.841318631278,114.275618374558,114.558472553699,114.873035066505,117.25126829964,123.543123543124,127.668659265585,129.770712728481,130.14055179594,129.720253218736,128.504672897196,130.589430894309,132.229580573951,132.871172732525,133.358247634718,134.719014626636,136.532008959129,139.218757226153,145.237077760145,148.324585383634,147.26469345158,145.471386585844,144.065967194053,144.50490215354,145.450572921491,145.849022018072,145.166220863584,145.77894469618,149.889337905135,152.827305145186,155.475980441059,157.728706624606,156.769159925066,155.346767157363,152.109911678116,154.601226993865,154.657933042213,156.552550375158,154.866405253334,153.491436100132,155.821578947368,159.093260399784,163.562440447417,163.349675890052,162.744788097403
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,333.05291005291,326.96364816618,323.492685041296,328.426847843515,326.538461538462,320.714285714286,321.022727272727,307.880541871921,312.452768203883,309.463328029231,308.822794117647,308.203125,306.372549019608,304.804414541554,301.963636363636,298.333333333333,288.39590443686,285.947712418301,284.526422764228,284.090909090909,290.907272727273,300,306.088522902728,301.041666666667,299.949224548646,296.985815602837,294,293.276283618582,292.153846153846,292.644599645878,292.647058823529,294.270833333333,300.876496037522,303.2,307.936385459534,312.40758582222,315.947571822679,318.965517241379,324.39446366782,318.75,319.047619047619,315.441176470588,315.229849016292,312.5,322.857142857143,329.295154185022,338,347.62491644385,346.506986027944,347.321428571429,347.321428571429,349.813432835821,346.854304635762,345.177583112075,349.916666666667,350,353.6,348.906937301549,360.506677857247,375.213675213675,378.871787495205,389.84375,396.226477116139,396.205357142857,397.822822822823,400,411.596638655462,417.207132490151,422.222222222222,430.897887323944,437.636761487965,442.671256454389,447.236180904523,453.141303141303,454.941860465116,459.104938271605,455.131475755453,453.030303030303,441.597819850832,446.873958333333,459.866220735786,475.479585773703,489.999,498.399795501022,495.758870758871,494.408796699175,492.974720752499,493.601462522852,494.787137681159,491.631652661064,495.314591700134,465.714285714286,430.244252873563,447.116893626168,489.458994708995,500,501.839446818614,501.644736842105,503.177287066246,503.941441441441,499.375,500,498.919234360411,500,506.061688576794,513.215887528032,525,533
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,120.405957071244,121.803843973953,122.844827586207,122.997762863535,122.486237120753,119.96001332889,118.096856414613,117.521367521368,117.369500544067,116.962208388354,118.232484076433,116.320687186829,115.191986644407,113.258263880172,114.189796031597,114.190687361419,113.389793546807,111.959404063437,110.651604013784,110.281349458943,110.001852537977,110.163701399327,110.656588575642,110.610687022901,110.5,111.237887482286,111.490683229814,112.294888163806,112.928522840581,113.493064312736,114.754098360656,116.958963552428,119.643850862549,123.189077709949,127.293148633471,131.147540983607,135.152122122578,139.905392433653,143.637642375436,146.52870493992,150.225271267927,151.888341543514,154.078530894621,154.219600725953,155.935537472845,158.87417218543,162.262872628726,163.820658739701,164.59864439603,166.666666666667,167.092220677755,168.444444444444,169.950738916256,169.4105675071,167.983844103931,167.646119450655,167.307692307692,168.350168350168,169.811320754717,171.034479326339,170.02567394095,173.275797107231,174.024945555336,174.790555978675,176.076217360621,175.341514453496,175.573415900572,174.875089221984,174.944444444444,176.534184186015,179.663608562691,180.838071172879,182.810261461318,183.858004018754,183.444828782386,184.23760150819,184.004914004914,184.115727928601,184.027777777778,183.052090975789,183.972165470575,185.117347334024,187.066593285636,187.803800265135,189.280782433139,189.749985898285,190.587768069897,190.940232105057,192.238118035547,193.513938545781,193.859082094376,193.592583489654,194.835680751174,196.659482758621,198.507868038438,200.763052208835,203.058623619371,204.140310523289,204.447632711621,205.018650899849,205.562273276904,206.436368498512,205.54470709147,205.557670346403,206.395348837209,207.59563176919,208.333333333333,209.066901408451,209.948320413437,210.040983606557,209.444021325209,209.953984547811,209.707317073171,209.371409188382
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",12,112.640901771337,110.11011011011,112.359550561798,114.429442109225,115.650345449084,114.948892674617,112.852182539683,112.761341247642,112.386417981827,110.442402521478,108.409014692154,105.392156862745,104.913651050081,105.487881508079,106.437014802438,106.764574988874,108.702928870293,110.185185185185,111.138002706209,110.88504577823,110.492845786963,110.208580125658,107.901648434483,106.632791327913,104.535423222787,104.942233632863,106.318779797908,109.082610680055,110.836693548387,112.086502535362,113.042072382068,116.071428571429,116.339193381593,117.125984251969,117.124121594293,116.647855530474,114.611387457808,117.134348113832,122.067819672827,125,129.098360655738,133.522727272727,138.288378317107,141.499628252788,144.511893855862,146.397188049209,145.220588235294,145.391818629867,147.505364806867,148.936226096852,152.377855013963,155.220547180346,157.758584294962,161.163522012579,162.5,162.087251432669,162.037037037037,160.978491231525,161.446433682896,160.54581559306,163.611544461778,161.883002207506,164.418325376785,165.816326530612,167.014613778706,169.497071612388,170.328605397036,171.195652173913,172.168119433692,173.103727700332,173.503749260443,173.688928731511,172.936893203883,172.58883248731,176.943549830023,179.746166049709,183.279002718297,185.18469785575,187.5,185.911524373063,184.617967660278,183.790421612771,183.581927501544,183.752880184332,183.667273831208,186.375321336761,188.129305776365,190.763052208835,193.174161109256,193.106996492887,193.921627419335,194.675311693504,197.172715868393,196.779964221825,196.115288220551,194.504699927693,195.297699202776,197.077811756711,199.53371499804,201.526514264909,204.833696406702,206.865316901408,208.333333333333,208,207.682291666667,206.385037748799,206.827586206897,206.618414523553,207.725947521866,208.47533632287,210.557508444169,212.688264807418,213.903743315508,215.170933141405
