"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,118.542915887583,118.107221006565,120.106632180745,121.152066851276,120.029186428311,119.677526595745,118.447580645161,115.926846567507,117.256587664242,116.595406360424,115.587381110427,111.474103585657,108.9526369826,109.94807574832,113.141862489121,114.046228092456,115.373961218837,116.50922177238,113.87356024299,112.179016893903,109.349371241115,110.414788097385,106.88679245283,106.215019358178,105.923024075076,111.751786958847,116.279069767442,115.106052767719,120.53343076361,119.277108433735,117.387277785127,113.255287009063,111.426256077796,113.511360319159,111.786931266442,110.290497291974,112.849834486909,115.510777881912,120.192307692308,125.331506224789,125.063808065339,126.97282932699,128.526995278183,131.002478814781,129.911280101394,124.100759244859,128.337345742562,125.106685633001,126.022060919426,129.328646971805,135.059412861137,139.058329805445,145.515342250197,143.581422908966,139.848812095032,140.794223826715,137.789735099338,138.652204205961,138.585049263625,139.16783380269,150.186053103412,153.576982892691,163.551401869159,163.409067802822,164.22331251102,163.185378590078,159.867394695788,158.633312995729,162.790697674419,165.10067114094,166.340508806262,168.353007307476,166.537593984962,170.953912111468,176.373644261493,180.005347593583,183.429513602638,181.959564541213,183.537331701346,185.108024691358,183.762254901961,185.051546391753,183.138680238859,181.605155243117,186.290113139497,194.01863022644,195.117856071593,199.8166483315,199.576305519832,199.522776572668,199.933240401855,199.133949191686,197.978096040438,198.13829787234,197.724810400867,198.577356253705,198.426977532764,205.737337516809,207.664007015229,208.449396471681,207.950448571799,207.464896508181,212.565544477477,206.343549536707,207.956600361664,211.896016790619,214.626357707013,212.071078431373,211.541077266591,212.995337995338,211.079517704391
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4787234042553,72.2809717129387,73.5789473684211,73.2546705998033,75.0657153586181,75.1789976133652,75.8611713665944,75.3424657534247,76.5322580645161,79.28145087236,79.2207792207792,79.0224165289975,79.3919201106275,80.6287170773152,79.4326241134752,80.6197440850532,80,81.8804125329863,82.828853521957,83.778538208954,83.778538208954,85.7361627652592,86.3071543108323,89.3063692353913,90.9761381774925,93.17116281402,93.6805173749054,94.5547060466415,94.2529267172636,95.5778552071235,95.1820728291317,95.1812276121669,97.5209354575163,96.7741935483871,99.4263250682439,102.172035625273,102.834302325581,103.712938005391,103.038254723797,102.906520031422,104.605263157895,104.854619546066,105.109370734371,105.120920745921,106.805929919137,108.59720998928,111.629434954008,112.40361433475,112.372209491425,112.363410508881,112.628073770492,113.540507111936,115.413533834586,117.803970223325,119.025875639512,120.738817018175,122.028073450033,123.069001029866,124.205237079019,125.338075880759,125,126.078301260783,127.272727272727,127.868330993331,129.845505617978,128.472222222222,129.924898902369
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,87.772397094431,87.0712401055409,86.015538290788,84.3422584400466,84.137347767253,82.6985370950888,81.9922070264935,81.3550420168067,79.3650793650794,78.5489785227868,77.3998075879483,75.4491017964072,74.0878629932986,73.7176282051282,72.5059505251294,71.3373289818715,70.7317073170732,69.6107886025145,69.5634498480243,70.3703703703704,70.402703463813,70.6645269214809,70.0395950880981,69.5674188222345,68.5358255451713,68.0181894404376,68.5717328797602,68.5358255451713,71.0282898359371,72.6978998384491,72.3684210526316,72.1240005514199,72.8277247614264,73.3687168279738,74.3712252480018,76.1577361266545,76.7439597146876,77.6799585706888,79.4096978215039,81.2869451797785,83.5791543756146,84.966765140325,85,91.4066776135742,94.1730429664509,95.5271565495208,96.1942070275404,95.6250943681111,97.877358490566,99.1424310216257,101.240458015267,101.838452540308,102.866357504216,103.69728480647,104.961832061069,106.820049301561,106.664540816327,107.519325368939,107.660578382144,108.001963672067,109.726880689986,109.869190103985,112.940949702543,111.464801838744,113.240847831281,113.988095238095,116.208333333333,117.872117400419,118.172359744892,117.927337701013,118.167828014797,117.878200808625,117.26427622842,116.946751472136,119.214678899083,120.608285264814,122.694610778443,123.775141825683,124.207188160677,125.947767481045,126.775362318841,125.93308557568,125.143061516452,125.312337715887,127.324270237067,129.279996961989,130.528188286809,133.374689826303,136.489926139471,137.207425343019,139.603413120567,140.075615652217,141.395981334674,141.950596252129,143.423329223844,146.510388918487,147.407407407407,148.502700049092,149.285714285714,152.542372881356,154.693235448348,159.057288864981,161.139228460313,164.969450101833,164.967127001419,165.706051873199,164.696293324368,163.626234742409,163.690476190476,163.66028708134,163.060686015831
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.59694477086,1409.67365967366,1448.52941176471,1460.65100127647,1476.1077324066,1489.55223880597,1486.62041625372,1497.49821300929,1526.17207223262,1569.37172774869,1562.00941915228,1515.46391752577,1500
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,172.146792471625,173.826086956522,171.163017494658,168.445692883895,170.178739416745,169.117647058824,166.144200626959,165.692007797271,169.794594939944,169.755374351371,169.198328462288,165.831636273875,165.502045188937,164.876246918148,163.69831278464,164.894592117324,161.216602711691,164.233576642336,164.608469419114,164.761084264174,164.179104477612,161.901408450704,161.378435051319,157.593123209169,165.285872413482,162.264150943396,164.325660779578,164.871214508781,166.110183639399,166.289592760181,170.647423624407,171.875,172.845485237334,177.139571582057,178.861788617886,182.362603054616,188.660087006525,190.895741556535,192.939244663383,194.839077207196,197.945205479452,198.767794512069,203.322824320186,206.05550883095,207.945900253593,211.794546607483,211.292270531401,215.286891881185,211.404833836858,220.11843585417,222.782854438387,232.717316906229,233.082559552015,236.127508854782,240.478068420526,241.905470785262,243.172121804266,243.515470704411,242.696629213483,243.515470704411,245.330624161603,249.405058495012,248.602166511419,251.23978585517,257.541920801251,257.103941015268,258.358662613982,259.19044044044,264.376130198915,267.938144329897,266.688918558077,270.800627943485,266.464411714201,270.700556469591,264.338301939652,270.308329512363,284.842424242424,285.935397039031,291.666666666667,301.624129930394,303.52798053528,302.2425940073,307.455329636476,310.371660336381,316.635160680529,318.194880583524,324.452830188679,325.215290312876,324.139870427056,329.799081684275,334.894014962593,343.556744241747,355.831608993843,352.201257861635,354.105521907898,356.425702811245,357.83229619714,357.474781574358,353.001200480192,358.249962277264,373.92037470726,377.564102564103,378.694158075601,383.597883597884,382.015306122449,389.739663093415,394.560212399919,399.159663865546,394.539448607078,393.957179382537,394.440270473328
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,59.7887323943662,59.9785407725322,60.1134173703369,59.457671957672,59.8335067637877,59.1069420891139,59.0397541770693,57.7421775865804,57.3174451354873,56.4870259481038,55.7446320911046,53.6941580756014,53.2045240339303,52.4695927898028,51.8465863453815,51.7104216388226,50.6214438351227,49.7683155905269,49.4376811594203,49.2424242424242,49.1095612313805,48.2728422945814,48.2912332838039,47.9094076655052,47.8604344963792,47.9625414806872,48.7186997243263,48.6609537010474,50,51.989589560478,51.9559902200489,52.586617597217,53.3807829181495,54.7289504036909,54.3112809589442,56.4766839378238,57.3372206025267,58.9039818206485,61.1153552330023,61.9866284622732,65.3509044333086,67.7839851024209,68.6727086125295,71.5424945605812,73.8522848034006,74.8938098938099,75.6373566471686,76.7867690490254,76.5853658536585,78.7254248247156,79.6916476360594,80.2580966066099,81.6695855224752,82.1917808219178,81.8204824164318,84.5974329054843,85.6573705179283,86.359269932757,85.4057591623037,86.2068965517241,86.9880751626114,89.066918001885,88.6990801576872,89.0804597701149,91.5909356166709,92.6966292134831,92.8318584070797,94.0860215053764,95.155601487302,95.6284153005465,96.8134065195945,96.2719409152295,96.4618844843925,97.9033220296408,99.1935483870968,100.240096038415,101.09082156611,101.332346011681,103.785357737105,104.787396480331,106.637946634841,107.293569054407,107.883597883598,108.17886725363,109.004739336493,111.215753424658,112.97541612326,114.099429502852,114.613327848622,114.723608386775,116.554536893002,118.479880774963,119.418359057677,120.588235294118,121.57490396927,126.961314828962,128.314606741573,129.813328431673,131.031468531469,134.15781023014,137.02069870421,140.374331550802,140.680845842802,143.643557184535,144.58386958387,144.256940664126,143.076136944303,144.876247944391,147.258570554025,147.31629039398,147.420147420147
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,86.547538979246,87.5512995896033,87.8600823045268,86.2392200974878,85.859375,84.7878787878788,84.0482788991312,83.2929782082324,82.0659565237525,80.7071483474251,79.96632996633,77.3026315789474,77.1806604298881,75.9493072956333,75.196335078534,74.4172825469016,73.7974172398311,73.7341772151899,73.6994219653179,73.345920205457,73.2217573221757,72.7304227304227,71.9135802469136,72.0015657790117,72.2395416288546,72.9472140762463,73.7955302940126,74.9599787269475,76.5910889706225,77.9616724738676,77.0370419879831,77.2977799244954,78.6516240861523,79.5334040296925,80.3994078389129,82.91015625,84.4036697247706,86.5051903114187,88.3248730964467,90.7534246575343,92.7099268724502,96.3586723768737,96.2361168356401,103.030303030303,104.830256306215,106.344984802432,107.090464547677,107.465753424658,106.108553893364,106.945359018022,109.85105439632,110.146211785556,111.020100084703,112.653685674548,112.103001165501,114.387391967463,115.229587199624,115.759084460345,115.042791310072,115.196078431373,116.456413434028,117.521367521368,117.746368276404,119.267696768584,121.182918387989,121.951219512195,124.324324324324,124.716553287982,125.058524173028,125.52050209205,125.527164858644,125.523986958547,126.835993430656,128.985217391304,129.391905343805,130.4805234032,130.913091309131,131.387699383919,131.964809384164,132.748356872325,133.108361454818,133.496384257813,133.479212253829,133.852224519753,135.087719298246,136.293549096304,138.033851709366,139.230659238481,140.967714884696,142.571775707346,145.42816555821,147.148988350705,147.645203252592,148.381041554942,149.848593721856,152.185792349727,153.900091798747,155.332956517488,157.634005763689,160.633270321361,164.059906706966,164.983164983165,165.998134328358,167.679944095038,168.407122232916,168.641975308642,167.863805970149,167.73855020574,167.375974263256,170.025188916877,170.07256282278
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,138.888888888889,140.053077305689,140.712945590994,141.987829614604,140.921502647838,144.869409977037,152.800546448087,152.047720797721,148.700939745716,148.012329931973,143.774912692678,144.660704892162,150.321953129409,152.866242038217,154.174228675136,153.555260132222,150.648189393145,151.122139180148,152.346244641542,150,146.741045214328,146.741045214328,143.213630302232,142.167401358578,141.592920353982,144.572149025298,144.572149025298,148.318496538081,149.71098265896,150,155.764751552795,161.544523246651,163.265306122449,159.156050955414,167.79432905005,173.496076721883,171.563665952211,173.553593916497,178.485012639942,176.62733280763,175.151798225128,183.315749235474,186.493906934752,189.393939393939,190.699523052464,192.777142857143,202.469641300286,202.635135135135,203.045685279188,207.369084344619,207.345971563981,216.876971608833,221.465076660988,225.678733031674,227.649006622517,220.657161446072,229.057984049889,226.924939992481,229.357798165138,234.495192307692,234.848484848485,236.742424242424,235.868608088559,235.235235235235,236.724647331558,239.719157472417,246.913580246914,246.913580246914,247.252747252747,250,254.104769351056,257.4568288854,258.382915262634,255.847953216374,260.736196319018,268.060464845958,267.558528428094,277.777777777778,268.348642204477,272.194304857621,271.052631578947,273.186441221766,276.369680489924,276.046720892073,280.660377358491,287.159093290698,300.374176417822,306.037414965986,308.641975308642,307.62987012987,305.725971370143,309.782608695652,312.5,307.057057057057,318.959107806691,325.018896447468,328.532193807717,331.78478682355,334.429824561404,333.874045801527,340.909090909091,346.027390167499,351.519287833828,346.669207383091,350.097072714122,356.312292358804,363.545816733068,356.312292358804,356.391659310915,347.541942800014,358.308984259147
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",9,233.6860670194,236.287477954145,237.301587301587,248.75,244.177448124817,243.804885867215,239.5,239.43085106383,238.331644714623,238.566254416961,239.655956112853,239.5,235.552464228935,239.5,236.556199056199,233.320858707856,234.558823529412,237.397058823529,239.5,245.043871996997,234.530175706646,238.944492228564,231.611111111111,234.900117508813,229.001584786054,219.19014084507,221.428571428571,224.134440989766,223.118279569892,224.859462835728,224.375,224.859462835728,226.158409263478,231.329923273657,247.349823321555,243.993993993994,254.977834370873,258.960573476703,254.84439893042,254.850088183422,256.800870511425,247.80701754386,254.838709677419,256.818181818182,256.948584202683,260.06980578951,250.156739811912,248.376623376623,244.607843137255,235.285269709544,244.200244200244,241.148637624409,279.406964091404,284.02076318743,283.09771702726,282.029950083195,280.625,286.086956521739,287.081339712919,287.081339712919,288.461538461538,289.511218511851,290.123456790123,292.134831460674,289.699570815451,290.564373897707,298.828125,298.828125,298.247018551237,303.265940902022,308.505077658303,320.101792573624,312.019230769231,315.560391730141,333.540858672045,345.619376249722,341.578947368421,348.994222689076,347.116430903156,349.5,352.91519434629,352.91519434629,357.228195937873,360.657524613221,357.608695652174,341.168091168091,352.63998369122,346.414494851995,358.695652173913,358.695652173913,361.581920903955,358.695652173913,361.65912765455,375,375.65987933635,383.774219535287,386.274416157229,385.885885885886,390.217391304348,386.662946428571,390.653250107619,399.216539957567,402.298850574713,399.305555555556,403.790197160488,400.766639163916,406.698564593301,406.698564593301,402.777777777778,397.897897897898,397.526501766784
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,124.028622775333,122.430471584039,122.383252818035,120.942080556202,118.181818181818,114.324963589669,112.903225806452,113.126415856421,109.599395313681,107.349298100743,105.982100800754,103.696253836433,101.616681045066,100.984251968504,99.5948136142626,97.6545842217484,100,100.169973820453,99.6681171533862,99.7652582159624,98.2604607428303,99.1501416430595,100.599125403933,102.042360060514,103.193548387097,105.851229380641,110.909090909091,112.115667833658,116.6210173683,118.65889212828,117.856313717005,120.686935479193,124.933155080214,124.241401872981,123.239436619718,127.164502164502,131.402842224408,135.455484548075,139.249907166729,143.737166324435,146.436285097192,150.950717889018,151.515151515152,152.290760174047,152.41935483871,154.891304347826,153.927813163482,152.756508422665,153.28587075575,155.434173669468,155.819774718398,156.933770429016,155.51078800619,155.72374002453,154.738989965116,154.902867715079,155.875299760192,156.110615521855,156.85195376995,157.318741450068,159.440238586832,160.444349692835,159.914712153518,161.56862745098,163.046594982079,162.876045688546,161.068044788975,164.870006341154,165.050930804355,166.642479266788,169.376693766938,168.032212885154,169.437380930967,169.694892012341,170.685206409637,173.530809949635,174.726353646218,174.759182027827,173.807599029911,173.452157598499,174.2696053306,174.734662179653,177.153762268266,178.774120317821,179.110105580694,179.753837483009,179.723502304147,182.406602953953,184.257075471698,184.198845983134,184.638268353971,183.461117196057,184.433844468925,185.121107266436,184.159378036929,185.123456790123,186.463425703801,190.865712338105,192.5,193.922706341266,195.190380761523,194.444444444444,195.409018442827,195.690855639796,196.004290887416,195.724091603729,197.564338235294,198.215701823949,200.370372611793,200.816882232811,202.806612841215
