RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
12447,Los Angeles,California,1,498e3,487e3,465300,457400,438500,423e3,406300,398e3,385100,373400,354500,343800,335900,329e3,324300,328200,333100,338400,340300,346e3,346200,353400,356700,362400,357800,353600,353700,352500,354300,349800,353400,352500,357600,363100,357800,357e3,344200,348600,348300,349500,346400,342400,340300,334900,331100,331500,330500,331400,330200,337900,340300,347100,353900,362500,374700,378e3,384900,399400,403400,413700,410200,431200,445500,461600,469e3,470200,472800,475500,474500,467800,451100,449300,452200,463900,468400,466300,467e3,467e3,467900,473400,470800,477600,478700,488500,491300,495600,494300,496900,499e3,506500,510900,510100,510700,519400,523400,527100,521400,529400,533600,537500,535600,536600,539600,54e4,543800,545e3,552700,552500,556400,556100,563300,569500,578200,577300,579100,586e3,603300,616500,614e3,623800,626600,640800,640100,651800,645800,655500,657500,683500,688500,695100,692700,690300,697100
17426,Chicago,Illinois,2,322700,315e3,295100,279100,274500,271200,271700,269600,262500,258100,248600,246500,248e3,245400,239400,227200,227100,229700,231e3,230500,235500,234e3,237200,225300,223800,221400,227600,228700,220100,211600,199e3,200400,202900,204600,202400,198400,196200,189200,185e3,190200,200100,206800,205300,201600,192200,191100,184700,182e3,179e3,182400,188400,195100,201700,209400,215400,209800,208600,199300,204300,197500,201500,204200,219400,232200,242900,248600,251300,254600,252700,247900,244300,252800,256700,257100,255e3,257700,257700,259400,263100,266100,267700,264100,266300,263e3,266500,267900,268600,263400,256100,244800,238700,230700,222500,219e3,217900,218e3,215700,217300,222e3,223500,226700,231400,232400,233700,238900,249700,260300,254600,251e3,238600,234500,225700,222800,226100,226200,229300,231200,237700,245700,252e3,273500,275100,277400,261800,267500,267800,268300,263800,27e4,253700,262200,267200,298900
6915,San Antonio,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164e3,163600,165600,165700,166900,166700,169600,171600,173600,172400,172200,172300,173500,174700,174500,178100,176600,178100,175300,176200,178600,179500,180400,177700,178400,178800,179900,180100,180700,180700,179800,181e3,180600,180200,179500,181300,182100,182600,182300,185700,186900,189e3,188100,188600,189500,191100,192100,191900,191700,192e3,193700,198800,201e3,200800,196400,195200,197100
13271,Philadelphia,Pennsylvania,4,110500,110400,111900,11e4,108200,111e3,114e3,116900,115200,112100,108200,102900,102700,11e4,112600,113700,108900,115700,121500,125400,13e4,128100,124600,114700,115400,117800,121100,119300,115100,106200,105e3,101600,111700,106800,109300,104500,107700,111e3,111300,111400,105400,106500,106e3,107600,103800,105e3,104300,101600,1e5,103300,109800,107800,107200,108900,109600,107400,107400,112700,115400,112700,107900,108e3,109600,112700,114900,115400,115700,116400,117e3,119200,119400,120700,125100,123800,123e3,118300,117800,119800,118800,121400,118900,12e4,118300,113e3,114900,115800,12e4,120600,120900,121400,122900,127300,127800,124100,127700,128600,129e3,121100,122400,122700,125500,125800,129900,128300,131e3,131300,134100,135100,136900,140500,142500,144600,144200,145700,145200,145700,148300,148300,151400,143500,141700,138e3,144700,144200,143600,142e3,145700,149e3,153600,157500,159e3,159800,162600
40326,Phoenix,Arizona,5,221200,211600,203e3,195100,185400,176200,167500,154700,140100,122900,108500,93200,81600,74100,73200,81400,88100,95200,95700,97500,104400,105200,106e3,102800,102600,102200,101400,103300,101700,98e3,95400,94100,90600,85100,84800,83900,83600,80100,79300,81400,83200,86100,88800,90900,96200,98500,93900,86300,81600,84800,93200,97e3,101400,104300,106700,111900,116e3,120800,124200,122200,122900,123300,129e3,133800,137200,137700,138e3,138100,136500,137100,137300,138800,138300,139600,138700,139300,139400,141e3,143300,143600,143800,145300,144900,147500,149400,154400,158400,161200,162200,162e3,161800,163900,167100,169500,170700,170400,172200,173800,175400,175900,176200,179200,182300,184900,187400,187300,189400,189100,190100,189300,189700,191100,192800,194800,196e3,198300,201200,203700,208700,212900,214600,216900,215100,216200,217400,218800,220300,219900,223600,223900,228300,228900,230400
18959,Las Vegas,Nevada,6,244500,239400,236e3,229200,219300,208e3,194700,184900,174600,166200,157900,149100,141600,130900,124100,119900,119500,117600,116400,117400,119e3,121600,123e3,123300,122900,124200,126200,127800,124800,123800,120400,119100,116700,115300,114800,113500,110500,108800,108200,108300,106600,103800,102600,103200,104400,105900,106400,106300,107500,109800,113200,116100,118600,121300,123900,126600,130600,133300,136800,138900,142600,145200,148600,154100,158e3,161600,161200,163200,163700,166600,166800,168600,169800,172100,172300,163100,162500,166600,177800,180100,178900,179100,179500,182600,183300,185900,186300,185700,188500,187800,190500,188800,191800,192900,198e3,200400,200300,198300,197e3,198700,198300,198800,198400,201400,205600,207100,209600,208600,214100,215e3,219100,223600,226700,227900,229300,232300,235600,238600,243e3,246800,253e3,257300,266400,271600,274400,273e3,275100,278e3,280900,279700,280100,276e3,275500
54296,San Diego,California,7,423e3,409400,398e3,379300,370100,355200,347100,333500,320500,309200,296e3,303e3,296200,294600,290200,307600,323e3,331500,338800,346500,345700,350100,342200,348400,347500,351900,348500,344700,348600,348600,352200,353500,359100,358700,347600,341900,338900,344700,343800,337700,333400,328500,326600,325900,325600,329600,328600,331700,336200,343700,351200,354900,364900,367100,369800,371800,381e3,390900,397600,403800,409100,416500,426e3,430500,432500,428900,434100,433100,435e3,434400,438200,441e3,441800,441900,444100,445e3,448600,453200,458e3,464300,462800,462700,463200,475400,484200,483600,476800,474800,478300,479400,471600,467900,471e3,487500,500600,504300,494700,496500,496900,502400,499500,502100,504800,514700,518100,520400,526300,540100,546100,538e3,530600,537100,542300,546200,546800,551800,562500,569900,574e3,574700,577600,583700,589500,594400,593500,595300,597900,594e3,584100,579200,588300,601200,604700
33839,San Jose,California,8,616300,583700,565800,545300,533900,522300,501500,476600,445e3,426e3,420500,414800,395500,370300,359400,367700,394500,403600,417500,419300,436e3,448900,458200,465100,466400,454300,454600,448800,458400,456e3,460100,456600,452800,449400,448100,438e3,429100,417900,414900,423400,425900,432500,431900,425600,425e3,420100,431500,430800,432700,437600,440700,451200,466300,494100,510300,515600,518600,523500,539400,546900,555600,563800,579e3,592800,599300,601600,605300,608e3,610900,614700,619400,624700,624200,630300,634100,641300,637800,647300,652600,661e3,664500,668100,674300,664800,675500,681500,699800,704100,713700,721700,730100,731700,731800,736600,734800,744600,75e4,760900,765100,762400,767800,764700,765400,768500,776200,781700,79e4,799300,809200,810200,808900,813500,826800,838300,855500,876300,907300,951600,973900,1017300,1038e3,1062500,1056800,1041400,1018800,1004800,1000400,1011200,992e3,985500,974600,972900,966e3
25290,Jacksonville,Florida,9,173100,166900,153200,146400,142900,141600,135800,130300,130500,128800,129200,129900,131200,126800,114300,109500,109300,112400,110700,106500,109300,109700,110500,109100,110400,109500,102900,99200,98400,94400,87500,82200,88700,92800,94800,91400,90100,89100,84500,84900,84200,87e3,82900,82900,83200,88600,84400,82800,78400,81e3,78600,76900,75500,76400,77900,75700,77800,80100,86400,84200,82600,80100,80900,77100,74500,78800,82600,86800,85700,86400,84700,80400,79600,78600,76700,75e3,78700,80200,81700,82600,85400,86400,81100,77300,74600,77e3,84400,91100,96400,96300,99100,97800,94900,92800,94e3,103800,103800,109500,109900,115600,114200,112300,110300,112e3,113600,114500,117800,130500,138700,139500,130300,125700,123e3,124600,121300,119900,121e3,125400,132400,136800,147500,148100,145e3,139500,141500,142500,144600,141300,142200,139500,142500,150400,156300
24043,Charlotte,North Carolina,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181300,187500,186800,188400,188300,188900,188600,187400,188900,191800,193100,200900,209900,221400,222700,225e3,225600,221600,219900,215500,218900,216700,217200,223300,227600,233300
