RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
3101,Los Angeles County,California,1,463600,449900,433500,421e3,403900,388500,372100,360500,350100,337100,322600,311e3,304800,299800,296500,299800,306500,314100,321700,326500,330600,333600,337800,338600,337700,335300,339200,336200,337100,331500,337300,334700,337200,334300,331400,329200,325900,328900,327300,322500,319200,315700,316700,310100,310700,309300,310100,309100,309200,314600,317300,320100,323800,329600,338800,345600,355e3,363100,366300,367400,374300,388600,402100,410800,416200,421500,423500,427300,425900,425200,420900,423100,423600,428100,429700,429600,431500,432200,434900,436200,438100,441500,444200,449400,454900,458700,459e3,460400,460700,463e3,462800,464400,464200,473e3,476100,479800,478300,485e3,492200,493500,491800,492100,495e3,493500,496200,493500,499400,493600,498800,499500,507200,509500,512600,514800,520800,529600,543e3,551300,559e3,563300,566900,567400,570500,573600,574400,576300,581200,590600,598100,596700,598200,596e3,602900,605500,605300,602100
139,Cook County,Illinois,2,,,,,,,,,,,,,,,,198300,198e3,200200,203400,205300,210100,210400,210300,204500,202600,201300,199800,199300,193e3,187e3,178400,179e3,183200,188700,187900,187200,181600,176300,166900,163800,167600,172900,175100,173100,167600,168800,164900,164200,160800,161200,160200,163200,165300,170700,171900,168800,168500,164300,166700,164700,165100,164400,171200,182600,196200,202700,205200,207400,206700,206900,202900,208800,206500,205800,202200,205700,208200,210700,215200,218700,219300,216300,217600,217400,221600,222900,223200,219100,214600,205100,201100,194700,193100,189500,188200,188e3,186900,189700,19e4,192100,192900,196700,195800,196900,200600,207400,210900,212500,212600,211800,208900,204700,201600,201500,201700,204100,206900,211500,216700,221600,231300,232700,229800,226300,227200,228900,227700,229100,236e3,229700,233900,243500,262400,264600,254400,243100
2402,Maricopa County,Arizona,3,231500,221400,212500,208300,202700,197e3,187300,178500,169500,159200,149600,138600,13e4,121600,117200,119900,124500,128800,130700,131900,136200,136300,137500,136500,136700,135400,132500,131900,130900,128900,126900,125300,125200,121600,120900,12e4,119700,116500,112700,113800,114900,115900,117e3,118200,123300,124700,119500,112700,109400,114900,120100,123700,125e3,127400,127300,131700,136500,141200,143600,143300,145900,148200,151100,153200,156400,157100,157700,157200,156700,158100,158100,159300,158800,158900,159300,158600,159900,160200,163400,163600,164800,166200,166100,168600,170600,174e3,176e3,178e3,179400,180300,181700,182800,184600,187200,189100,190400,191600,193600,196100,197700,198700,201100,202200,204600,207200,207100,208900,209500,211800,211500,211700,212100,214200,216e3,217700,219300,222800,224500,228900,232e3,235400,235200,233500,235e3,238400,240400,240100,241e3,245100,248e3,252700,255200,256100,251900,249e3,250500
2841,San Diego County,California,4,402900,394e3,379900,368100,353300,341300,331400,320900,308300,298700,290300,288800,283500,282400,281100,289400,298200,308500,315e3,321200,325600,329600,326e3,327900,329300,336e3,335500,331900,331300,330400,333600,334500,334900,335600,326900,322800,319300,322300,321900,318300,317100,317900,316e3,315700,313500,316400,316100,317e3,319400,323700,329300,330700,335e3,339100,347300,353e3,360700,368400,370800,371600,374e3,385700,397600,404500,409200,410100,414800,414600,416400,417800,417600,418400,418800,423100,427100,429500,432900,435200,437800,439900,438600,436900,438900,444200,449400,448400,449200,453100,457100,459800,457500,456900,460800,465800,472e3,471300,473100,476200,479900,480200,478100,480100,484100,492600,494200,496700,497400,503100,508100,509800,512600,516600,518600,521600,524400,528800,535900,540900,542900,544500,546e3,554200,554900,557100,554600,557400,560200,560900,555800,553100,551800,555200,553e3,557700,558200,
1286,Orange County,California,5,513200,505400,490500,472600,458e3,445100,435100,422400,407100,398200,386e3,386e3,382600,381900,387300,396800,411300,419500,427e3,433500,437800,441300,445200,445800,444500,439400,437600,435200,439700,438800,443100,441400,441100,432e3,428200,425100,431600,429300,425500,418100,418e3,417100,418900,411800,409e3,402900,406100,404600,405200,407100,413900,423700,433400,441600,447100,449900,456e3,464100,467300,477200,486900,506300,515400,521400,523e3,525700,528200,526800,529e3,536100,543200,549800,548100,547600,549800,550600,551400,550300,554e3,563500,566e3,566400,561100,567100,571300,577800,575400,579500,585200,590600,593400,589900,593800,596600,605200,604300,604700,605100,609600,613300,612600,619900,619800,617700,605400,599400,595500,594200,596600,602200,611900,615700,617700,614e3,619e3,635500,657900,672600,681600,692900,708e3,708300,704100,697900,703300,705300,711400,707700,703600,693300,693700,691300,695600,700100,702600,700300
2964,Miami-Dade County,Florida,6,289e3,280500,269100,256800,248500,242400,234400,223500,212100,204700,190600,179500,169e3,161300,154200,149600,151800,154900,155900,156500,157400,158600,164600,166700,172200,169600,170700,164400,155400,145900,135600,138e3,141e3,142700,130500,124300,122300,131500,14e4,147300,159300,157700,154300,147200,147400,154600,159700,162500,162200,163700,165800,170500,169400,169200,168100,168300,171100,177800,182400,187700,186500,189300,193800,198900,201e3,203500,202e3,198600,199900,200100,204900,195900,196900,198200,205800,206200,209700,208300,208500,207700,209300,213900,212300,214200,215600,217900,222e3,222900,224700,222e3,223500,224300,225700,225e3,227100,230100,230400,231900,230200,233200,234900,239900,241800,246300,249400,252e3,252900,251900,252900,254400,254e3,253300,249300,253200,257600,261e3,260500,26e4,265400,268300,272800,269600,268200,266300,267800,271800,270600,275100,276900,282e3,28e4,279e3,281300,282500,282600,282700
2832,Riverside County,California,7,317100,299800,282800,270600,258900,246800,236e3,228100,218600,209400,200600,193400,184400,175200,169200,168200,169100,171100,173400,176600,181500,185300,190500,193200,192900,190200,190500,192200,193100,191600,192100,192800,191300,190600,190700,193300,191900,188500,185600,184500,183800,182500,183300,184600,185900,184700,185700,186700,188100,191400,192800,195e3,195900,198800,203800,210100,215900,221900,226700,230600,234600,237300,242100,247200,251100,253900,258e3,261900,267600,269500,275500,279400,280700,278300,278900,280200,282100,281900,282700,283800,284700,286300,288100,294300,295500,297900,294300,294800,295900,297300,300600,302e3,302900,304e3,306300,308800,310700,311400,311900,312600,313300,317100,322e3,322200,321100,318e3,319800,323300,325600,328100,326800,329200,332100,335300,337200,342500,347300,350800,357300,367200,369300,367e3,363900,366800,366e3,365e3,369600,371600,374200,369300,372100,372800,374500,371800,370200,
3250,San Bernardino County,California,8,267300,254800,241400,233100,220400,211700,201e3,194700,186400,176900,167700,158400,151300,141500,136500,133200,132700,134400,137400,141800,145400,147800,149700,149300,148400,148e3,148200,150400,150400,152700,153800,153900,152500,150100,151e3,151700,151300,148500,145400,143700,144500,146700,149500,150400,150700,148e3,147400,145300,146400,148200,151e3,154200,156200,160100,163600,166300,171600,174100,177900,175300,178100,181e3,188800,192400,195200,199600,209200,218900,219200,219900,218500,222700,221300,224300,227100,231300,231500,232400,231800,235200,237600,240500,240300,241e3,244500,247800,248400,247500,248900,252900,255400,254300,255400,256900,260100,261200,262400,262100,264500,264300,267500,266500,275200,273600,274100,267700,266400,266200,268100,272900,276900,279200,278800,279900,284300,293400,299700,301100,302900,308400,311300,314100,311700,315200,315e3,316800,316800,318200,315700,312600,313800,318500,323200,324800,329900,
445,Clark County,Nevada,9,244700,239500,234400,228200,218500,207500,194400,186800,178100,171e3,162500,155100,147900,137800,130400,126e3,124500,121900,120400,121800,124200,124700,124600,123700,124100,125600,128e3,130400,127900,126500,122800,122300,120800,119e3,118200,116900,115e3,113100,111600,112100,109900,107500,105900,107800,110100,110200,110200,108600,109800,112200,115900,120400,121800,123800,125e3,129200,133300,136500,139e3,140900,144300,148e3,151900,157800,161e3,163800,162800,163800,165800,168e3,169600,170700,172600,173500,173900,168300,168700,171400,178600,180700,181100,182500,183200,186200,186900,189200,188500,189100,190400,192e3,194400,194100,196e3,195700,199900,200800,201400,199e3,199500,202200,204e3,204200,203500,205600,207600,208400,210800,212500,217900,219400,222800,228e3,230800,232200,231400,234700,237600,240700,243600,247e3,25e4,252800,257e3,263400,263300,264100,262500,267300,269100,269500,271800,271800,273700,27e4,270500,272200
207,King County,Washington,10,394500,388600,381e3,375100,366600,363500,360800,360900,356500,359500,367800,369400,358200,339200,330200,328200,328700,330600,334500,339600,338700,348200,361900,372700,367500,349500,339900,334700,348e3,352500,358900,352900,353900,356600,361300,364300,354200,341300,326400,318e3,310300,309100,312200,308e3,304300,301600,307e3,305500,302800,309400,318700,331200,332700,337600,340800,347800,358700,362900,361500,360500,363200,364400,366300,364800,373600,374700,381800,381500,381200,377200,379e3,380600,380800,374300,371500,374500,382700,383500,386900,387500,391100,389500,390500,391500,393500,399900,404200,408e3,403100,407700,409300,414700,416500,425e3,433500,438800,438500,436200,437100,443300,442900,443e3,441600,449800,460300,468800,477900,481400,487800,494800,505700,514100,522100,529700,534300,540900,544200,553900,557900,566300,577700,592400,599400,592500,578200,569100,570100,576200,577400,575900,578600,584700,592600,595500,606900,606800
