RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
112345,Maryvale,Arizona,1,,,,,,,,,,,,,,,,,,,47700,50500,56200,56300,56500,53100,51300,51200,50800,53200,51500,48100,45300,42800,42500,40400,42e3,41700,41800,40400,39600,40600,40700,41900,43100,45e3,45800,45500,46400,47300,5e4,52500,59900,63400,65400,65100,67700,73400,74400,75700,82500,85e3,83800,76800,80400,84900,87100,95700,97800,102500,96400,97200,95400,92400,93600,97100,100300,101600,101100,102900,102600,103100,104500,112100,110300,111700,109600,114700,116900,118e3,12e4,121100,120300,12e4,118900,122300,124100,133500,134e3,135900,131300,132500,135500,137100,140400,142e3,145100,145e3,145600,147300,148400,150300,148900,151200,150100,151900,154700,159e3,16e4,160200,162600,164800,165500,166200,168600,171900,174e3,174100,176400,176100,179200,180100,182900,185800,184600
192689,Paradise,Nevada,2,270500,286500,289400,257400,232e3,214800,203900,191800,182400,168700,163500,147800,137400,127600,123e3,114e3,114400,113700,115700,113400,115600,118e3,117100,116800,115500,116100,116600,116200,118e3,116400,113900,106500,105600,104600,105900,106300,104500,107200,101300,102900,97800,100700,97600,100500,100600,100800,102300,100900,105800,102300,105600,106200,115e3,113e3,115600,113300,123500,127300,131800,133100,134600,139e3,14e4,142100,143800,145400,147900,148300,151200,153900,156100,156600,156900,154700,155700,148e3,154200,164700,173e3,173100,164600,167600,168e3,169200,172900,175300,177200,170400,170200,172300,180100,181900,184400,181500,182700,182300,181800,181700,181600,185100,186e3,188300,187e3,192e3,189900,192800,191400,195200,198300,198e3,201800,205300,207700,207500,209800,213900,218300,221500,226200,228700,230700,233400,238400,244400,247e3,251300,251600,251200,253300,252300,257600,255100,253400
270958,Upper West Side,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972500,979e3,932100,1012300,1034600,1032600,920700,912800,923500,965200,945800,928800,869e3,789600,783100,791800,833800,812600,797200,87e4,873400,923800,832300,882700,891700,940800,902400,884300,855200,874100,833500,851200,869900,922800,940400,908800,918600,911300,903300,896100,937100,975100,1002800,967500,974e3,913400,922200,897400,905800,888100,932200,965100,999200,972500,1015e3,1084100,1098800,1145400,1153200,1401100,1385500,1381e3,1164300,1176800,1104400,1064900,1017800,1025600,1044700,1130100,1107200,1113200,1001500,1027800,1094800,1119500,1170100,1206100,1231e3,1206100,1119100,1105600,1113700,1180900,1253200,1276300,1221300,1139e3,1167e3,1160300,1162e3,1082600,1236700,1264500,1224600,1045600,1038600,1127600,1199100,1210600
118208,South Los Angeles,California,4,,,,,,286500,269500,263400,245500,230300,218900,212500,212900,198400,185500,176300,180500,184700,183500,179e3,184900,191800,198800,199900,196400,194900,200200,210400,204600,201300,202600,211100,206700,198200,203700,215800,219700,207100,199500,199700,206e3,204300,200600,200400,194900,193600,191700,196e3,202e3,201800,203800,202800,203700,209400,208300,212e3,213800,218100,222800,218400,221900,225800,233700,237300,241200,243100,251800,256500,268e3,272600,275600,277900,281200,286100,288500,290900,286400,287e3,289800,294900,299500,296800,298700,296100,300900,314e3,317100,315e3,308700,308800,315e3,321800,326100,328600,329100,339100,342300,345400,345e3,356100,363500,371500,367400,37e4,365800,370300,371900,380700,386800,39e4,392100,409700,416900,428e3,418300,423e3,424100,437900,449300,455100,460900,459800,471800,479500,479200,476300,464800,470700,479e3,484200,477600,467e3,464400
192820,Sunrise Manor,Nevada,5,,,,,,,,,,,,,,,,,,,72300,76e3,77300,85700,88400,89e3,82600,82300,82200,83e3,81200,81e3,78700,76300,75600,73200,74400,72500,74e3,72100,71300,70800,67400,66600,65400,68e3,70300,68100,67600,65600,67400,67e3,69900,73800,77400,77300,80100,82e3,88100,88600,92300,94700,97800,96900,95100,97900,102300,107300,109200,109400,114e3,113800,116100,112900,116100,115500,116300,112200,113600,115900,120200,125300,132400,135300,133400,128500,128500,132100,133400,134100,137e3,137500,138700,136900,138300,139600,158200,157800,159100,151200,154600,156e3,147700,148700,149700,151600,152600,151800,153400,157e3,162500,164900,165800,167100,169900,170800,170400,172300,177500,182900,186300,188300,192300,191700,193800,201800,205900,206100,202e3,208800,210800,211100,210300,213800,216500
192796,Spring Valley,Nevada,6,233500,227900,224800,223800,217e3,214900,197700,194600,185600,184700,177800,171400,164800,150500,138400,130900,128800,125700,120800,123900,126400,127800,127400,127300,131800,132500,132300,134800,128700,126300,117400,119500,119200,119200,116900,117600,116300,112800,113800,116900,117400,111200,106300,108200,11e4,110300,109600,109700,117800,117500,121700,122700,129100,130800,127600,130800,134600,139100,142500,143700,152300,153300,155600,153500,156400,159300,162300,165200,167700,166e3,165600,168300,170700,174200,176600,176600,173800,171700,171200,182100,182800,190400,184300,187500,187900,189600,189700,188500,188800,189200,189500,187500,190300,192500,195500,203500,223600,224600,217900,199800,205200,205500,207100,206900,224300,225500,225100,212500,214800,217600,220400,226200,229400,235400,238200,242e3,241900,245e3,251100,255400,267100,271800,280900,280200,284500,283500,283600,287e3,290200,295400,285300,281300,
268496,Southeast Los Angeles,California,7,,,,,,241400,221700,212600,193400,19e4,185600,17e4,151700,140100,143e3,140200,133400,129700,129300,133200,139200,144600,152500,149e3,147400,140700,141500,148800,148400,154900,160500,171600,172300,164600,156400,153300,158300,167300,170900,171500,173600,173300,167200,165e3,161300,161100,153200,150400,149600,158500,164400,174900,170300,183600,177200,187100,184500,189800,186100,174500,181100,186900,197600,198900,197900,213900,224100,228200,216600,214700,221100,227100,222300,221e3,222100,232100,237600,243400,242400,242900,252300,249700,251700,242e3,251e3,256200,264100,274e3,274500,272100,272700,276200,284300,283600,284500,287400,290300,290200,289500,293100,301100,304500,306900,308900,312900,314300,317600,325800,329700,322300,321500,319500,330800,331300,336e3,338600,347400,348800,349700,339700,348500,351200,356200,359500,361600,382200,379600,398900,389800,394800,382700,381500,383600
112547,Paradise Valley,Arizona,8,277400,262600,263800,262900,261900,251100,247700,238200,258800,250200,243600,205700,185e3,167800,164200,168400,173400,174900,173500,170500,174400,175500,179400,166e3,160500,152900,159500,164900,168800,161900,151800,148700,148600,150700,152e3,152500,144600,139100,131e3,136700,138400,143200,142900,141200,148500,149300,147200,139700,141e3,141500,143700,146100,150800,155700,152800,155600,160800,167700,167300,168900,168e3,171600,178300,192700,205600,204200,198600,194700,193100,193700,196500,185800,183800,180700,184900,186600,185600,191400,194300,194200,196e3,196200,197300,206900,213600,22e4,217900,217700,209600,210400,206100,214900,220500,224100,229400,222700,237e3,235e3,240400,230100,231900,235e3,240500,240100,240900,241900,242900,241800,242200,240600,242300,241100,247400,251600,251300,251600,254600,258200,260700,259200,261900,264700,270400,270600,277300,278e3,273700,272400,263700,268600,267300,275800,280300
111818,Deer Valley,Arizona,9,215800,208800,201600,197600,194e3,187300,181600,179100,175600,168100,161900,156e3,151500,137900,130600,126e3,127200,127900,131400,130200,128700,126600,129400,129500,129400,125200,124900,120700,119100,115900,118100,119800,116500,108900,104700,106300,105800,102800,101200,101800,102e3,102600,104400,106800,107e3,110100,105e3,104100,100900,108400,112700,114700,114900,117500,119800,128100,128100,133e3,132600,136100,136300,138700,141900,143800,145500,146900,149e3,149500,148400,149600,151600,156e3,157500,157400,153e3,156300,162e3,165700,160300,154e3,151700,155800,150100,154e3,155300,164e3,167100,169400,171300,170900,172600,175900,18e4,185100,185600,186100,184600,193800,196600,198900,193e3,195300,198200,201e3,202400,201900,203900,206900,21e4,209200,205600,205100,208400,212500,214100,214500,218200,219400,219500,218100,222400,230100,230100,228600,223800,227200,226500,227800,227400,229500,233100,236300,240900
267955,North Mountain,Arizona,10,,,,,,,,,,,,,,,,,,,76700,80100,89300,87600,88800,81e3,83200,82600,83800,85e3,82200,82400,79100,81200,78400,73600,78100,72e3,72200,62100,64500,67900,67600,69100,66900,66600,70500,74e3,80200,76600,77100,76500,82900,85800,89900,93800,96800,100500,107100,109500,112500,113900,117800,120800,119200,121200,122300,126500,126800,130200,131300,131600,127400,137400,138100,142600,131500,129700,129100,130800,132800,133200,130500,132300,133900,136900,139400,141300,146100,147500,150100,149500,152100,151900,153500,155500,159200,161200,160200,157800,159100,162800,165400,166800,166900,161500,164500,167700,178200,175500,175700,172900,176700,176300,176100,174200,175700,175800,178600,176900,188200,192200,198200,197800,199600,200200,200300,199400,201700,205200,207300,207700,216800,213800,221100
