RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
9,California,1,388500,370700,347500,332e3,317200,304900,291e3,278600,264500,254900,243300,236900,228e3,220800,216300,220300,230500,238400,244700,249e3,255200,260700,263300,264200,262900,260900,263700,263200,266300,262800,265500,262600,260900,258300,255800,255700,252e3,250600,246300,244500,243200,243700,244700,244e3,244500,243800,246200,247200,249600,254700,259100,264500,270800,277800,286600,291300,298900,306100,309600,311200,314600,324500,335700,345e3,352900,356900,358200,359700,361300,364900,365900,368400,368600,370700,373900,374300,376200,377e3,381100,382500,382600,382400,383700,388400,391500,395800,395800,398400,398200,399900,399400,4e5,402e3,407300,411800,411600,409900,410300,414100,415100,415500,416400,42e4,421100,421600,420100,421800,421800,425700,427100,432100,435800,438300,439300,441700,448700,457700,463100,468100,473500,479500,482800,483300,482900,483200,482900,483800,486e3,487e3,485600,483400,486300,490400,495400,497e3,500600
54,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184100,185600,186200,186600,184900,185e3,185800,187e3,188200,189100,190100,191e3,191900,193200,194500,195700,197e3,198900,200300,201300,201300,203e3,203400,204e3,202900,203100,203500,204600,205800,206800,207800,208400,209500,212100,213400,214200,214400,216e3,218200,219100,221600,222400,222e3,22e4,217600,217900,220400,224300,226400,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240100,244500,251500,259600,260600,257300,251600,251100,243700,236600,218400,205100,195400,194900,194500,195700,194500,197800,206400,209300,210600,210400,213400,216e3,218e3,218500,214900,212e3,208500,216200,219800,227900,230500,234200,235800,234200,232500,230800,230800,228600,225700,231400,232100,233400,226600,224600,225e3,226e3,227700,227300,226500,227100,227500,228700,227800,225800,227700,231700,235300,238400,238e3,236e3,233100,237800,241700,242600,243100,245700,248100,246200,243600,244800,248100,249100,256300,261100,271400,273700,275200,274500,270100,271800,272900,279200,282300,287600,290600,292200,294200,296500,297100,298300,293100,291700,288200,293300,296700,301900,299100,296e3,298100,310300,
14,Florida,4,203700,196300,190900,186500,183800,179900,175200,169400,163900,156700,150200,143400,137800,132300,127800,125400,126600,127200,129100,128900,130900,131e3,13e4,127800,126500,126100,125200,123800,120700,117200,114800,115100,116800,117200,114900,110400,107900,109e3,112600,114300,115800,115800,116600,116200,116700,118200,119800,120600,121e3,122300,124200,125400,125400,125400,126600,128e3,130400,132700,135200,135300,135700,137200,139600,141400,142400,144400,146700,147800,150100,150300,150200,147900,147300,147800,148900,150100,151800,152400,153600,154800,157300,158e3,158100,158e3,159900,162200,166e3,166800,167900,166700,168100,169400,170800,172500,174600,176600,177100,177400,178500,18e4,181300,183200,184500,185800,186600,187400,189300,191300,193400,194700,195100,196400,197300,198600,199300,200300,201800,203600,207100,210900,214900,215800,215500,214e3,213100,213700,216e3,219200,223200,225100,227100,228800,229500,228100,226600,226e3
21,Illinois,5,209900,204900,191e3,182600,179700,180800,181900,181400,178800,176300,170900,169e3,164400,159500,153800,149200,151100,155500,159700,161900,162800,166100,168600,171e3,166300,161300,155200,155600,156200,155500,151800,150600,151800,153300,153600,150700,147500,141200,137100,136500,139800,142600,143200,141600,138800,138500,136300,135e3,133800,134400,136e3,138e3,139500,141800,139900,139400,140200,140400,141100,139300,139e3,138600,141700,146800,154600,158800,162200,164500,165500,166700,165200,166700,165200,163600,161900,163500,165300,167600,172200,174600,174800,172300,172300,174200,174200,174300,173100,172500,172700,169100,167300,163600,161300,158600,156900,157100,158100,160400,162200,163800,164300,165800,165200,165900,167600,170600,172400,172800,174200,174500,174800,172600,170800,170200,169700,171e3,172600,174800,177400,179900,185200,187300,187e3,188200,189700,188900,185900,184200,187900,186900,188500,193e3,201e3,205e3,204800,201900
47,Pennsylvania,6,148300,147200,145100,141800,141500,142100,143e3,141200,139200,136700,135900,136200,138600,138800,137600,136100,136200,138500,141300,141700,142800,143400,143700,144100,144500,145300,144200,140700,138400,135300,135200,135400,137800,139100,141100,141700,14e4,136700,133500,133100,133600,133800,132300,131400,131800,134700,137700,140400,140300,140400,14e4,140700,140700,139900,138700,138e3,14e4,142200,143600,143600,143200,143700,143300,143900,145e3,145500,144800,143900,143e3,143500,142900,144e3,143800,142600,141300,140700,141200,142900,144600,145300,144500,144600,145700,146500,147100,147e3,146400,146400,147700,148300,149300,148700,148600,146900,147800,149600,149300,149600,149400,151600,151100,151100,150900,151800,153e3,153700,154100,153700,154700,156200,157700,158900,159e3,158400,157100,157300,158700,160100,161800,161600,163800,162400,162900,161200,160600,160200,160600,160800,162700,162900,164800,168600,171400,173200,171200,
44,Ohio,7,109500,107200,106700,105900,106200,105700,104e3,101200,94700,89500,85300,84200,84e3,85600,89200,93600,97900,100500,103200,105400,107e3,106100,102600,101200,100600,101e3,102600,103600,100700,96200,91800,91700,92300,95800,95700,92200,85700,83700,85900,89500,93200,94e3,93e3,91400,90600,92100,91e3,89100,88200,90500,95800,98400,102100,102500,102700,101800,101400,102600,102800,101100,100100,98600,102400,105400,109800,110900,110400,108200,108900,108800,109700,108300,109600,111100,113e3,114800,116500,117400,118e3,117900,117700,118600,116200,117100,116500,117600,118e3,117700,119e3,118900,119200,119100,115500,114800,115100,119600,121e3,122600,122900,123400,122900,122900,123200,124600,125500,126400,127800,128300,129100,128800,128700,127900,127100,127300,128600,130300,131400,133300,135700,138800,138700,137e3,134500,133200,132800,133100,133800,135e3,135500,137e3,140300,143600,146100,144500,144100,
30,Michigan,8,,,,,,,,,,,,,,,,,,,,,,,,70500,67400,67500,68900,69200,68100,64e3,62e3,60100,67700,68700,70300,63100,61700,59400,58e3,58700,61e3,63500,64800,64100,63300,64400,65400,65900,63400,63600,65100,67100,68500,70300,71600,71500,65e3,66400,68900,78500,81500,83800,85400,86800,91e3,95100,97600,97100,90800,9e4,90700,95900,95900,95800,98700,103500,107800,109900,111300,110300,106400,102600,104800,109700,114800,116600,119e3,120200,120200,119200,119e3,117400,121200,121800,125100,125200,127500,128100,126800,126200,125600,126e3,126e3,129300,151600,155100,154700,135500,134100,135400,134900,135300,133700,134100,134800,137800,16e4,162600,163600,145400,146900,146800,145700,143e3,142e3,141400,142e3,142e3,164e3,165200,167100,150800,153400,154500,151800,
16,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108600,108e3,104900,100300,95400,95400,96200,97500,96800,96900,97200,97400,98100,99900,102600,104500,105400,106600,110200,113800,116300,116800,118400,12e4,122900,125800,129700,130800,130500,129300,128900,129e3,129300,129100,128300,129600,132700,136900,139600,14e4,140400,140100,141800,143100,144800,145900,150600,152400,153800,151300,152300,154500,155900,156100,156e3,157700,159400,159800,158800,158900,158300,159e3,157800,157900,158e3,160500,161100,162900,162900,166100,166500,168e3,167e3,167900,168e3,169200,170900,172600,175700,177100,180300,181100,182700,181300,180900,180600,179700,182100,182700,186700,187300,189800,190700,191e3,190800,191100,
36,North Carolina,10,154800,152800,148600,147300,147700,147700,147100,148e3,145700,145200,143800,149600,151e3,149900,146100,144900,146600,147400,148900,150200,150800,149700,151100,152200,152300,149e3,146400,146700,147100,146700,147400,148300,149700,15e4,149800,149600,147e3,145600,144500,146100,146200,147100,145400,145600,144500,146400,146100,147900,148300,149400,148400,148600,148300,148300,147800,148200,150300,152300,152900,152500,151200,152100,152e3,152400,153e3,153400,154200,154600,154800,155700,155200,154700,152900,152200,153700,153900,154600,154e3,155e3,155400,156300,157600,159900,163200,164200,164800,164500,165900,166300,165700,165200,164600,164300,164400,165500,165200,164200,164e3,165e3,167e3,167100,168900,169500,172100,172900,173e3,172e3,171200,172600,173e3,172700,173e3,174600,175800,175900,176500,178300,179900,182100,185500,189500,191800,191600,190600,189700,189800,191400,192600,194e3,193900,193800,194900,196200,199300,199800,200200
