RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901300,928300,994400,925200,903500,849500,849e3,865600,869600,851800,872800,885700,938700,1004700,1037400,1112600,1045600,1010200,928e3,936900,919e3,898600,917400,907700,1029400,1027200,998400,939e3,999600,1091900,1139500,1040400,934800,898500,904600,1056e3
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395600,374200,378900,388e3,411500,386e3,381200,378200,384600,380400,371100,374900,362700,353700,344500,343400,313600,319100,300200,311900,305900,320800,323400,319100,330100,351700,343700,322700,312500,319300,336400,314900,321400,315200,317300,303300,300900,308100,319200,339600,356200,358100,364900,379300,391600,346500,333600,335800,380800,402200,384800,390400,394900,424800,446900,446e3,425e3
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268100,273400,267300,263400,253e3,251400,253e3,263900,262900,262500,255200,249800,250500,257300,264900,266600,267400,274100,279e3,277300,270400,270500,274100,278900,277300,279500,279900,282200,278900,281500,284600,292100,290600,288e3,291100,291400,301900,300100,313600,311200,312700,301700,293200,300600,303100,312400,303300,303900,302600,303300,304300,308e3,311900,314300,316400,314600,322700,330200,336300,337100,328700,326400,315500,314600,318100,320800,320100,319100,321900,322100,332200,333600,340100,344100,342400,338400,323300,321700,312700,310500,309600,327600,325600,,
84616,60614,Illinois,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505300,381600,398800,397100,402e3,398800,374800,370100,365700,37e4,362300,400500,442800,484e3,474e3,408800,419700,445600,512800,524500,505700,521300,517100,534500,540600
91940,77449,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145900,148e3,147e3,148300,148900,152e3,151800,152700,154700,156e3,152600,150700,155900,162300,164200,159800,159200,164100,171100,172400,172100,168800,166800,165700,167800,168100,169400,164600,166100,163900,169100,170300,174100,174900,176700,177100,176100,174200,172200,177e3,178600,180200,177200,178200,178100,179600,183500,186700,190500,190900,189700,188600,186500
93144,79936,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111100,112900,113100,118500,119800,123700,120300,125900,121600,122400,117e3,123300,119200,118200,114100,118100,119700,118700,118200,117500,117300,119500,123700,121100,121800,118400,117500,120800,120300,116600,105e3,107e3,112600,120800,119300,120600,118e3,119800,118900,119500,118300,117800,120100,115300,116e3,114e3,118800,119300,121300,121400,123600,122200,120700,117800,12e4,123500,120900,116100,113700,119200,118900,118e3,118300,123600,127800,127800,125800,124300,125500,128900,129e3,126900,126900,128900,128700,126700,131600,133500,133300,127900,128200,127e3,127e3,127100,131200,131800,130800,129200,129500,127700,128e3,128400,132900,137e3
61616,10002,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452e3,428800,408300,445e3,458300,469100,449e3,487e3,520300,541600,530100,547500,536900,571900,547300,551900,527e3,559400,550700,552500,543600,547800,569600,582900,621800,592500,617100,682900,701300,662e3,572900,588900,567300,626300,618400,657e3,655800,685200,683500,682500,733800,785300,833800,818500,812400,771200,752300,741100,730800,750800,795600,812400,845900,762800,768900,706400,792200,765800,856700,847400,853400,808400,816600,865400,866e3,916800,95e4,957300,868400,822e3,806400,860300,788500,780800,727700,855200,842500,810500,690800
61630,10016,New York,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677900,820600,840300,865600,771900,775900,768800,753600,832500,851900,842700,714100,678200,701900,712800,695900,659800,737800,797800,869600,825600,833200,785200,817500,823400,811200,803200,785600,806800,812e3,786100,771800,760600,795100,812e3,879800,868900,888500,779800,766100,771e3,829300
74101,37013,Tennessee,9,133300,134900,133400,133200,132400,132200,131200,131300,127800,124300,121800,125600,133200,132900,129900,125600,128800,129200,127300,127300,123900,125900,121300,123300,122900,121900,122200,121800,121800,118e3,117200,113e3,111300,110600,110900,114100,109200,105400,102300,103300,106100,103300,102700,100400,101600,106100,110800,114e3,107200,104100,103900,105100,104200,99e3,106e3,112600,114600,107500,105900,109400,114800,120100,121600,124900,123800,120200,117800,119300,125200,130200,133e3,134400,133500,131900,131500,130600,129100,129600,130800,131800,132800,133400,136200,145e3,149300,147400,142100,141900,147500,148400,148500,147e3,147700,148500,152800,153e3,155200,154e3,158900,161900,163700,162900,165700,168600,172800,173500,173500,175600,175500,179700,178400,179200,180400,185700,191500,195100,195500,195700,193e3,195800,200100,206200,213800,215600,221200,216100,218e3,216600,215e3,214800,210200,215600,217100
71831,32162,Florida,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182600,186300,184700,187500,190500,194600,198500,205e3,207300,210600,211900,212900,214800,218500,226600,227600,226300,228200,230400,232400,233400,233700,231800,231200,233300,236700,234300,235100,240100,243700,240200,233700,229700,231200,229900,233600,234900,239700,236800,236800,236e3,235200,236e3,234300,236e3,237800,241400,241700,234700,228500,236200,241e3,245200,235200,235700,236600,239200,237600,237200,235200,236100,233800,236200,242400,249700,252900,249500,255100,252600,254e3,246400,248900,252800,250800,257800,
