SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
1,9,California,State,CA,92387,92363,91526,94402,102371,100216,105290,103762,100684,110812,98898,87785,92864,92048,98004,112911,109316,117073,128583,122028,119623,125416,112871,101280,96061,97583,99528,114058,106402,112390,123422,116380,121579,110051,103237,92780,83672,87981,100682,100615,104867,119988,116608,125263,112167,107273,103910,82769,80266,84468,93331,88019,100772,94368,93536,101554,92336,88916,87522,68379,76545,77684,82087,88783,103896,101300,105088,116063,110023,117879,103051,89709,95907,92476,95976,100686,112432,105163
2,54,Texas,State,TX,130817,132023,137486,142271,151638,144657,149282,142119,133936,137871,124787,113797,117188,113609,119621,132117,126070,132302,143278,135951,127794,130414,118905,112976,106907,113557,114377,128595,119267,122275,132097,125834,129967,119320,115388,110640,102572,104730,118100,113308,117799,130714,127468,135538,124342,121385,122249,106743,109102,113587,123923,118627,132668,129179,135609,144830,134836,127517,128325,111343,116690,112842,119504,125909,139497,137474,139371,146306,133883,138633,126361,116294,123479,119660,125113,130855,143557,137586
3,43,New York,State,NY,101571,99586,104563,111336,118996,111135,112367,108106,104165,108676,100792,90403,90226,94321,94195,103694,102991,108020,113374,106704,107292,108452,97977,91449,83298,84565,89102,104206,103850,110193,114543,107824,109947,102346,95929,89460,81747,82295,90990,92619,97637,103338,97851,99760,95747,92374,89095,78494,76379,77812,81265,78e3,86451,82881,83727,85014,80907,79351,76578,64814,66103,69209,69214,74352,83324,82779,83551,86033,82560,85503,76150,67592,68685,66594,70148,75037,83677,82455
4,14,Florida,State,FL,203190,201273,205730,205440,200243,185696,190295,177784,176227,192733,192048,189570,204056,197127,202716,214942,200093,213076,211895,196980,195376,204616,195156,196426,197147,199566,183298,197182,183859,182678,187581,176634,183968,173560,174300,177193,176170,185012,198249,186958,187864,191642,180137,190413,177025,175722,186223,172534,182959,191527,199338,182566,186148,170908,169656,176631,151856,160119,171043,158967,179186,174999,179270,178841,184103,170515,169177,175912,166846,180373,174016,169480,191613,188308,189229,186490,191019,172332
5,21,Illinois,State,IL,68384,67949,70090,73255,78729,75203,76908,75334,72956,74031,67430,61206,61261,59487,64227,75142,73230,78068,84751,80620,79962,80962,73596,68137,64907,67031,71429,83964,79120,83107,88320,82193,84288,78132,73782,67604,62017,64253,75470,72890,76119,82281,80330,83687,76446,73488,71112,61459,60074,62517,69656,66760,72479,70253,71084,75208,71218,69052,66580,55329,56543,56348,61543,64474,71175,70781,71941,75706,71146,72803,63410,55290,56186,55647,60211,65626,71436,68910
6,47,Pennsylvania,State,PA,71434,70207,74003,78727,85839,84798,86348,82610,81573,83411,77903,71161,70848,66729,70041,81257,81675,84985,88703,86099,85637,86830,79111,74070,68466,67974,71211,80026,77048,81672,86528,83510,85013,79652,75712,71675,65421,65896,72989,73395,75691,80531,76508,79466,74792,73058,71169,61478,59663,60447,64674,62895,69365,66665,67700,70362,66696,65177,65482,54685,55122,53322,54964,58663,64433,62567,61493,64272,60227,62710,55798,49587,50410,47306,48808,51868,56931,55228
7,44,Ohio,State,OH,60317,59409,62288,65250,71553,70435,72722,69746,67910,69111,63012,57579,57274,54345,56037,63136,62929,66466,71724,69368,68261,68844,62320,58105,54051,53690,55405,63199,60150,66515,70337,67591,69002,64466,60596,57596,51718,51767,55923,54268,56440,62199,59958,65232,60618,58291,55985,47403,45882,46366,49720,47762,52117,51005,52283,56085,52199,50224,49076,41163,41665,39386,40690,42822,48575,47774,49214,53100,49129,51289,44709,38935,39471,36650,37687,39257,44263,42798
8,30,Michigan,State,MI,67272,64140,65396,69222,76522,76226,78378,77810,74553,76191,69153,63948,61323,57229,58456,66831,68531,75226,82741,80700,80623,81240,70924,65910,60667,60571,61447,71096,67262,72888,80896,81218,81774,74540,68623,63244,56298,55446,59329,59681,63808,71755,69978,75210,69336,66261,62272,52162,48837,48633,51491,50257,56848,56463,58384,63020,58151,55528,53122,43898,43134,39622,41052,43577,51286,53356,54867,60460,56502,57662,50132,44027,44073,39941,41560,44238,51483,52133
9,16,Georgia,State,GA,64304,61810,65020,66921,70841,68809,71753,69354,69419,73344,69669,63187,64777,62128,67594,72851,71105,73823,78047,73443,72852,75190,70251,68143,65894,66445,72854,82915,77857,80416,85561,82551,83682,78462,74049,71088,65978,66021,72355,70549,75612,83096,77282,80934,74698,72377,72254,64691,63900,65342,69841,65849,70584,66979,67413,70328,63595,62971,63006,55009,57750,55297,56633,58701,63291,61285,62314,65408,60752,63785,57985,53862,57510,59399,56906,58558,64861,60796
10,36,North Carolina,State,NC,85674,84254,88212,93118,97730,96057,97473,93675,91814,95746,90713,81933,83076,78747,83298,92179,91384,92496,96195,91815,90080,87886,81585,77001,72952,74184,77706,84705,75490,78016,81743,78670,79969,75203,70064,68278,64804,67065,72205,72073,74226,79177,75322,77854,72609,69821,67912,59964,58473,60457,64084,60880,64822,63303,63786,66114,62477,61672,61143,53158,54651,53329,55975,58292,62825,60567,59151,60208,54406,57139,50950,45879,48300,46987,49001,50873,56536,52003
