SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
1,9,California,State,CA,105291,103314,99309,97298,97241,95591,93548,92596,94991,99216,100651,102342,104696,104944,107143,109929,109502,111592,113988,112148,112570,114733,114671,113444,111137,108943,109623,110175,107105,107240,108833,108378,108179,105112,103891,103751,100535,101448,104552,103406,104816,108989,109559,108529,104781,101462,101016,98131,95585,97134,96979,94309,93168,89439,85717,85726,84141,83162,84628,85969,88512,90047,89910,92703,96620,96602,96886,100178,103766,105945,104979,105408,107282,105779,103566,104284,104779,102837
2,54,Texas,State,TX,143903,143411,142368,142950,143286,139965,135508,131534,130526,131233,129036,127799,128152,126344,126378,127110,124880,125923,127900,125291,123945,124473,124007,123353,122797,122454,122950,122435,118098,116443,117298,117856,119624,118563,118869,120200,117796,117904,118933,115511,115676,119196,119566,119976,119593,119852,121811,121577,122261,125442,125542,123504,124085,124243,125626,129115,128540,127012,127504,127300,127022,125872,125051,127840,131388,131060,129986,130460,131129,131824,130527,130989,133356,132383,130872,132816,134670,133603
3,43,New York,State,NY,112386,111094,110590,111448,110447,106264,103031,101175,100593,101969,101890,101038,102251,102975,102193,101119,99819,101018,102452,101471,101705,101919,100661,99091,96555,95032,97349,100399,100981,102669,103904,102946,101736,98995,97580,97150,94647,93932,94894,93686,93375,93583,91856,91098,90020,88699,88881,88560,88034,87875,85329,81318,79132,77102,76028,76399,75558,75304,75907,75977,77270,77943,76259,75779,76686,76286,76226,77256,78150,78680,77903,77867,78544,77454,76251,76513,76999,76505
4,14,Florida,State,FL,198342,197551,197473,197309,194141,189874,187315,185107,187646,193605,195776,196958,197205,194852,197249,201261,203254,209011,209808,204745,204954,205184,202073,199525,196094,189400,183654,183460,183065,183760,185012,185493,186361,181661,179129,179520,177129,180494,184931,183142,184737,187535,187065,188549,186743,184034,184554,181984,180973,185594,185998,180842,177580,174271,173285,172510,166681,166195,169761,170593,171583,171250,170818,173428,175495,173547,172847,175667,179045,180888,178991,179774,183748,183378,180952,181445,181285,178891
5,21,Illinois,State,IL,77935,76544,74070,73209,73158,71138,69095,68369,68702,69508,69687,70180,70352,69074,69505,71341,71601,73177,75070,74664,75200,76235,76220,76127,75834,75566,77207,79054,78015,78079,78520,77362,76986,75912,75454,75224,73636,74512,75799,73812,73531,74928,74691,74048,72173,70903,71405,71055,70782,71759,70966,68425,67169,65708,64946,66093,66230,66190,66484,66019,65989,65771,64808,64960,66081,65883,65656,66494,67212,67235,65815,65142,65656,64995,64258,65293,66030,65362
6,47,Pennsylvania,State,PA,79916,79712,79371,80040,81171,80693,79025,77382,77298,78135,77898,77916,78052,76746,77111,79290,79799,80410,81207,80750,81070,81175,80064,79047,77835,76975,77658,77828,76381,77131,78731,78777,78333,76594,75952,76190,75078,75474,76312,74662,73840,73854,72551,71713,70568,69616,69458,68459,68163,69080,68105,65792,64662,63272,62528,62951,62278,62239,62920,62467,62340,61855,60362,60030,60140,58507,56957,56758,56924,56985,56172,56291,57140,56033,54034,53234,52883,52012
7,44,Ohio,State,OH,67362,67325,67254,68005,68808,67781,65770,63880,63410,63816,63253,63092,63344,62412,62319,63260,63015,63470,64258,63520,63404,63584,62942,62347,61652,61063,61841,62470,61695,62534,63207,62462,62215,61135,60828,61031,59786,59554,59376,57275,56622,56994,56454,56568,55843,54763,54380,53262,52872,53749,53287,51459,50129,48538,47637,47949,47284,46864,47300,47320,47407,46886,45776,45876,46353,45345,44621,44918,45255,45530,44802,44540,45021,44157,42680,42292,42096,41167
8,30,Michigan,State,MI,75683,74882,73895,74108,74476,72666,69996,68010,67648,68660,69192,69593,69478,68164,68087,69203,69649,71301,72699,72050,72657,73148,71813,70840,70454,70378,71471,71789,69512,69395,71370,72121,71674,69511,68303,67816,66276,66134,66267,64740,64700,65318,64193,63241,61841,60662,60261,58795,58027,58843,58280,56381,55095,53117,51595,51416,50479,50201,50913,50934,50832,50255,49120,49061,49877,49333,48473,48841,49548,50120,49971,50471,51384,50727,49599,49584,49841,49184
9,16,Georgia,State,GA,69408,68392,67225,67122,67241,66546,65886,65832,67495,69827,70116,69629,69548,69250,70072,70834,70117,70723,71330,70270,70695,71795,72129,72536,72385,72936,76293,78905,77664,77616,79035,79373,79206,77131,75606,74983,72991,72513,72850,72100,74130,76369,75189,74183,72773,71449,71633,70831,70116,70916,70250,67925,66420,64628,63598,63569,62199,61710,62279,62155,62064,60978,59344,59268,59570,58711,58419,59088,59747,60182,59697,60265,62637,62963,60468,59700,60205,59233
10,36,North Carolina,State,NC,92231,91473,91054,92149,93329,92747,91178,89633,89994,91823,91382,89748,88565,86754,86951,88886,89043,89104,89247,87965,86722,85216,83626,82444,81065,80454,81109,79799,75620,74323,75179,75269,75237,73507,72521,73128,72923,73334,73360,71827,72157,73070,72155,71439,70046,68504,68047,66814,65907,66257,64777,61875,60717,59979,59577,60170,60042,60267,60950,60739,60435,59607,58248,58070,58391,56989,55158,54057,53420,53465,52900,52940,53792,53014,51286,51069,51261,49919
11,40,New Jersey,State,NJ,67951,67065,65760,65234,65293,64667,63782,63147,63357,64093,64199,64516,64666,63818,64397,65926,65997,67058,68548,68402,69240,70358,70098,69537,68707,68222,69475,71043,71169,71826,72203,71692,71551,70522,70095,69826,68331,68622,69816,69102,68908,69144,68210,67718,66523,65226,64910,63852,63333,64295,63578,61017,59467,58051,57153,57282,56506,56224,56964,57211,57673,57431,56091,56097,56855,56291,55884,56242,56611,56786,56003,56234,57488,57087,55858,55667,55593,54955
12,56,Virginia,State,VA,53076,52141,50833,50315,50451,50263,50070,49888,50664,52451,53249,53558,53944,53749,54444,55507,55465,56522,57710,57469,58019,58493,58075,57838,56988,55980,57194,59157,59133,59543,60092,59778,59590,58191,57125,56505,56022,57093,56974,55262,55301,55926,55291,54605,53412,52306,51884,51092,50791,51677,51563,50037,49379,48711,48332,48785,48079,47892,49182,49752,49601,49222,48906,49117,48522,46233,44771,44782,44918,44905,43868,43209,43011,41646,40078,39570,39629,39248
13,59,Washington,State,WA,41565,41474,40855,40453,40483,40135,39746,39387,39517,40373,40757,41181,41675,41268,41572,42457,42148,42139,42168,41136,40960,40950,40166,39438,38764,38570,39012,38853,37638,37175,36525,35192,34266,32830,32281,32492,32019,32424,33170,32656,32687,33248,33022,32772,31805,30777,30351,29282,28513,28537,27792,26793,26540,25825,25450,25924,25650,25486,25777,25615,25431,24971,24300,24494,25121,24904,24916,25947,27197,28110,27998,27932,27979,27052,26123,26058,26145,25799
14,26,Massachusetts,State,MA,36661,36500,36556,36944,35940,33003,31273,31137,31189,31212,30814,30722,31362,31666,31848,32317,32496,33285,33685,32747,32342,32110,31290,30517,29547,28574,28864,30042,30935,32259,33047,32884,32684,31755,31103,30558,29200,28880,29104,27816,27047,27284,26710,26083,25400,24989,25181,25011,24894,25186,24782,23665,22942,22133,21627,21739,21389,21351,21907,22177,22481,22378,21543,21329,21681,21433,21338,21813,22478,23187,23218,23471,24156,23912,23052,22632,22550,22238
15,8,Arizona,State,AZ,43281,42303,41666,42232,42663,42229,42138,42573,43768,45473,46327,47121,48133,48412,49144,49881,49575,50194,50640,49522,49093,49025,48412,47833,47186,46971,47409,46724,44648,44500,45251,45276,45791,45462,45192,44800,43197,43032,43419,43310,45081,46554,46014,45539,44582,43735,43708,42946,42295,42930,43026,41983,41219,40175,39544,39678,38878,38385,38673,38592,38763,38361,37312,37460,37996,37374,36953,37329,37483,37256,36492,36633,37644,37508,37002,37407,37527,36823
16,53,Tennessee,State,TN,61003,61472,62343,63777,64822,64103,62769,61489,60617,60259,59572,59202,58830,57734,58107,59393,59282,59409,59408,58059,57336,56756,55485,54593,53721,51397,48159,45229,42373,41437,42040,42361,42837,42393,41284,40630,40116,40835,41902,41421,41488,41813,40852,40272,39605,39024,39098,38437,38188,38969,38565,37057,36230,35683,35513,35770,35274,35153,36014,36418,36421,36269,36159,36721,37381,36949,36353,36495,36584,36554,36446,36878,37474,37050,36228,36125,36353,35998
17,32,Missouri,State,MO,50110,49839,49254,49255,49777,49437,48606,47800,47914,48791,48560,47943,47611,47105,47596,48386,47957,47949,48191,47470,47204,47234,46751,46197,45365,43874,43542,44503,44538,44994,45290,44969,44892,43642,42759,42438,41636,41977,42269,40920,40251,40144,39399,38917,38194,37822,38052,37696,37643,38432,38226,36985,36082,35005,34550,34892,34484,34138,34400,34593,34794,34648,34062,33939,34233,33693,33059,33046,32880,32527,31893,31734,31832,31022,29772,28875,28230,27583
18,27,Maryland,State,MD,29557,29226,28252,27616,27505,27110,26803,26598,26760,27632,28276,28933,29581,29459,30062,31461,32250,33472,34491,34335,34666,35004,34567,34338,34243,33931,34400,35380,35608,36267,36642,36446,36686,35898,35236,34794,33396,33443,34223,33384,33129,33751,33560,33247,32534,31569,30831,30027,29822,30273,29803,28567,28083,27646,27504,27846,27531,28239,30118,30862,31078,31178,30925,30988,30203,28144,27259,27586,27735,27560,26671,26311,26530,25955,25145,25141,25492,25323
19,60,Wisconsin,State,WI,48451,47816,46924,46816,47204,46811,46325,46285,46444,46721,46608,46458,46355,45682,45634,46359,46584,47403,48253,47893,48015,48343,47813,47031,46334,46314,47097,46791,44828,43714,43183,42424,41926,40937,40597,40828,40358,40324,40633,40312,40709,41428,41144,40672,39730,38770,38274,37316,36764,37225,37170,36397,35617,34423,33562,33363,32827,32415,32414,32280,32126,31738,30885,30324,30208,29634,29323,29645,30055,30577,30572,30619,30871,30045,28683,28468,29040,28935
20,31,Minnesota,State,MN,27581,27056,26180,25796,25875,25848,25800,25433,25260,25979,26956,27774,28022,27426,27293,27722,28010,29287,30597,30671,31653,33078,32644,31569,31049,31e3,31695,31896,30605,30009,30069,30236,30636,29964,29778,29971,29439,29986,31040,31096,31479,31638,30693,29872,28647,27308,26649,26066,25872,26316,26408,25854,25061,23990,23534,23730,23409,23242,23527,23576,23740,23711,22967,22659,23121,23041,23006,23368,23309,23149,22937,22989,23064,22316,21416,21618,22348,22377
21,10,Colorado,State,CO,42562,42496,42266,42446,42945,42727,41755,40326,39603,39822,39418,39133,39210,38440,38382,39004,38594,38670,38822,37738,37100,36316,35057,34400,34016,33958,34268,33590,31835,31531,31957,32104,32390,31981,31924,31587,29928,29163,29165,28518,28985,30278,30643,30759,30344,29971,30113,29682,29483,29961,29440,28492,28512,27645,26359,26162,25587,25049,25258,25643,26246,26311,25913,26084,26348,25677,25214,25794,26758,27707,27830,28056,28824,28661,28066,28359,28235,27200
22,4,Alabama,State,AL,35697,35434,35e3,35187,35864,35950,35341,34261,33038,32421,32477,32649,32578,32086,32064,32490,32333,32469,33216,33970,34967,35668,35861,36037,35929,36072,36901,36889,35895,36034,36513,36152,35675,34949,34615,34612,34227,34369,34628,34176,34374,34787,34331,34221,34376,34472,34651,34309,34112,34464,34336,33867,33367,32481,32059,32121,31953,31804,31455,31151,31295,31012,30376,30242,30269,29723,29185,29029,29002,29052,28600,28304,28465,27901,26804,26455,26591,26274
23,51,South Carolina,State,SC,47959,47892,48088,49336,50728,50259,49008,48242,48231,48651,48375,48138,48220,47899,48305,49203,49329,49675,49751,49058,49298,49562,48847,48030,47330,46442,45721,44429,42178,42323,43696,43972,43907,42813,42112,41941,41082,40951,40980,40064,40200,40777,40306,39977,39186,38397,38554,38480,38593,39334,39188,38182,37569,36772,36299,36343,35761,35631,36106,36196,36198,35838,35061,34862,35024,34303,33591,33514,33642,34032,33789,33824,34412,34207,33926,34468,34725,33915
24,25,Louisiana,State,LA,18290,18054,17653,17406,17304,17186,17114,17008,17134,17592,17863,17897,17741,17283,17105,17246,17075,17068,17175,16980,17097,17322,17400,17541,17384,17094,17305,17478,17115,17228,17539,17597,17669,17208,16938,17112,16968,17018,17242,17029,17100,17539,17808,18070,18058,18142,18420,18316,18684,19907,20487,20669,21372,21664,21852,22390,22595,22828,23284,23530,23702,23825,24027,24401,24581,24379,24184,24125,24153,24257,24006,23943,24219,24053,23750,23855,24043,23970
25,24,Kentucky,State,KY,28593,28699,28856,29237,29595,29327,28701,28004,27835,27983,27613,27437,27449,26975,26973,27457,27398,27556,27843,27569,27599,27673,27371,27178,26807,26282,26370,26357,25584,25422,25529,25334,25030,24173,23671,23506,23070,23190,23400,22906,22721,22724,22428,22338,21950,21615,21677,21439,21435,21867,21584,20727,20281,19816,19471,19592,19499,19530,19860,19942,20004,19838,19319,19304,19758,19688,19413,19436,19588,19832,19695,19597,19744,19336,18603,18304,18180,17821
26,46,Oregon,State,OR,25712,25661,25444,25359,25176,24616,24349,24291,24371,24726,24925,25109,25163,24825,25015,25764,26135,26435,26340,25627,25513,25534,25097,24790,24569,24520,24931,24967,24281,24129,23902,23408,23230,22508,21963,21735,21187,21135,21102,20383,20320,20772,20766,20751,20354,19985,20141,19878,19590,19818,19670,19174,18912,18610,18776,19255,19123,19109,19355,19392,19547,19474,19223,19454,19759,19479,19277,19456,19788,20199,20108,20157,20442,20085,19489,19390,19516,19431
27,45,Oklahoma,State,OK,24779,24448,24040,24112,24484,24539,24253,23685,23331,23327,23100,23071,23170,22630,22395,22713,22647,22779,22950,22697,22821,22935,22726,22585,22407,22255,22346,22217,21494,21404,21788,22091,22612,22749,22970,23208,23087,23505,24027,23954,24064,24149,23848,23748,23505,23341,23468,23304,23451,24618,25411,24925,24403,24108,24132,24373,24036,23827,24033,24100,24035,23568,22961,23040,23504,23388,23078,23033,22998,22849,22322,21955,21752,20924,19998,19854,19957,19810
28,11,Connecticut,State,CT,29217,29203,29064,29135,29150,28665,28067,27568,27748,28235,28047,28069,28604,28767,29105,29911,30490,31164,31356,30800,30782,31273,31926,31857,30606,29526,29452,29731,29649,30181,30757,30629,30367,29437,28563,28048,27428,27618,28117,27703,27416,27316,26504,25731,25143,24785,24735,24699,24885,25262,25047,24245,23657,22825,22969,24246,24183,23752,23750,23464,23203,22581,21736,21390,21283,20843,20301,20004,20175,20391,20074,20213,21005,21194,20690,20361,20112,19642
29,19,Iowa,State,IA,19274,19265,19192,19475,19948,19960,19682,19255,19004,18946,18570,18298,18190,17854,17953,18503,18726,18967,19127,18792,18697,18691,18380,18186,18147,18135,18030,17106,15653,15301,15477,15495,15634,15428,15397,15564,15344,15329,15534,15498,15754,16128,16140,16055,15751,15810,16308,16308,16322,16711,16607,16135,15794,15291,15065,15356,15475,15441,15502,15589,15714,15740,15646,15727,16017,15982,15915,16116,16186,16105,15799,15697,15747,15280,14867,15233,15697,15619
30,34,Mississippi,State,MS,15179,15212,15321,15562,15864,15986,15861,15555,15458,15481,15221,15110,15071,14585,14316,14588,14824,15036,15064,14840,14834,14839,14784,14861,14951,15092,15178,14376,12887,12457,12736,12787,13099,13545,13836,13882,13691,13792,14109,14284,14649,14913,15017,15318,15261,15053,15079,15009,15094,15393,15241,14812,14572,14314,14278,14368,14052,13802,14017,14231,14209,13959,13780,14162,14714,14715,14465,14426,14458,14300,13841,13592,13744,13792,13684,13842,14163,14192
31,6,Arkansas,State,AR,22756,22471,22408,23057,24160,24680,24292,23387,23128,23662,23716,23626,23655,23330,23292,23583,23519,23344,23177,22945,23139,23402,23330,23242,23342,23459,23439,22167,19533,18875,19947,20622,20851,20356,20155,20295,20232,20705,21135,20993,21534,22214,21985,21648,21256,20941,20879,20636,20490,20642,20451,20363,20541,19797,19207,19410,19185,18919,19061,19110,18939,18513,18219,18737,19587,19668,19391,19378,19417,19428,19121,18865,18861,18613,18275,18119,18017,17926
32,23,Kansas,State,KS,15434,15242,14976,14924,15002,14868,14574,14252,14270,14479,14398,14367,14339,14044,14043,14410,14573,14715,14669,14244,14251,14422,14285,14130,14033,14013,14148,14002,13304,13178,13568,13710,13663,13395,13394,13497,13282,13389,13594,13367,13522,13879,13872,13950,13830,13680,13736,13553,13562,13996,14183,14050,13897,13544,13375,13520,13455,13446,13565,13547,13523,13367,13090,13140,13473,13396,13108,13097,13085,12933,12680,12652,12704,12327,11862,11708,11550,11346
33,55,Utah,State,UT,14761,14622,14688,15327,16132,16341,16206,16146,16345,16794,17015,17083,17242,17257,17717,18469,18590,18729,18781,18223,17922,17731,17344,17117,16915,16751,16441,15187,13305,12412,12145,11856,11815,11613,11596,11661,11494,11762,12060,11748,11760,12269,12533,12562,12175,11829,11918,11711,11358,11331,11012,10521,10438,10344,10409,10784,10841,10746,10839,11096,11475,11584,11607,12249,13147,13339,13378,13767,14203,14589,14433,14266,14433,14290,14130,14582,15154,15150
