RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
9,California,1,23415,28501,31280,32964,36601,35222,36301,38743,29136,35772,28911,28821,35690,37045,36884,41609,42085,36728,37276,38369,32760,37990,26517,27202,36463,36126,38216,39944,33312,32634,32275,30236,29113,34461,26488,26137,36300,34353,34458,38361,33698,36724,33788,31278,30759,34497,26974,28995,36688,35733,40401,39665,37106,39592,31934,37227,34235,37547,28978,29433,37164,39394,43125,39953,42720,42325,35482,37408,32011,33922,27197,26973,33254,39125,39765,39777,40943,38845,36380,38527,30160,35194,26583,27131,37259,41941,42444,47453,46973,42181,40901,39205,31197,39259,28061,29129,38955,41117,43110,47633,42198,45137,41586,40312,39350,39979,31061,29834,42426,40165,47039,51641,43738,48264,42041,41493,38201,37451,29622,30119,40828,41876,46161,46162,43446,44485,34018,38584,33246,30593,26309,27941,34533,38275,43326,37150
54,Texas,2,24111,26237,26904,28099,28555,25553,21660,22129,15623,19323,15036,16704,21935,21422,22105,26075,27268,23881,22722,22514,21992,21839,14623,16755,24374,25692,26570,28099,21273,21493,19252,18127,17753,19243,15944,15189,22178,21234,23341,24591,22116,25086,20416,18801,17973,19751,15011,17625,22106,21588,26711,26535,26761,26374,20882,23756,19043,21458,18603,19442,24869,30271,31103,30023,33034,32471,27133,26330,21781,24313,19369,19673,26382,29128,31582,32843,33218,27406,30481,29058,22512,27626,20116,20364,30242,29023,31754,36910,36039,32784,31558,29384,22549,29382,21644,24482,31916,31167,33976,38195,34788,37040,32284,29155,27705,30028,23675,24973,34522,31514,38410,39764,36171,36353,31679,32406,29255,30806,26031,26834,33782,36620,41298,40310,39756,40488,32426,33662,28024,27648,21797,23363,29797,31488,33656,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9398,8540,8213,9854,9715,9780,11622,11766,12412,10192,9056,8153,8664,7995,6890,7650,7930,9386,10800,10669,11110,10179,9995,8618,8997,9125,7610,8400,8902,10752,10907,12550,14626,13058,12917,10786,11868,9817,7904,9063,9353,11577,12219,14186,14138,13043,14080,10713,12805,9909,9303,10492,10491,10985,14063,16216,15749,15774,14889,13202,14450,11485,11403,13543,12363,13546,16349,16458,18631,17179,15714,14934,15955,13868,13407,15049,14353,17013,19297,17855,22058,18037,18194,16248,16458,14914,12660,12942,12764,14898,16601,17664,19651,15865,17988,15029,13933,12943,10290,11787,13396,14623,
14,Florida,4,17445,19490,19661,20434,20794,17506,17772,18157,13730,18140,16190,16134,21388,21865,22655,25722,25709,23150,23224,24665,22025,26290,20589,19239,28308,27657,26850,29873,26053,23749,23207,22617,20913,26478,23857,22902,30946,29932,28819,29456,26063,27755,24216,22669,22610,25548,21680,22242,28494,29928,31279,29721,29233,29223,25042,30014,27005,30455,28033,27102,32942,37849,38368,36883,38288,36527,32140,34220,28939,34355,28890,28681,35487,39692,40507,39810,40781,37285,35846,38592,31994,40509,29826,32008,42869,44728,42706,48484,45957,40733,40187,38309,32761,39577,29911,32309,40571,41072,42196,45710,39798,41827,36272,35069,34685,39085,31311,32187,44324,41566,48131,48310,42839,45241,30453,38201,34592,38600,33511,33134,43853,46607,49278,47872,45764,46102,37310,41042,37303,37381,33147,32418,42450,45180,44957,39830
21,Illinois,5,11571,12863,13562,14914,16121,14687,13854,13374,9156,9866,8010,7379,10003,10875,11115,13713,14928,13572,13600,14671,13427,13458,9582,8610,12051,13493,14197,16603,13586,12308,10791,10070,9606,10296,9190,7401,10520,9927,11641,13843,11840,14192,11800,11042,10500,11151,10007,8712,10985,11285,13564,15143,13582,16420,11969,12631,10837,10973,11777,9102,10982,13411,14039,15228,18830,17959,15353,17343,14142,13825,13054,10324,12107,15334,16208,18234,18466,16838,18643,19062,12921,15462,11605,10524,14268,16046,16870,21924,22996,23695,21812,20716,15458,17074,14005,13944,16943,19045,21632,25881,24045,25880,21364,19344,17515,18119,15694,13019,18815,18582,23306,25547,22651,25780,19800,19446,17794,16359,14124,11886,16640,19113,22331,24752,22262,22011,17729,19028,16511,15374,11239,11308,14653,17588,20549,22512
47,Pennsylvania,6,9975,10997,11816,13232,13640,12424,11391,11156,8617,9102,6447,5831,7893,8724,9319,11916,12939,12031,11479,11719,11549,11341,6368,5876,9521,10427,11305,14761,11521,9569,9270,8813,8254,9341,6969,6386,8656,8302,9673,11836,10474,11708,9501,9161,8627,9296,7604,6943,8447,9078,11099,11634,12250,11960,8781,10985,10241,10356,8685,7444,8847,11048,12614,12960,14953,14167,12314,12695,10539,11225,8716,7242,9305,10716,12122,14386,14431,13932,12564,13467,10842,12860,9126,8391,11426,11994,13140,16136,18139,15407,15125,15404,11873,14032,10446,9976,12315,13190,15477,18679,17028,18120,15407,14585,14447,14994,12006,10236,14046,13604,17255,18927,17269,18787,15449,16621,15514,15084,12839,10429,13315,15670,17795,19381,19483,20165,15857,17613,15486,15108,11856,10143,13197,15524,18710,
44,Ohio,7,10946,12130,12972,14065,13942,12670,12250,12404,9037,9860,7288,7629,9728,10252,10297,12574,12997,12191,12045,12674,11334,10939,7720,7392,10987,12029,13236,14557,10389,10240,10416,9384,8684,9482,7979,7299,10448,10110,11037,12133,11048,12017,10968,10107,9288,9549,8258,8339,10551,10424,11772,12456,11635,11998,9981,11511,10089,10126,9621,8947,11277,12562,14508,15358,16037,15794,13242,13903,11743,10992,8975,8326,10014,11488,13352,14730,14873,13102,13589,13993,10911,12596,9497,9520,12954,14007,14990,17772,17368,16361,15080,14584,11033,12084,10675,10539,13061,14364,16405,19320,17122,18416,16897,15425,14462,14553,11556,10884,15527,15322,18730,20623,18135,20473,17631,17883,16004,14934,12436,11093,15500,16707,18882,19895,19656,20976,16896,18554,16297,15166,12625,12460,15633,18300,20767,
30,Michigan,8,9658,10958,11779,12131,12589,12209,12522,13233,10268,9752,9646,8436,10798,11562,11867,12561,14141,13337,13360,13059,13280,12236,10552,9521,12029,12899,12819,14599,11639,11529,12069,11839,12502,10685,10592,9139,11841,11023,11542,12804,12160,14788,13130,12173,16123,10821,10981,10967,12239,11691,13817,14162,13657,15319,13840,16815,21600,12426,13486,11421,12433,13571,15304,15951,16602,17468,17084,17881,20642,12890,12210,9985,10623,12211,13425,14856,16152,15653,15946,17548,19041,14456,11754,9708,12330,13574,13399,18042,16680,17367,16898,17700,18023,13297,12531,11271,13192,13475,15845,18447,17177,19548,19494,15254,14836,13825,13796,11028,14431,12751,17470,20074,17601,20870,18177,18418,16231,13498,13892,10378,13253,14221,17337,18074,19133,20774,17934,19195,16018,13040,12455,11576,13563,14067,16770,
16,Georgia,9,12592,13587,13452,13501,14133,12955,12621,13055,9680,10688,8132,7692,10957,10010,10071,12018,12402,11974,10773,11163,10654,11564,7593,8669,11808,11652,11525,12489,9931,9921,11165,11365,10273,10510,9225,9162,11878,10543,12737,13460,13187,16773,18010,16975,16544,15878,16928,17760,20551,21293,23216,25267,23499,24448,20881,21927,20494,19036,20172,18864,21493,22916,24395,24484,24471,25039,21050,21206,18823,17462,18282,16797,20575,20581,23263,22914,23233,23149,20771,20942,18007,18489,17428,16741,20541,23097,16532,18838,17631,16856,20660,18616,12300,18584,16252,17756,21984,22563,24468,28108,21590,22767,20527,18541,17403,18659,12854,13385,19262,17292,21406,21827,18690,20392,17347,17273,16222,17322,13206,14797,18924,19699,21596,22330,20488,22827,17494,18320,17115,15517,13487,14967,18872,20222,22787,
36,North Carolina,10,9395,10196,11108,11151,10937,9901,8524,8211,5874,6800,5255,5998,7392,7546,8176,9566,9978,8709,8729,8933,8234,8038,5470,5976,8650,9725,9942,10941,8066,7649,7386,6821,6264,7745,5641,5730,8063,7894,8271,9261,7938,8690,7499,6582,6423,7124,5799,6581,8117,7967,9419,9482,8511,8811,7374,8020,7699,8638,7220,7325,9350,10714,12186,11904,12091,11983,9848,10105,8872,9383,7785,7718,9721,10609,12214,12548,12717,11568,10132,11238,8934,10856,8112,8291,11668,9904,10406,14514,15119,12937,12258,11791,8849,10847,8800,10036,12951,14116,15763,17875,15649,16638,14877,13575,13999,14288,11579,11496,16605,15380,17810,19846,16905,18649,16643,16274,14577,14671,11733,11931,15897,17146,19496,19941,18246,19825,13553,15948,14186,13094,11323,12264,15612,16520,19522,19132
