RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
9,California,1,25305,25746,26057,27316,29248,30424,33109,34771,34794,35355,36510,39579,39174,37112,34506,34046,34923,34885,35505,35413,36290,37300,37441,38447,37536,36321,34870,33692,32247,30600,30057,29941,30722,32137,34901,36717,36968,35209,33144,31585,30812,31491,31875,31982,32142,33078,35735,38302,38670,37115,35468,34139,33947,33716,33139,34160,34718,37307,38985,40510,39986,38631,37586,36177,36505,36277,36772,36179,35128,35317,36092,37260,36679,36085,35200,35049,34932,34668,35502,35801,35117,35454,35574,37482,37800,38383,38218,38843,39636,39567,39752,38475,37175,37447,38049,40522,40006,39629,38722,38831,38461,39071,39428,39933,40684,40982,42649,42525,42921,40820,40746,40800,41188,41561,40962,41390,40802,40081,40682,41105,41838,40958,40491,39568,39331,38844,37154,36726,35478,34995,34967,36146,37140,36699,36415,35113
54,Texas,2,26805,25626,23981,23898,23608,23239,22380,21747,20687,20546,20350,21554,21929,21515,20352,20417,21297,21831,21870,21730,23746,24147,23623,22259,22547,23691,23796,23627,21457,20005,18379,18458,19443,20042,21625,21276,21759,20849,20729,20305,19791,20317,20031,20098,20130,20535,21444,22108,22389,22041,21793,21930,22614,22539,21864,22283,22377,23231,24203,25255,25838,26525,26726,26928,26619,27042,27397,26909,26347,26208,26685,26727,26803,26758,26994,27482,27589,26403,27046,27422,28627,28581,28501,28559,28731,28294,28266,28622,29559,29884,29746,29436,29095,29320,29866,31772,31875,31385,30136,30302,30204,31121,30860,30826,31347,31567,33166,33197,33922,32565,32378,32129,32311,31746,30858,31524,32876,33561,35202,35445,35656,34792,34598,34741,34309,34108,33308,33384,33035,32376,31560,30732,30752,30291,29456,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9415,9699,9980,10884,11460,11129,10769,10274,10284,9726,9037,8521,8301,8699,8944,9209,9281,9406,9669,9572,9366,9055,8962,8959,8849,9405,9810,10266,10289,10558,10556,10613,10889,11389,11626,11428,11391,11343,11127,10928,10863,11283,11419,11766,11629,11725,11837,11746,12013,11653,12087,12155,12510,12103,12235,12713,13212,13546,13314,13652,13643,13654,14160,14913,15406,14935,14555,14353,14756,14804,14749,14911,14972,15660,16460,17328,17693,17511,17433,16838,16982,16382,16664,16359,16328,16682,16693,16565,15889,15318,15253,15239,15455,15041,15317,15237,15037,14687,14064,14285,14626,15019,
14,Florida,4,17997,17461,17178,17544,17940,17625,17869,17805,17776,17668,18315,19578,20321,20060,20020,20663,21826,22394,22994,23673,25167,25882,26167,25434,25661,25284,25189,24840,24357,23878,23279,23153,24019,24803,27175,28403,29402,28325,27288,25986,24819,25012,24880,24769,25057,25184,26615,26898,27430,27276,27236,26784,26576,26504,26581,28028,29597,31067,32676,33237,33547,33092,33118,33321,33456,33581,34042,34193,34248,34566,35098,35548,35370,35108,35107,35348,35680,35413,36308,37203,38231,39312,38744,39366,39480,40342,39606,40010,40385,40547,40443,39677,39933,39210,38775,39218,38915,38637,37626,37958,37576,38230,37576,37561,38237,38699,39968,39598,40643,39920,40705,40600,40988,40963,37557,37696,37269,39575,40703,40764,41821,41688,42417,42334,42083,41989,41071,41299,41677,41217,41219,39908,40926,40516,40272,38320
21,Illinois,5,14897,14381,13023,12579,12611,12371,12456,12100,11654,11092,10571,11187,11497,11669,10989,10829,11209,11422,11758,12118,13586,14408,14185,13866,13666,14036,13618,13448,12576,11508,10213,9551,9910,10423,11415,11874,12228,11562,11030,10704,10565,10782,10542,10649,10844,11366,12423,13269,13493,12928,12260,12108,11983,12204,11661,11773,11501,11908,13262,14196,14484,13863,13125,12996,13580,14066,14514,14618,15188,15619,16112,16470,16159,15630,14879,15132,14965,14489,15103,15824,16231,16271,15610,16541,16477,16824,16166,16583,17408,18556,19113,19100,18640,18317,18210,20073,20465,20776,19683,20136,20231,20503,19847,19134,18871,19063,20110,20682,21424,20838,20769,20401,20273,20006,18972,18669,18539,18558,18886,18726,19260,19542,19802,20065,19652,18679,17241,16918,17306,17588,16777,16783,16900,17931,17965,18392
47,Pennsylvania,6,12763,12442,11395,11105,10937,10773,10712,10378,9996,9448,8952,9105,9189,9387,9015,9180,9622,10113,10440,10466,11239,11404,10702,9834,9816,10649,10861,11165,10623,9821,8681,8215,8498,8690,9134,9723,10028,9845,9274,9119,9040,9333,9063,8986,8808,8914,9535,10300,10537,10344,9902,9773,9903,9830,9391,9383,9709,10390,10942,11408,11452,11471,11216,11293,11464,11539,11841,11615,11435,11300,11350,11598,11534,11422,11128,11415,11561,11722,11712,11861,11854,12181,12180,12956,13182,13338,12720,12655,13357,13617,13927,13655,13606,13521,13523,14808,14996,14984,14205,14486,14466,14764,14468,14250,14364,14509,15454,15965,16512,15951,15573,15244,15144,15083,14732,15063,15373,15534,16235,16472,16704,16499,16179,16261,16034,16191,15844,15873,15789,15832,15795,15884,16062,16243,16362,
44,Ohio,7,13525,13037,11942,11796,11592,11208,11183,11135,10801,10636,10253,11087,10983,10981,10066,9956,10124,10408,10723,11024,11624,11919,11658,11565,11520,11914,12001,11974,10808,9676,8951,8959,9172,9434,10321,11105,11400,11020,10499,10010,9679,9694,9796,9845,9778,9895,10690,11807,12114,11708,10862,10423,10151,9941,9650,9971,10190,10824,11832,12987,13345,13013,12666,12751,12988,13007,12938,12769,12519,12464,12419,12672,12255,11868,11501,11872,12146,11769,11977,12162,12364,12790,12966,14134,14191,14408,13906,14039,14159,14190,14035,13705,13051,12828,13383,15041,15325,15101,14489,15002,14932,15106,15093,15094,15072,15194,15907,16548,16817,16497,16399,16374,16263,16310,16171,16653,16602,16638,17006,17217,17336,17066,16904,16692,16537,16678,16509,16773,16687,17034,17284,18107,18189,18369,18055,
30,Michigan,8,12765,12993,12106,11684,11286,10850,10980,10915,10052,10211,10361,12223,12826,13371,12837,12072,11912,11769,12019,11434,11017,11907,12473,14143,14275,14968,14174,13499,12065,11090,10364,10192,10093,10752,11681,13347,14011,13966,12950,11827,11274,11653,11764,11529,11424,11825,12816,14529,15304,15358,14127,13238,12882,12656,12578,13206,14348,15171,15860,16416,16639,16402,15426,14980,14794,14686,15037,15074,15358,15411,15281,15318,14615,14372,13533,13511,13712,13711,14049,14127,14521,15524,15303,15602,14985,15451,14751,14958,14795,15292,14978,14939,14583,14852,14903,16292,16484,16597,15881,15853,15878,16183,16513,15629,13838,13552,14809,16883,17376,16699,16652,16590,17023,17165,16632,16518,14705,14677,15075,16447,16586,16435,16689,16527,16859,17018,16998,16640,14800,14663,14259,16322,16768,17140,16569,
16,Georgia,9,13483,13159,12311,12140,12212,12115,12351,12542,12379,12078,10746,10240,9939,9887,9668,9599,10261,10860,10917,10983,11477,12110,11223,10749,10408,11082,10885,10675,10066,9636,9684,10577,11534,11652,11334,11206,11273,10959,10914,10966,11701,12940,14981,16819,18124,17923,18683,19710,20665,20700,20183,20854,21379,21829,21360,21753,22287,22282,22600,22586,22699,21970,21344,21476,21790,22071,21888,21734,21462,20827,20654,20423,20809,20090,19981,19954,20621,20674,20858,20992,20970,20801,20385,20440,20440,20844,18797,17584,15747,15904,17248,18293,17969,17873,17800,20430,20869,21567,21416,22451,21993,21582,20161,19967,19829,19804,18425,17333,16851,17229,17979,18063,18369,18150,17514,17769,17885,18431,17629,17562,17457,18452,18677,19020,19123,19566,18832,18899,18634,18473,17418,17084,17620,18668,19171,
36,North Carolina,10,10853,10413,9563,9456,9279,9011,8775,8451,7755,7379,7151,7740,7786,7673,7212,7345,7741,7960,8226,8411,8948,8948,8582,8277,8301,8779,8830,8917,8085,7491,6937,6953,7062,7400,7820,8139,8071,7885,7575,7399,7113,7300,7243,7215,7079,7158,7733,8388,8561,8322,7943,7810,7661,7556,7397,7688,7996,8658,9433,9956,1e4,9956,10019,10134,10115,10149,10145,10129,9948,10061,10410,10676,10578,10230,10119,10284,10474,10379,10293,10479,10443,10990,11117,11627,11655,10927,10034,10083,11170,11991,12068,11767,11298,11139,11411,12764,13226,13509,13330,13868,13764,14141,14164,14309,14687,14899,15903,16005,16462,15818,15543,15392,15238,15621,15688,16381,16388,16153,16330,16419,16500,16343,16346,16459,16120,16366,15387,15596,15112,15332,15422,15812,16363,16204,16059,16046
