SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
1,9,California,State,CA,27517,30980,30149,28694,33427,33497,37657,35634,28514,34792,26574,16973,28757,28595,32627,38775,37996,34366,39388,33806,28146,32369,25185,18731,27644,28055,31218,38198,33960,32069,37267,31376,33927,29423,22636,17728,23628,26493,35737,34899,32874,38004,33721,37041,31288,26571,24468,15943,20754,21888,32008,33139,40431,35776,29793,34824,29478,25592,23895,15270,28549,32605,32905,33780,41669,36974,32296,36188,30629,34917,24296,14856,28908,28068,31715,32924,36987,33055
2,54,Texas,State,TX,28210,31209,33047,30423,34867,32576,37174,33479,24474,31175,24691,15891,26245,25672,30984,38865,34158,31804,38152,33627,22749,27592,22497,19751,25820,28125,28412,36058,32347,28693,37965,29294,30520,26288,22176,20005,22981,25261,34419,30069,29197,34798,31453,33622,26747,23779,24438,17873,23162,23029,32250,33434,40160,35661,31802,33628,29430,25057,25434,18479,28887,30961,36721,35489,41843,38876,33933,34218,25581,31202,24072,17761,29818,29157,33814,32965,37509,34830
3,43,New York,State,NY,18019,18219,22702,23582,23758,20609,21461,19655,15855,20828,17320,9639,16214,22620,20725,25086,23439,21640,21743,18467,17553,18320,14661,11608,14982,14284,17806,27324,23904,23546,21705,16647,19368,16552,12801,11228,13940,14573,21758,21948,21300,21296,17269,18733,19110,13748,14528,11214,13390,12228,17729,20801,23098,19439,16255,17027,15761,13360,11647,7344,13333,19541,17120,19244,23044,19698,17085,16311,15509,16843,11178,6968,13692,13280,16418,17846,21054,18546
4,14,Florida,State,FL,47540,47573,43719,38962,40820,39182,44999,46499,36668,48326,45263,32264,47087,42652,46392,49920,45019,45533,46152,41648,34478,43422,38527,36598,46222,40200,39591,46611,38693,37350,43366,36248,42323,39600,36463,35277,41691,44276,47636,42561,38241,39695,35576,41895,36345,32463,39132,30780,38097,35268,42623,42937,43849,37963,33713,40116,22427,32891,38385,30200,47056,44778,46052,40695,44209,38164,33658,38400,32953,43564,36223,27739,47150,41656,41669,36683,40542,35118
5,21,Illinois,State,IL,12815,14823,15558,15966,18052,16321,18002,17411,12780,14667,11450,7900,10692,11931,16352,21629,19430,18048,20080,16174,13044,13984,10936,9048,12773,13324,16706,23426,19009,18284,19426,15321,16062,14211,10734,8614,10939,14016,20170,20200,17877,19861,16642,17211,14691,11910,10946,7272,10036,13134,18697,19357,20766,18951,15436,17322,14320,11777,10336,6748,12110,15139,19846,17932,20766,19141,15515,16591,13331,14577,9230,6217,11270,13548,17136,18945,18155,17173
6,47,Pennsylvania,State,PA,12692,12599,15311,16277,18171,16963,16631,15198,12390,14737,11820,8040,10783,10044,14149,20779,18577,16393,17420,15075,12683,14531,10710,8546,10498,10644,14182,19209,18871,15976,17848,14163,15544,13290,10313,9383,10969,10992,18002,17492,16172,16634,14103,15976,13685,11907,10942,7374,9325,9645,14479,16622,19078,16286,13465,15553,13190,11570,10834,6895,10659,12102,14205,15523,18776,17007,13870,14494,11935,14116,9345,6327,10367,10165,12938,14202,15831,14827
7,44,Ohio,State,OH,11295,12036,13696,13246,16137,14551,15339,14120,11136,13198,9876,6340,9342,10192,12526,16218,16082,14545,16492,14163,10574,12228,9376,7330,9431,9385,11651,15767,15337,15274,16128,12902,14222,12449,9222,8429,9236,10185,14309,13804,13928,15670,13831,14807,11806,10398,9703,6337,8021,8252,12537,12977,16064,15256,12861,14965,11797,10396,9271,6298,9562,10496,12293,12731,16166,14906,13460,14496,10855,13239,8752,5791,9059,8971,11076,11788,13553,13059
8,30,Michigan,State,MI,12422,12744,14221,15189,19267,17253,18649,18195,12802,14953,12077,8237,9709,9672,12222,17953,19793,17901,20113,16204,12968,13876,10024,8614,9934,10992,12869,19675,18097,17003,19417,17494,14709,12865,9644,8311,9530,10043,14810,15336,16475,18532,15374,17140,12876,11153,9707,6481,7547,7988,12175,14547,18109,16801,13923,16413,12039,10662,9192,6246,8761,9122,11663,12449,17654,17263,14703,16363,12068,13576,9073,5930,9120,8200,11516,12747,16163,15422
9,16,Georgia,State,GA,12888,13085,14901,13086,15111,13974,16670,14423,12817,16251,13678,7923,12218,11671,16722,17907,17022,14737,16883,14220,11492,13948,11469,10225,13146,12832,18559,19107,16527,15827,18352,16352,15604,14412,10719,10234,11941,13159,18572,17048,17729,18481,15333,17036,14389,12001,12227,8765,11137,11939,16929,16697,19190,16656,14239,16053,11816,11822,11731,8608,13477,14824,16046,15856,17915,16423,14085,15775,12257,15303,10578,8007,13355,17157,15521,14671,17150,15059
10,36,North Carolina,State,NC,14458,15223,16667,16090,17134,15982,18098,15820,13166,17600,14776,7781,13480,12258,15772,19873,18916,15068,16333,14017,11733,12555,10361,8676,12110,12632,15601,16682,15126,13359,15517,12566,13265,11462,8932,9740,11165,12174,17331,15560,15011,15703,12905,14290,12147,9680,9982,7265,9064,10079,13900,13643,15929,14697,12147,13996,11245,10032,10263,6932,11165,13144,15353,15114,16999,14864,13158,13252,8605,11805,8668,6024,10610,11596,13571,12807,14850,12366
