SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
1,9,California,State,CA,32066,31556,28548,26186,27166,29537,31354,31020,30893,32641,32567,31606,31743,31299,31693,32934,32086,31523,32056,30456,29622,31024,31753,31897,31519,30401,30689,31228,29247,28812,29890,30167,31148,30396,29542,29793,28901,29758,31702,30338,29210,30598,31143,31481,30489,28797,29368,28699,25905,25816,28213,30314,31835,30364,28189,28962,28738,27736,28732,30225,32344,33345,31483,31127,32825,31872,30141,30556,31958,32812,31201,30243,31311,30871,29527,29193,29206,29183
2,54,Texas,State,TX,32176,32059,29833,27790,28277,29385,30135,29554,29420,30936,30119,28420,28491,28281,29509,31279,29743,29017,30539,29482,27703,28207,29131,29714,29869,28753,28113,28740,27259,26913,28656,29255,30186,29464,28753,29066,27798,28102,28875,26400,25571,27476,28112,28922,28766,27886,28785,28634,26798,26474,28042,30219,31963,30658,28604,29754,30436,29494,29810,30642,31800,32973,32754,32759,34035,33166,30680,29652,30192,31295,30519,30194,31643,31566,30202,29664,30141,30342
3,43,New York,State,NY,20479,20237,19978,19123,18262,18275,19118,18827,18518,20221,20263,18685,19878,21495,20492,19324,18710,18761,19234,18708,18407,18741,18827,18700,17665,16291,17533,19851,19950,19800,19250,18221,18381,17858,17386,17787,17120,17183,18295,17538,16687,16859,17e3,18065,18018,16834,17587,18081,16254,14889,15468,16446,16781,16072,15613,16097,15765,15095,15124,15417,17081,18388,16630,15526,16407,16376,15926,15864,16299,16665,15686,15202,15598,15179,14392,14177,14751,14959
4,14,Florida,State,FL,44019,43639,40452,37919,38792,41085,43882,44712,44679,46339,45210,42159,41468,41664,43220,45036,45123,45604,44950,42116,41229,41740,41731,42413,41461,38447,38300,40019,38992,39244,40283,40776,42938,41367,39453,40076,39794,41250,42223,39781,38205,38377,38587,40303,39660,37057,37939,37582,34528,34475,37447,39998,40527,38461,36969,35605,32438,33682,37578,39343,41183,42237,40900,39761,40116,38645,36664,37429,40003,41178,38575,37587,39788,39525,36856,35687,36446,36399
5,21,Illinois,State,IL,16253,15418,13328,12315,13047,13834,14839,15196,14941,15525,15761,15089,14207,13613,14372,15661,15550,15553,16042,15178,14585,15139,15656,16090,15898,14891,15299,16513,15813,15395,15603,15360,15932,15978,15542,15407,15072,15610,16320,15422,14780,15192,15142,15301,15134,14559,14793,14622,14094,14540,15072,15291,15729,15144,14401,14993,14930,14265,14375,14776,15515,16313,15745,14841,15391,15250,14340,14410,14942,15155,14420,14055,14576,14600,14203,13998,13822,13989
6,47,Pennsylvania,State,PA,15635,15221,14064,13209,13588,14233,14336,13817,13666,14436,14597,14028,13571,13158,13967,15284,14765,14246,14581,14022,13713,14131,14126,13941,13702,13378,13738,14594,14406,14216,14488,14384,14588,14130,13836,14386,14226,14597,15303,14039,12783,12930,13266,13887,13738,13130,13317,13140,12556,12604,12984,13474,13922,13319,12788,13389,13273,12808,13072,13218,13711,14075,13184,12800,13674,13704,12927,12643,13001,13397,12829,12494,12932,12695,11733,11107,11324,11849
7,44,Ohio,State,OH,14100,13901,12948,12140,12177,12242,12285,12103,12120,12679,12491,11927,12024,12202,12653,13331,12886,12514,12884,12257,11586,11926,12245,12319,12119,11607,11909,12712,12578,12601,12582,12432,13128,12908,12497,12780,12501,12633,12964,12062,11478,11871,12026,12188,11848,11385,11697,11548,10893,10933,11407,11761,12234,11956,11496,12004,11848,11261,11467,11803,12216,12383,11795,11621,12137,11958,11604,11671,11950,12314,11790,11294,11458,11191,10577,10208,10133,10119
8,30,Michigan,State,MI,16341,15946,14695,13766,13853,14031,14394,14360,14187,14909,15094,14311,13656,13231,13619,14792,14963,14850,14818,13770,13477,13891,13893,14043,14195,14107,14704,15403,14314,13802,14597,14673,14392,13719,13375,13695,13683,14017,14352,13331,12795,13147,12906,13023,12917,12404,12524,12303,11725,11836,12325,12705,12978,12326,11604,12083,12153,11804,12088,12364,12557,12573,11828,11432,12343,12640,12124,12258,12860,13231,12676,12265,12426,12159,11599,11190,11212,11416
9,16,Georgia,State,GA,14483,13841,12403,11558,11963,12975,13792,13810,14483,15894,15606,14187,13479,13388,14154,14893,14275,13875,14066,13436,13204,13901,14538,15031,14793,14626,15650,15819,14561,14652,15634,15905,15922,15020,14322,14566,14241,14421,15199,15084,15257,15511,15004,15200,14895,13948,14169,14038,13133,13126,13957,14851,15386,14672,13795,13799,13325,13146,13895,14445,14963,14889,14014,13889,14446,14184,13611,13732,14350,14741,14068,13840,15317,15854,14031,12976,13396,13596
10,36,North Carolina,State,NC,16021,15642,14541,13748,13936,14823,15597,15269,15600,17131,16477,14558,14031,13674,14282,15854,15516,14354,14050,13569,13185,13192,13258,13559,13657,13457,13476,13260,12366,12332,12868,13024,13330,12720,12566,13500,13327,13389,13914,13087,12570,12798,12604,12964,12785,11883,12072,12e3,11117,10921,11162,11482,12251,12308,11921,12410,12374,11972,12260,12425,12834,13316,13005,12847,13173,12896,12293,11628,11318,11834,11699,11435,11936,11937,11137,10713,10878,10852
