SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
1,6181,New York,City,NY,0.9083333333333333,0.9188361408882083,0.8941475308835354,0.9202453987730062,0.9217877094972067,0.9179258487194759,0.9314586994727593,0.9272918861959958,0.8897243107769424,0.9302973375655892,0.9249289019176306,0.9259259259259259,0.9191844959402595,0.9238337334651414,0.92002538071066,0.9199745454545455,0.9247211895910781,0.9220055710306406,0.9331571753986333,0.9336445481827276,0.9265279583875162,0.9182187332850963,0.9217346158209017,0.9223300970873787,0.9090909090909091,0.9079544763564871,0.9137844628201801,0.9181969949916527,0.9142857142857143,0.9250201807023857,0.9347879721838349,0.9328160888841408,0.9362400272956276,0.9354120267260579,0.9338541666666667,0.9297297297297298,0.9254629629629629,0.9299763634335063,0.9289940828402367,0.9407407407407408,0.9472259810554804,0.9613228241535146,0.9574516582516582,0.9629629629629629,0.9651416122004357,0.9587112171837708,0.9574468085106383,0.9557109557109557,0.9606986899563319,0.9559748427672956,0.9575780380865127,0.9536261935847221,0.9665551839464883,0.9678496059261812,0.9692647058823529,0.9698996655518395,0.9679572763684913,0.9642857142857143,0.9595115681233933,0.961038961038961,0.9650048250241251,0.9630606860158312,0.9556263426920513,0.9581348881673571,0.968955223880597,0.972975978313463,0.9731696225557072,0.9780711001623815,0.9760191846522782,0.9717948717948718,0.9661677305745102,0.9684813753581661,0.967415163501119,0.9659198998748435,0.9679111395403563,0.9640102827763496,0.9702681752527684,0.9734513274336283,0.9750188571628382,0.977728285077951,0.9727272727272728,0.9754837440041982,0.9691252144082333,0.9712745932286428,0.9736842105263158,0.9697451462157345,0.963855421686747,0.9694394076380446,0.972696210395527,0.9734748010610079,0.9761714056868241,0.9762202753441802,0.9736842105263158,0.9690379378658931,0.9674094630515683,0.9673691215616682,0.9666666666666667,0.9610115911485775,0.963855421686747,0.9649122807017544,0.9716129032258064,0.9701492537313433,0.9728958766764225,0.968,0.9649122807017544,0.9586206896551724,0.9547375826649782,0.9523809523809523,0.949748743718593,0.9466950959488273
2,12447,Los Angeles,City,CA,0.9617869453041639,0.9513590844062947,0.9660427931353849,0.970873786407767,0.9683377308707124,0.9693361433087461,0.9698554931532782,0.962426131450488,0.9603841536614646,0.9507042253521126,0.95,0.9457094333917881,0.9428571428571428,0.9377930603313536,0.9406644622894031,0.9546906556942123,0.9507640067911715,0.9523809523809523,0.95119774718398,0.9482807165733995,0.9386156734243478,0.945179584120983,0.9439770476241972,0.9467375831717777,0.9400794636143206,0.9497774480712167,0.9407730281983968,0.9565217391304348,0.9681549047847655,0.9764532617170579,0.9798624523058082,0.9725400457665904,0.9829867674858223,0.9819045278404159,0.9879677909707887,0.9846069222306846,0.9926537943421643,0.9966035592826095,1,1,1.0018360596543863,1.001727115716753,1.0007698229407236,1.000250062515629,1,1,0.9855072463768116,0.9827586206896551,0.978021978021978,0.97861700293154,0.9899749373433584,0.9883515707730322,0.9906650981417336,0.98823517591046806,0.9876358124256932,0.984251968503937,0.9831375949811891,0.9775114875444113,0.9733185020393029,0.9746588693957114,0.9696007084825382,0.9791666666666666,0.9847198641765704,0.9931506849315068,0.9967273792405602,1,0.9924013660104459,0.996415770609319,0.9935609917886451,0.9866666666666667,0.9848751319029194,0.9836734693877551,0.9804424023512791,0.984560758802205,0.9935064935064936,0.997698504027618,1,1,1,0.9948479361955277,0.9891334200562834,0.987315086167234,0.9859154929577465,0.9815242494226328,0.9815801547613998,0.9831932773109243,0.9927700174122889,1,1,1,1,1,0.9955817378497791,0.9964494604860668,0.9993249184191444,0.9908883826879271,0.990765319038462,1,1,1,1.0000029910803931,1,1,1,0.991304347826087,0.985105647961509,0.9798092239303575,0.9728091559370529,0.9692307692307692,0.9742895805142084
3,39051,Houston,City,TX,0.928836987607245,0.9294731818181818,0.9422975040257648,0.9461,0.9514631785714286,0.9552,0.9256923021206024,0.927536231884058,0.9329757575757576,0.9169548387096774,0.9117058823529411,0.9009009009009009,0.8913272688172043,0.8987368403737334,0.8882798561382101,0.9137070227845135,0.9078931302342517,0.8922502049290837,0.9059515923566879,0.905057720358408,0.8948886956521739,0.9079348837209302,0.9009157175398633,0.9074341610233259,0.8951130107057262,0.9235547041294168,0.9091744074490001,0.9146305530011184,0.9170712401055409,0.9299445226582965,0.9301795862696067,0.9441402973825503,0.9416151931726744,0.9290856064073226,0.9262458897922312,0.9202600519352915,0.9226405023547881,0.9192701597918989,0.9349671292914536,0.9302548404994282,0.9307692307692308,0.9398606713109563,0.9411211778200368,0.9398624338624338,0.9395533356618931,0.9399477806788512,0.9323008682220091,0.9203649122807017,0.9275967057761734,0.9386492560581035,0.9330698989898989,0.9431578947368421,0.9504080061585836,0.951731563421829,0.9551339756838906,0.9891084755738669,0.9581004618937645,0.9411162352941176,0.9425676767676767,0.9537412587412588,0.9712330516314673,0.9601069039285064,0.9559748427672956,0.9615384615384616,0.965993901189712,0.9640479335998904,0.9546218356458626,0.9594893079099591,0.9510516129032258,0.9473684210526315,0.944054959156208,0.9422245600033528,0.9434270270270271,0.9381919632606199,0.9478021164058787,0.9494686487516677,0.9572403100775194,0.9620334620334621,0.9626790697674419,0.9629063829787234,0.9391941764008803,0.9296538927738928,0.9485032258064516,0.9380863039399625,0.9346931964056483,0.9370144230769231,0.9412780656303973,0.9448597222222221,0.9533948562927324,0.9552019574509762,0.9534883720930233,0.9508725868725869,0.9417468576880901,0.9499568221070811,0.9495798319327731,0.940924249642687,0.94465204957102,0.94063125,0.9412484301595423,0.952,0.96,0.952980655349388,0.9548178510793112,0.9507367586326566,0.9490977157102507,0.9478602612001712,0.9318006905748563,0.9233695623586468,0.9374824120603015,0.9405267330717104
4,17426,Chicago,City,IL,0.9013333333333333,0.8872707604414922,0.9012403476809052,0.8919741557358776,0.9071004066312167,0.920935412026726,0.9246901811248809,0.9144961560018189,0.9166666666666666,0.9104439503465356,0.9006794418572619,0.9020044543429844,0.8909076483655982,0.8989775505667926,0.8888888888888888,0.8888888888888888,0.9145720382057627,0.92,0.92,0.9112123681805833,0.9068767695933826,0.8978126259480452,0.891566265060241,0.8949339641237926,0.9001043341856128,0.8968437259430331,0.8843537414965986,0.9019607843137255,0.9215376513954713,0.9287925696594427,0.9322226589898336,0.932130921197615,0.9305966255000869,0.9358974358974359,0.9343715239154616,0.9335774997809111,0.9342105263157895,0.9311524549614478,0.9454636409113648,0.9509433962264151,0.9548926882502728,0.9667693888032871,0.9699839058235157,0.9651177426968061,0.966789995366742,0.9615641094035332,0.9607476635514018,0.9571428571428572,0.9523809523809523,0.9499353016800676,0.952892561983471,0.96,0.9667472356503861,0.972,0.9697586238786646,0.9640102827763496,0.9594172297297296,0.9533898305084746,0.9503563985043284,0.9415457041977247,0.9361126348630884,0.9363741428958821,0.9473684210526315,0.9595403625061075,0.970970970970971,0.9727272727272728,0.9675925925925926,0.9663686675180928,0.96,0.9555555555555556,0.9519038076152304,0.9455306200076075,0.9373594587116734,0.9471131989695408,0.9569620253164557,0.9690852054240032,0.9731343283582089,0.9753773790168911,0.9719185005080531,0.9714285714285714,0.9649122807017544,0.9636363636363636,0.9581564584596726,0.9527499570638504,0.9499506748956216,0.9499103942652329,0.9633671911005883,0.969811320754717,0.9762053757673281,0.9761904761904762,0.9757729797715124,0.9679926238145415,0.9655172413793104,0.9606885322167946,0.9566207784490444,0.9500019000038,0.9484066767830045,0.9476455823293173,0.9696969696969697,0.9746088740702744,0.9734513274336283,0.9727272727272728,0.9688581314878892,0.9666666666666667,0.9612961033612629,0.9547841949473395,0.950611267364888,0.9426702577914583,0.935769963639379,0.9452054794520548
5,6915,San Antonio,City,TX,0.9966455026455027,0.9960602409638554,0.9838954268914771,1,0.994395688991532,0.9937741243745533,0.9886083423054215,0.9852266943917445,0.9834943985955517,0.9678936282253818,0.9731921131931776,0.9487866666666667,0.9706291666666667,0.9635334872979214,0.9842527233115469,0.9721992372733104,0.9757497988351407,0.9810558139534884,0.9767526526168442,0.981048162970374,0.9752991847883938,0.9642207398423287,0.9571277777777778,0.9774507936507937,0.9684294247123562,0.956232666086452,0.9880183727034121,0.9793391304347826,0.9914606741573033,0.9951203007518797,0.9894882352941177,0.9959016393442623,0.9958735987427972,0.9907162342135476,0.9924484991171277,0.9815294117647059,0.9949244444444444,0.9830221414398449,0.9936277959859874,1,1.0025705129319333,1.0026808259811377,0.9970326409495549,0.9861088228874892,0.9999607843137255,0.9828963198867657,0.98885,0.9968082965121294,0.9918029197080293,0.9987451886066204,0.9846148060657272,0.9903559043056342,0.9999707815924033,0.9977678571428571,0.9978781448923917,0.9897317073170732,0.9889807692307693,0.9892615384615384,0.9808152373941847,0.9849086576648134,0.9826787878787879,0.9805555555555555,1,1,1.006550977443609,1,1,0.9959072305593452,1,1,0.9953975966562174,0.9934186347817144,0.9924205704292951,0.9857931034482759,1,1,1,1,1.0004594518268686,1,0.9995946639302207,0.993065485605821,0.9943714821763602,0.984182776801406,0.9852383755150088,0.9887209595959596,0.9903365876005293,0.9931352734987546,1,1,1,1,0.9911163636363637,0.9918769893899204,0.9877729324225422,0.9782514136581122,0.9817391304347826,0.9843648197534548,0.9920282352941177,1,1,1,1,0.9943820224719101,0.9899749373433584,0.9880444444444445,0.9887082274465913,0.9839492063492064,0.99022,0.9959686395142398
6,13271,Philadelphia,City,PA,0.9203681472589036,0.9172413793103448,0.9212283044058746,0.9268035808320169,0.9393939393939394,0.9449694274596998,0.9337153772683859,0.9308963912275384,0.9280912185159973,0.8996024621697871,0.9081580297588507,0.909004341033616,0.9109109109109109,0.9032445492292291,0.9090909090909091,0.9041968552920272,0.9116465863453815,0.9181969949916527,0.9170487703209671,0.9118541033434651,0.9026094849103699,0.9003126170604456,0.8846520495710201,0.8953652789269229,0.8833922261484098,0.8879083481735113,0.8958617553433379,0.9,0.9050955414012739,0.9160003160556258,0.9258092740936892,0.9239190808898763,0.9113652609006433,0.9074241045447639,0.9123013537374927,0.9133413177458534,0.9090909090909091,0.8939932932469935,0.9178140938261017,0.9177570093457944,0.9345794392523364,0.9408083170672186,0.9432387312186978,0.9290138161029061,0.9297513748614683,0.9282618665234225,0.9078478666831937,0.9127853881278539,0.9215376513954713,0.911903093402743,0.9170305676855895,0.9215196789400565,0.9324628587257906,0.9447943682845499,0.94,0.9292351679771265,0.9242101904052761,0.9274280642059324,0.9230769230769231,0.9190913853040621,0.9132947976878613,0.9203719746651489,0.9203681472589036,0.9183716075156576,0.9483025331488332,0.9499683343888538,0.9483752191700761,0.9473684210526315,0.9375,0.9365687526607067,0.9313556398758193,0.9333333333333333,0.9311835047334861,0.9281164695177434,0.9335436382754995,0.9454949944382648,0.9588660366870484,0.962278675904542,0.9638527873031448,0.9610298242756574,0.9561538461538461,0.9529780564263323,0.9533898305084746,0.9478260869565217,0.9467929225571263,0.9396984924623115,0.9488657076625068,0.9614642114642115,0.963855421686747,0.9721499024005584,0.9692307692307692,0.9653858367735789,0.9615236629472874,0.9612817089452603,0.959448499594485,0.95,0.9470373860116534,0.9499340369393139,0.9534883720930233,0.9622222222222222,0.971959129022762,0.9761904761904762,0.9762632428427174,0.9733155436957972,0.9739405106607002,0.96,0.9600038400153601,0.9552538964303671,0.9458414825615201,0.9425287356321839
7,40326,Phoenix,City,AZ,0.9422963667663314,0.9402941176470587,0.9347279877649115,0.9219387928399172,0.9444444444444444,0.9375,0.9342105263157895,0.9201680672268907,0.9181969949916527,0.9118541033434651,0.9168704156479217,0.9002400680202729,0.9139280125195618,0.8942691687212736,0.898876404494382,0.9190321079571894,0.9300662075390091,0.946011791177281,0.9561217619536688,0.961139536038945,0.9517164885326208,0.968421052631579,0.9639748761272624,0.960960960960961,0.9682034172480032,0.967741935483871,0.9744990892531876,0.9779199674994922,1,1,0.9976456739258387,1,0.9867171304682427,0.9952380952380953,0.984188447886415,0.9804902451225613,0.972936400541272,0.967948717948718,0.9716088328075709,0.9766555502620295,0.980327868852459,0.9799426934097422,0.9798371783282429,0.9761904761904762,0.9757743511638353,0.9701395100123724,0.9620253164556962,0.9572283862192805,0.9567382872622052,0.9610682709565911,0.9554551323434474,0.9565217391304348,0.9579051062884053,0.96,0.9609292708485374,0.9555555555555556,0.96,0.9559804357492219,0.9516685205784206,0.9586206896551724,0.9556332556332556,0.962278675904542,0.9667036215816704,0.9688195991091314,0.9727272727272728,0.9706084440928996,0.9736578859619873,0.9734991887506761,0.9710743801652892,0.9709910714285714,0.9693558474046279,0.9676944971537003,0.9647968841497461,0.9693251533742331,0.9702380952380952,0.9741114598934504,0.9734848484848485,0.9734513274336283,0.972972972972973,0.9714285714285714,0.9711595055915244,0.9695519791213572,0.9711987607157289,0.9688678412541487,0.9680755103583931,0.9715872910621269,0.9739583333333334,0.9759197216674184,0.976390556222489,0.9772098268941108,0.9767387752010128,0.9772727272727273,0.9735847707839742,0.9753896636587367,0.9717756341550554,0.9681180146088181,0.972133526850508,0.974410080786793,0.9787048948201346,0.9818242434345118,0.9829179331306991,0.9810742799572796,0.9829059829059829,0.978021978021978,0.9736703528172722,0.9743835616438357,0.972972972972973,0.9728813559322034,0.9691912708600771,0.9707107843137255
8,18959,Las Vegas,City,NV,0.9787894315479879,0.967391304347826,0.9664804469273743,0.9683770215639516,0.9683938704087527,0.96875,0.9647046610609364,0.9638313253012049,0.9635902236314545,0.9523809523809523,0.9450778303380034,0.932415519399249,0.932972972972973,0.9299369607034026,0.9363157894736842,0.9404388714733543,0.9453144115488133,0.95,0.950935598174862,0.9583333333333334,0.9454688123076957,0.9495305198921007,0.950890116635973,0.9482758620689655,0.9493449781659389,0.9483667017913593,0.9605188576411599,0.9724882509362633,0.9882033266033051,0.9899965505346672,1,1,1,0.9935064935064936,0.9992173232454996,1,1,1,1,1,1,1,1,1,0.9922779922779923,0.9826689774696707,0.975609756097561,0.9672682673802495,0.9662146737889787,0.9688388652985103,0.964891024470915,0.9736842105263158,0.975243871935968,0.975728761922896,0.970873786407767,0.9756427158866183,0.9636363636363636,0.9640928699529834,0.9636767976278725,0.9593023255813954,0.9594008124158877,0.9615168539325842,0.9680116279069768,0.967741935483871,0.9714244886294043,0.9729271644525882,0.9743589743589743,0.9736913850211791,0.9723898105735009,0.9683666881859264,0.963302752293578,0.9607921568627451,0.9658902748647754,0.967906046107003,0.9681092089327663,0.9755880256593015,0.9739524348810872,0.9733135509396638,0.9754877438719359,0.9748201438848921,0.9735936488633465,0.9693558474046279,0.9705882352941176,0.9706510210347058,0.9712918660287081,0.9724986107564604,0.9795748228428511,0.9827925100865547,0.9851301115241635,0.987105380168964,0.9899561263426853,0.9907664108862664,0.9854927463731866,0.9844395046046364,0.9821498724990892,0.9831932773109243,0.9821428571428571,0.9861111111111112,0.990909090909091,0.993157654827463,0.9926894959599846,0.9955555555555555,0.9920337300396821,0.9880711462450593,0.9827315116026891,0.98,0.9732360097323601,0.96875,0.9694297487529656,0.9658314350797267
9,54296,San Diego,City,CA,0.9550561797752809,0.9563858695652174,0.9710945112049366,0.9672707798293553,0.9762202753441802,0.9592469561657829,0.9635811836115327,0.9631413224671236,0.9546854582788875,0.9453302961275627,0.9398496240601504,0.942015990744435,0.9401732107751979,0.943993850485293,0.9457045757355356,0.9354838709677419,0.9523809523809523,0.9391304347826087,0.9365994236311239,0.9406308789429934,0.943089430894309,0.9382716049382716,0.9372972972972973,0.9343629750117124,0.9351213259590095,0.9375911344415282,0.9480988923121991,0.9596146721007781,0.9639610389610389,0.9703002100559062,0.9703944219015739,0.9712230215827338,0.9761936601332162,0.9675675675675676,0.9702300405953992,0.9774718397997497,0.9845009101657065,0.9903961584633854,0.9896432681242808,1,1,1,1,0.9869719699960521,0.9774221206058874,0.970970970970971,0.9668764557948819,0.9615384615384616,0.9612676056338029,0.9712230215827338,0.9710394265232976,0.9735519103329788,0.9749574349283889,0.9742857142857143,0.9718089098856462,0.9672401994329847,0.960763197838379,0.95991091314031185,0.9537210756722951,0.9531772575250836,0.9564659977703456,0.9619047619047619,0.9698962866049761,0.9757324434411345,0.9769408011343494,0.9835582845778061,0.981528197236871,0.9751015836632632,0.9784735812133072,0.9692307692307692,0.9719438877755511,0.9696969696969697,0.9717868338557993,0.9738550922761449,0.9833333333333333,0.9880071989846788,0.98670594010800206,0.9889745269425271,0.9873127890743515,0.981681136475103,0.9791315345699831,0.97708082026538,0.9775976827314187,0.976,0.9774881516587678,0.984873356015838,0.9936034115138592,0.9956822107081175,1,1,0.991652754590985,0.9861554845580405,0.9894609970505601,0.9823095780377975,0.9839177820405055,0.9780821917808219,0.983739837398374,0.9922480620155039,0.9930434782608696,0.9927930578026181,0.9910741766697445,0.9915573346954047,0.9878760676357413,0.9815476866038664,0.9753954305799648,0.967779013718947,0.9636687189878679,0.9571156194953814,0.9620520239589301,0.967741935483871
10,38128,Dallas,City,TX,0.9496086826033119,0.9105240174672489,0.9524759080800593,0.9359784283513097,0.951153488372093,0.9346847004250307,0.9283598366013072,0.893447479799923,0.9519844357976653,0.929394768568155,0.9057264437689969,0.8906035182679296,0.8708009313154831,0.9315438416152702,0.9025548141086749,0.9174481074481075,0.9112852142023671,0.9192879499217528,0.9410691244239632,0.9235689001103823,0.9085576619905411,0.9254,0.9161716002747253,0.9259778956875141,0.9293914695734786,0.95856464116029,0.9472702731362015,0.9454581831132399,0.9536519159852493,0.929484,0.9500275862068965,0.935566062183208,0.9627308252002659,0.947918123569794,0.949053401167423,0.9369942857142857,0.9487690508376607,0.9601938144329897,0.9404833894511515,0.9506606606606607,0.9565428480744815,0.9518367346938775,0.9484723618090453,0.955686448298009,0.9363507113054843,0.9442667648109769,0.9437735849056603,0.9206028798068501,0.9292035398230089,0.9379601154514456,0.9462173913043478,0.9471004184100419,0.9399428571428572,0.9441340782122905,0.9392716417910448,0.9402165991458231,0.953048969072165,0.9330629226411755,0.9322635099792798,0.9397166666666666,0.9387503847337643,0.9275784615384616,0.9532293478260869,0.9544209474372989,0.9534564066193854,0.9489323529411765,0.952,0.95690636442894506,0.9482120051085569,0.9404563650920736,0.9320668498168498,0.9347978499649451,0.9340974212034384,0.9537101651546871,0.9444883838383838,0.9492959974687549,0.9578392646026254,0.9509677968757451,0.9680021511158914,0.9470409051348999,0.953749678974942,0.963181236673774,0.9446400993562065,0.9458508508508509,0.9591918465227818,0.9322176116966862,0.954007601015298,0.9509276869031239,0.9628140703517588,0.9622012578616352,0.9676487804878049,0.9520089179345791,0.9606986899563319,0.9496502511619173,0.9453502369451598,0.9550551375863134,0.9501450731087095,0.9400164707821357,0.9502803921568628,0.9609838274932615,0.9603202134756504,0.9583022071307301,0.9512601745611454,0.9504112,0.9490666666666666,0.9597273360503891,0.9386666666666666,0.9491525423728814,0.9683989641225357,0.957999333111037
