SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
1,3101,Los Angeles County,County,CA,0.9665697674418605,0.9581098942142214,0.9659759940599038,0.9700558533988382,0.9733713458718715,0.9704391681022645,0.9692307692307692,0.9649122807017544,0.9604743083003953,0.9557109557109557,0.9526010301019177,0.9462016761286834,0.9457096848401196,0.9399075500770416,0.94579945799458,0.9515570934256056,0.9545864048791998,0.9529411764705882,0.9513093289689034,0.9505591353149033,0.943952802359882,0.9457984721716988,0.9451544848237377,0.9467270130400104,0.9443181818181818,0.9499679075738126,0.9499136442141624,0.9565217391304348,0.967741935483871,0.9730699011339587,0.9775019394879751,0.9781449942462601,0.9803921568627451,0.9832635983263598,0.9855072463768116,0.9847437409172226,0.9911242603550295,1,1,1,1.0004446420631392,1.00159319001353,1.0003034901365706,1,1,0.9976309555146091,0.9881422924901185,0.9850024625061563,0.9805419585147523,0.9833024118738405,0.9877750611246944,0.9896885736594125,0.9904761904761905,0.98989898989899,0.9891086908201823,0.9844559585492227,0.9799554565701559,0.9783458156952133,0.9758337535367926,0.9741203838325094,0.9713269615470105,0.977942302261569,0.9833134684147795,0.9894736842105263,0.991810737033667,0.9952885747938751,0.990990990990991,0.9912187637933877,0.9894736842105263,0.9853603603603603,0.984,0.9836065573770492,0.9811587376354216,0.9845758354755784,0.9904761904761905,0.994188358577578,1,1,1,0.9979899314758549,0.9915383200687713,0.9885648942252716,0.9871244635193133,0.9841767897971874,0.9825272220815396,0.9864878195781346,0.9931662870159453,1,1,1,1,1,0.9989698558322412,0.9970854174682571,0.9949195560526543,0.9914712153518124,0.9927140255009107,1,1,1,1,1,1,0.9987294101486933,0.9892747701736466,0.9854227405247813,0.9799666110183639,0.9744739565367369,0.9727024341778441,0.9767725814237442,0.9826086956521739,0.9855645193299992,0.9907656777402736
2,139,Cook County,County,IL,0.8880214686508905,0.8769864626250736,0.8803521408563425,0.8857766460531102,0.8974530856059675,0.907900701754386,0.9071877180739707,0.9083910700538876,0.9037037037037037,0.8959595515067944,0.8931552587646077,0.8785404093623272,0.8674733762969058,0.8918205804749341,0.8802151641415705,0.8801760352070415,0.9000030000200001,0.9027397260273973,0.9029126213592233,0.9020848756735653,0.889090909090909,0.8874328454983327,0.8808568811256707,0.8786610878661087,0.88,0.8716187204808931,0.8769861286254729,0.889967637540453,0.907258064516129,0.9209418046567523,0.9230769230769231,0.9215976602937638,0.9256494475962974,0.9233219010289074,0.9183027232425586,0.9176203732343541,0.9103448275862069,0.9174311926605505,0.9217877094972067,0.933955970647098,0.9485385017594369,0.954119893438073,0.9583333333333334,0.9571428571428572,0.9578544061302682,0.9545454545454546,0.9480836977898521,0.945054945054945,0.9439551641313051,0.9421723476163788,0.9385113268608414,0.950787999878909,0.9599935463052598,0.9610983981693364,0.9588384402211745,0.9587020648967551,0.9514087382605145,0.9441980783444198,0.9382239382239382,0.9333333333333333,0.9281600042469608,0.9271692732498924,0.9342941845380089,0.9482386504589432,0.9587328053355565,0.9615384615384616,0.9582863585118376,0.9542782899092515,0.9488510007412898,0.944684402309854,0.9414225941422594,0.9360722395963332,0.9289031797070382,0.9320943531093638,0.9449293392131457,0.9565217391304348,0.9621952128454361,0.9634623749456286,0.9631160558870739,0.9600009600019199,0.9545804464973057,0.9499874937468734,0.9447750864641324,0.9386733416770964,0.9375,0.9411764705882353,0.9514601418219626,0.9612817089452603,0.9679786381842457,0.9674457202221567,0.96698113207547165,0.9612817089452603,0.955697140317084,0.9523809523809523,0.9481284536471895,0.9433962264150944,0.9389913676458701,0.9403635138265833,0.9569499121797589,0.9673115410273516,0.9684447605500237,0.9683433735619602,0.9649749821300929,0.96,0.9552538964303671,0.9508721225027887,0.9442806590802668,0.9377148934034926,0.9311677015785444,0.938724425940589,0.95,0.9652509652509652,0.9676523037234238
3,1090,Harris County,County,TX,0.9463357142857143,0.9345494994438265,0.9550837004405286,0.9570726129216696,0.9667083333333333,0.9632114285714286,0.9460400210637178,0.9451017005668556,0.9436279518421816,0.9303220191470845,0.9196087340557295,0.9156930056801771,0.9156355759429153,0.916958925750395,0.9146483870967742,0.9251727553675992,0.9223227194318193,0.922,0.9160025781910397,0.9216160881801125,0.9188343838400579,0.9308839834694084,0.9223510925646281,0.9273592329872802,0.9213463751438435,0.9323625140291807,0.9238201581027667,0.9330737548047379,0.9454726317175974,0.9496702847717275,0.9540273128089468,0.9541116279069768,0.9533614457831325,0.9391954022988506,0.9449633586749933,0.9419890842935112,0.9474440257862851,0.9371139386770995,0.9560088938299055,0.9530076072165401,0.960067415730337,0.9606816760475297,0.9630890868596882,0.9557915495338005,0.962278675904542,0.9577071129707113,0.9442158516020236,0.9520419254658385,0.9485714285714286,0.9510869565217391,0.9541949827994674,0.9676145339652449,0.972131560089855,0.9762623514696686,0.9722222222222222,0.9890564689063617,0.96875,0.9607489401228981,0.9529254898466131,0.9625960099846538,0.9807103640523209,0.9709772727272727,0.9690503144654088,0.9722991689750693,0.9808761485423194,0.9764417457305503,0.9732441471571907,0.9721115368241805,0.964,0.9570726129216696,0.9564260651629073,0.9532919130434783,0.9560583346325071,0.9554081710286062,0.9599615088529638,0.9712198684117936,0.970873786407767,0.9722844036697248,0.9741969457609269,0.972396517595308,0.9608695652173913,0.946811320754717,0.954305972925829,0.9503856749311295,0.9464788732394366,0.9501484839012191,0.9594285714285714,0.9603709340135185,0.9677607057104083,0.9655172413793104,0.9698996655518395,0.9614906832298137,0.9550936629389837,0.95992700729927,0.9583333333333334,0.9549517241379311,0.9598031173092699,0.954911838790932,0.96,0.9686600297850297,0.972972972972973,0.9692307692307692,0.96765938804215,0.9622641509433962,0.9628681915285332,0.9551143068783776,0.9518242670316408,0.9465972370024798,0.951919974185221,0.9577232580961728,0.956336,0.9695713030536678,0.9717288071006567
4,2402,Maricopa County,County,AZ,0.9310344827586207,0.9258984707465063,0.9252151357414515,0.9289617486338798,0.9314221472737493,0.9298319763906808,0.9299087034986881,0.9259259259259259,0.9213483146067416,0.9163697722480189,0.9185185185185185,0.9059059059059059,0.9062253743104807,0.9031633311814073,0.9031407851000426,0.9166411907078649,0.9255799409514668,0.9352051835853131,0.9498525073746312,0.95,0.9520699482797931,0.9550561797752809,0.9538461538461539,0.9555555555555556,0.9547738693467337,0.9574875526618154,0.9640718562874252,0.9692070823710547,0.9781357882623706,0.9864250614250614,0.9859154929577465,0.9864969654753872,0.9839245771002059,0.98,0.9771986970684039,0.9701940388077616,0.9683227780755939,0.966375,0.9705882352941176,0.9714122355631789,0.9733333333333334,0.976,0.9762202753441802,0.9772649764028184,0.9726174216089036,0.9681818181818181,0.9608540925266904,0.9571428571428572,0.954847954767438,0.9568194389099365,0.9574969891609795,0.955159617674222,0.9558232931726908,0.9583333333333334,0.9565217391304348,0.9554039081984674,0.9578270192994996,0.9554873471203562,0.9561815336463224,0.9568627450980393,0.9553855777979983,0.9603841536614646,0.9645149112872782,0.969187675070028,0.9699624530663329,0.9703703703703703,0.9723546234509056,0.9719332348534556,0.9703703703703703,0.96887999888875,0.9684042037867779,0.967741935483871,0.9658536585365853,0.9674556213017751,0.9701447970657313,0.9719839908519153,0.9719768439108061,0.9721048182586645,0.9725536992840096,0.9723889555822329,0.9719839908519153,0.9706985173918605,0.970873786407767,0.9696969696969697,0.96875,0.9711595055915244,0.9741969457609269,0.9756521739130435,0.975609756097561,0.9769859795405709,0.9767804143014651,0.9763589758410398,0.975,0.9753443935607925,0.9738986393595259,0.9723957764924152,0.972972972972973,0.9754064193413923,0.9788679245283018,0.9803921568627451,0.9814197236779418,0.9814197236779418,0.9814508348794063,0.9798826346497589,0.9772503926392402,0.9785688769434899,0.975162527087848,0.9736578859619873,0.9727272727272728,0.973421052631579,0.9752438109527382,0.9773584905660377,0.9798754146416725
5,2841,San Diego County,County,CA,0.9646430953969313,0.9627406851712929,0.9689922480620154,0.9655172413793104,0.9698996655518395,0.9632889733840304,0.9653881182569708,0.9615384615384616,0.9523809523809523,0.9451637153357835,0.9428959627329192,0.9418989598833323,0.9392265193370166,0.9357277882797732,0.9424083769633508,0.9375,0.9474900656881031,0.939144637562803,0.9411764705882353,0.9420489755122439,0.9438346917192608,0.9386733416770964,0.9362831858407079,0.9302866477172846,0.9367465716611127,0.9411764705882353,0.9481008988112496,0.9574420406189555,0.9621522293152847,0.9685904550499445,0.9697672783519651,0.9716239870674122,0.9732888146911519,0.9741969457609269,0.974025974025974,0.9796078305930522,0.9818181818181818,0.9822156783824144,0.9880758807588076,0.9973614775725593,0.9967845659163987,1,1,0.9882171597353491,0.9802816901408451,0.9738955823293173,0.96819697358297,0.9658311295082596,0.96,0.969028850324033,0.9722814498933902,0.9721120853983988,0.9732846715328467,0.9735849056603774,0.970873786407767,0.9666666666666667,0.9599301811458685,0.9594819195356438,0.9582370973282948,0.9557522123893806,0.9561319495922906,0.9639985935525982,0.9711684370257967,0.9767441860465116,0.9771094793468292,0.9814814814814815,0.979381443298969,0.9763313609467456,0.977022392301054,0.9713701431492843,0.9727727923006892,0.9710149346088615,0.9733333333333334,0.9739531145624583,0.9807045494777836,0.985981308411215,0.9849780923984697,0.9874857220272919,0.9855851644070438,0.9817650494293985,0.9784064395911449,0.9769713886950454,0.9767004000941398,0.9734268315187304,0.9745454545454545,0.9818181818181818,0.9885057471264368,0.9909008113926148,0.9914863158912036,0.9911504424778761,0.987460815047022,0.984251968503937,0.982807881773399,0.978198328913794,0.9782608695652174,0.9770013223476757,0.9789395280070787,0.9878131291461765,0.9885931558935361,0.9906759906759907,0.987501234378086,0.9883031022207154,0.9848484848484849,0.9780907668231612,0.9723302589176576,0.9648988884424803,0.9632493298135756,0.9571496939263852,0.9603024574669187,0.9656652360515021,0.974492492607092,0.9785912261005293,0.9815546772068511
6,1286,Orange County,County,CA,0.9547681576785954,0.9456264775413712,0.9619047619047619,0.967130861802419,0.9640078406536321,0.9647313621254763,0.9633112501742065,0.9578608780708024,0.9523809523809523,0.9515859766277128,0.9445494060408486,0.9393939393939394,0.9429918559794256,0.9335200414914395,0.9407001667063587,0.9446806153273788,0.9428571428571428,0.9438488878697546,0.944251800480128,0.9380913760475804,0.9352705759526709,0.9373394966615306,0.9374608886107634,0.9379931095799066,0.9324009324009324,0.93840225285312,0.9488179958114029,0.9596551868610692,0.961686413294353,0.9721172493727734,0.9723450085599619,0.9753651162146639,0.9745409726621588,0.9777777777777777,0.9789631737000158,0.984375,0.9880952380952381,0.9877131648209763,0.9950617283950617,1,1,1,1,0.9906071531498679,0.9836065573770492,0.9728183118741058,0.9701940388077616,0.9666688148195884,0.9645153608001905,0.9728978457261988,0.9759398496240601,0.9794454407504484,0.9777424483306836,0.9761904761904762,0.9734197162261908,0.9690140845070423,0.967741935483871,0.9615384615384616,0.9616124374164072,0.9609756097560975,0.9624410798122065,0.971049951672179,0.9768934150682222,0.9813840102105786,0.9836065573770492,0.9836841338823801,0.9836546571140858,0.9799554565701559,0.9776536312849162,0.9719438877755511,0.968054211035818,0.969939879759519,0.9709743385503828,0.9752728405698312,0.9829495900924472,0.9846827133479212,0.9859154929577465,0.9843478260869565,0.9854014598540146,0.9785083512327631,0.9777777777777777,0.9742629623367465,0.9734513274336283,0.9739476165980796,0.9746835443037974,0.9790732436472347,0.9872611464968153,0.9910183699894464,0.9906705617699236,0.9906153846153846,0.9887359198998749,0.9845559845559846,0.9822242479489517,0.9799442834690244,0.981029810298103,0.9792146697388633,0.9799713876967096,0.9861325115562404,0.9918319719953326,0.9928366762177651,0.9929906542056075,0.9889987776419602,0.9855351035970197,0.9811455759708367,0.9738043252235392,0.9713876967095851,0.9656282331302448,0.962731289848407,0.9612817089452603,0.968421052631579,0.974025974025974,0.9765854806447818,0.9814814814814815
7,581,Kings County,County,NY,,,,,,,,,,0.9020044543429844,0.9196744186046512,0.9066901408450704,0.9167958656330749,0.9282218246869409,0.9221589865981275,0.9263411393456237,0.9369580924855492,0.9218717337681341,0.9393305439330544,0.943902644961795,0.9248103525211959,0.9143155694879832,0.9174311926605505,0.9333333333333333,0.905587668593449,0.9107142857142857,0.9123173277661796,0.9196652157106604,0.8934953538241601,0.9481481481481482,0.954658862224915,0.9326424870466321,0.9555555555555556,0.9437751004016064,0.9198542805100182,0.9084967320261438,0.9368464598041399,0.9411025707032301,0.9299498207885305,0.9663865546218487,0.9729383409097843,0.9747368421052631,0.9728183118741058,0.9811385459533608,1,0.9748332322619769,0.9688195991091314,0.9551280898876404,0.9862203236050204,0.9616101694915254,0.9647711607389027,0.972225887320227,0.980465027634839,0.9876660341555977,0.9823182711198428,0.9873355967523323,0.9928455365433082,0.9840006919617115,0.9690514377798216,0.9690526204829446,0.9811320754716981,0.9711617340821607,0.9680851063829787,0.9702982202982203,0.9824561403508771,0.9927868557628077,1,0.9811320754716981,1,0.9836065573770492,0.9797351243722727,0.971976401179941,0.9748953974895398,0.9714424491778454,0.9763636363636363,0.9661201065792171,0.9709762532981531,0.9841006786231071,0.9793103448275862,0.9839357429718876,0.9794602382542081,0.9817351598173516,0.9676790421792618,0.9733774990894504,0.9731383218591227,0.9707736389684813,0.9670781893004116,0.9692307692307692,0.9790209790209791,0.974102116021626,0.9833333333333333,0.9876606901217861,0.984251968503937,0.9724045400152301,0.9621621621621622,0.9778478794251665,0.9683587941057186,0.963708254568368,0.9736842105263158,0.9811428571428571,0.98,0.9782922868741543,0.9789917728665913,0.9794402393944728,0.9747095192410191,0.9696202531645569,0.97,0.9589595375722544,0.9606205923830613,0.9546218487394958,0.9476047904191617,0.9537750385208013,0.9558092967818832
8,2964,Miami-Dade County,County,FL,0.8686141960405601,0.8669557482766288,0.8635794743429287,0.8635097493036211,0.8714285714285714,0.888641425389755,0.9157800459239489,0.9170975511869441,0.9123710664107713,0.91351310530997,0.9142857142857143,0.9047237790232185,0.9156237288135594,0.9143322475570033,0.9037116834024284,0.9134406263592867,0.907478742224505,0.9096077316657192,0.9098839284764872,0.9191673425250068,0.9281437125748503,0.9234828496042217,0.9230769230769231,0.9281183851348116,0.9316770186335404,0.9287087912087912,0.9302325581395349,0.9354838709677419,0.9393939393939394,0.9391588403429971,0.9433962264150944,0.9452527363913004,0.9486894920683768,0.9545454545454546,0.9523809523809523,0.9461341525857655,0.9523809523809523,0.948270512261993,0.9426665642443797,0.9540533397728679,0.9493670886075949,0.9509618941916389,0.9553571428571429,0.9570990359333917,0.9546925566343042,0.954653937947494,0.9534883720930233,0.94994994994995,0.9437751004016064,0.9445027506825259,0.9418837675350702,0.93571495408211,0.9433962264150944,0.9468302449844312,0.9435742592942065,0.9435731132075471,0.947075208913649,0.9433962264150944,0.9418837675350702,0.9399332591768632,0.9366025420817589,0.9375,0.9382267115600449,0.9375,0.9489303420132579,0.9491592106098102,0.9464584328714764,0.9439899307740718,0.9444444444444444,0.9428571428571428,0.9459459459459459,0.9429714857428715,0.9411764705882353,0.9384954667973536,0.9399332591768632,0.9411764705882353,0.94,0.9444454938294924,0.9434636600267037,0.9404761904761905,0.9411764705882353,0.9393939393939394,0.940432201694124,0.9440735935841491,0.9318181818181818,0.935251798561151,0.9375,0.938,0.9367088607594937,0.9384701375831153,0.9337779895188185,0.9388646288209607,0.9366754617414248,0.9393939393939394,0.9336445481827276,0.9363949655379082,0.9317883301053007,0.9333333333333333,0.9384615384615385,0.9411764705882353,0.9355932203389831,0.9401512608585645,0.94,0.9435897435897436,0.940510907523567,0.9386733416770964,0.9396984924623115,0.9350763271815903,0.9350254007788255,0.9296167043021789,0.9347826086956522,0.9380076539299308,0.9340033542767028
9,978,Dallas County,County,TX,0.9734503680699333,0.9552115942028986,0.9724757908327953,0.9792526129583146,0.9882417134715901,0.978096464226561,0.974953753482714,0.9582045868347339,0.9759181818181818,0.9545922944297525,0.9536685714285714,0.9413972602739726,0.9492816787732042,0.9558187919463087,0.940928,0.9487907949790795,0.9622626264533067,0.9577946428571429,0.964167577413479,0.9572280584467574,0.9527109783420463,0.9467969245286653,0.9428085390260174,0.9385695792880259,0.954103156274057,0.9772080088987765,0.9701544145078663,0.9694327152044215,0.9791996277338297,0.9751150013498023,0.9838117776968698,0.97742,0.9890971336063756,0.9781752577319588,0.9645968253968253,0.9795272549019608,0.9740085106382979,0.9809608999563129,0.9802823529411765,0.9831118644067797,0.9834089392928619,0.9894811396574938,0.9811609266245152,0.9800296430335895,0.9826702269692924,0.9776782608695652,0.9705474030696929,0.9734257526698016,0.9725304833924653,0.964055476528907,0.9692529618655481,0.9759725085910653,0.9746762589928057,0.97970892857142855,0.9839946631087392,0.9774974626999018,0.9740293529019346,0.9644535659312468,0.9636571428571429,0.9680666464342432,0.9701450980392157,0.9727624309392265,0.9739265850945495,0.9832225577401722,0.9881057097541633,0.9841168929110106,0.9823072395526781,0.989304897314376,0.9836065573770492,0.9679135028754623,0.9711501734490411,0.9683251599617737,0.9654934437543133,0.9777171441564347,0.9749001376962543,0.9848770726129217,0.9857261146496815,0.9851781758614295,0.9857929834734706,0.9895979591836734,0.9818451278251205,0.9879075447154471,0.9712821394197717,0.973093869036822,0.9803632472433829,0.9664753850800363,0.9814472671285605,0.9844502014968336,0.9884203519308783,0.992407751498987,0.9915966386554622,0.9801081081081081,0.9868184238337547,0.9801225,0.976069439787199,0.9734650804537386,0.9709965528120952,0.9736906164277785,0.9762180814354727,0.9862927553245011,0.9846632585018893,0.9817073170731707,0.9766100246927649,0.9774436090225563,0.9737496158770806,0.9752015437392796,0.9746031746031746,0.9701940388077616,0.9775985663082437,0.9766798656286385,0.9777777777777777,0.9813172296659747,0.9851980676328502
10,1347,Queens County,County,NY,0.9060233780279816,0.8687258687258688,0.9283518349390927,0.9118236472945892,0.8997050147492626,0.9370343839541547,0.9526411657559198,0.9417040358744395,0.8560006593406593,0.9381663113006397,0.9358667144663106,0.9399075500770416,0.9269282814614344,0.9065315315315315,0.9195491902344695,0.9166293684936628,0.9247211895910781,0.9159891598915989,0.9205880141364012,0.9286618826509075,0.9273182957393483,0.9267696863394723,0.9289176090468497,0.9244992295839753,0.9262689885142645,0.9106497069460032,0.9236947791164659,0.9103522545681929,0.9241645244215938,0.9192960330199496,0.9375,0.9357798165137615,0.9123684639777231,0.9344037932150191,0.9256363636363636,0.9330357142857143,0.9133394222628151,0.9399135175784923,0.9216557792892899,0.9333434857225187,0.9349683273412087,0.9470243058929564,0.9499136442141624,0.9511568123393316,0.9465478841870824,0.9467561322619448,0.949748743718593,0.9440559440559441,0.9381570810142239,0.9563318777292577,0.9482683982683983,0.9468453638641836,0.9491525423728814,0.9565217391304348,0.9583917718560074,0.9526633066508547,0.9534197199434088,0.9576427255985267,0.9566787003610109,0.9628229242639438,0.9542387865252187,0.9574468085106383,0.9574468085106383,0.955412064104133,0.9641255605381166,0.9650816229763598,0.961540927028018,0.9782608695652174,0.9732809283011219,0.9663865546218487,0.9642891581755649,0.967741935483871,0.9628053117302154,0.9619238476953907,0.9682804674457429,0.9718008119060197,0.9665871121718377,0.9655126849894292,0.9730636676945402,0.977630755271633,0.9653975095785441,0.9747102212855637,0.9699787545988181,0.9715994020926756,0.9735349716446124,0.9726027397260274,0.9671254883347329,0.9686120372467203,0.9712219872299006,0.9717062811402434,0.9727272727272728,0.9674293762060231,0.9661286656058196,0.9724747474747475,0.9699963851066393,0.9640564234394569,0.9689288587518676,0.9622659665395595,0.9615384615384616,0.9611451942740287,0.9693663461517995,0.9701492537313433,0.9698438253962363,0.968,0.9697059303368953,0.9564268084298462,0.9603587678811091,0.9572901325478645,0.9546900054343815,0.9523809523809523,0.9461073013311819,0.956221198156682,0.9504232834086697
