SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
0,102001,United States,Country,0.92,0.9191673425250068,0.926829268292683,0.9322419281491587,0.9371069182389937,0.9380863039399625,0.9340252038547072,0.9327846364883402,0.9257714762301918,0.9217391304347826,0.9178571428571428,0.9140401146131805,0.911000278460143,0.9097222222222222,0.9130434782608695,0.9188193548387097,0.9254627313656828,0.9307692307692308,0.9314586994727593,0.9289617486338798,0.925,0.9229898074745186,0.922026989677883,0.9209209209209209,0.9194854692710814,0.9212546611098925,0.9292035398230089,0.9376465072667605,0.9463148316651502,0.9505941213258287,0.9518518518518518,0.9501593081474738,0.9485573105091326,0.9478620326487625,0.9471766848816029,0.9457984721716988,0.9447068630175048,0.9466761904761904,0.952724667882261,0.9583333333333334,0.9631413224671236,0.9662288930581614,0.9662921348314607,0.9641693811074918,0.9607686148919136,0.9568345323741008,0.9526077637532746,0.9493670886075949,0.946078431372549,0.9482352941176471,0.9537054698249441,0.9586206896551724,0.9633802816901409,0.9664292980671414,0.9647058823529412,0.9615384615384616,0.9574468085106383,0.9535382416011436,0.9513513513513514,0.9486607142857143,0.947155593981313,0.9501900380076015,0.9584295612009238,0.9644246803779878,0.9694323144104804,0.9713024282560706,0.9698492462311558,0.966796875,0.963524039489364,0.96,0.9578828005509556,0.9564593301435407,0.9545454545454546,0.9565217391304348,0.9642857142857143,0.9699769053117783,0.9743135518157662,0.9761904761904762,0.9755899104963385,0.9729583558680368,0.9696877841770234,0.9673115410273516,0.9651387992253067,0.9625027070389576,0.9606060606060606,0.9629629629629629,0.9696969696969697,0.9751372203751115,0.978865406006674,0.9810126582278481,0.9799196787148594,0.976545842217484,0.9737991266375546,0.970873786407767,0.9687652513421181,0.9666666666666667,0.9649122807017544,0.9688581314878892,0.9753086419753086,0.9798994974874372,0.9828424446032881,0.9839357429718876,0.9816091954022989,0.9771736342651962,0.972972972972973,0.9688888888888889,0.9652509652509652,0.9615384615384616,0.9591194968553459,0.9633333333333334
1,394913,"New York, NY",Msa,0.8999540863177227,0.8985714285714286,0.8982647158897584,0.9090909090909091,0.9118541033434651,0.9222232469147188,0.923147939919751,0.92,0.9127281820455114,0.9104704097116844,0.9111111111111111,0.9053104920116377,0.9,0.9001442539238409,0.8974358974358975,0.9039242219215156,0.9064587973273942,0.9131403118040089,0.9212121212121213,0.92,0.9092562284051646,0.9023146331894861,0.8953177923889222,0.8907138344914719,0.8836401530014177,0.8897601145721447,0.89171974522293,0.9001800360072014,0.9090909090909091,0.9183673469387755,0.9279670636454556,0.9262724904764139,0.9220985691573926,0.919732441471572,0.9171597633136095,0.9188034188034188,0.9145599388770087,0.9197994987468672,0.9149033501391836,0.9257884972170687,0.9383033419023136,0.9460834181078331,0.9500031666772223,0.9538461538461539,0.9508272757687277,0.9457964323475316,0.9417040358744395,0.9389121338912134,0.9375,0.9357353800836616,0.9367816091954023,0.9361547725658524,0.9499874968742186,0.9565943238731218,0.9580532370854951,0.9566048611488343,0.94972067039106145,0.9433962264150944,0.939688591487294,0.9389671361502347,0.9369113541470822,0.9370988446726572,0.936813857038302,0.9453221365903259,0.9497988723930146,0.9549522054720578,0.9610027855153204,0.9594882729211087,0.9546796116504854,0.9496925499606315,0.944468056153136,0.9435146443514645,0.9412780656303973,0.9411764705882353,0.9447078639187707,0.9471585244267199,0.9557679484329851,0.9603340292275574,0.9647058823529412,0.9633235591794749,0.9596662030598053,0.9572722843190054,0.9536082474226805,0.9517241379310345,0.9501470588235295,0.950950950950951,0.9523809523809523,0.9589334648448795,0.9651724964610255,0.9685852657014691,0.9717062017719348,0.9714285714285714,0.9674982873639626,0.965243069537548,0.9622770919067215,0.9620253164556962,0.9586528842947649,0.9555555555555556,0.9598853868194842,0.9637531822039035,0.969790593889461,0.9730848861283644,0.9749567705269068,0.9715994020926756,0.9671848013816926,0.9638888888888889,0.9599198396793587,0.9569874545995618,0.9519038076152304,0.9505941213258287
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.9619084263178146,0.9550949913644214,0.9660562141839241,0.9701086404711139,0.9690721649484536,0.9686334741168345,0.9690225385355404,0.9647058823529412,0.958472665175393,0.955456570155902,0.950920245398773,0.9456565217391304,0.94639664566661,0.9402350587646912,0.945647973937769,0.9500791732644387,0.9513739866475918,0.9512195121951219,0.9509803921568627,0.9488413789587281,0.9421901056142301,0.9451925317865189,0.944001888003776,0.9454545454545454,0.9443181818181818,0.948509485094851,0.9511568123393316,0.9594882729211087,0.9656652360515021,0.9742174652586943,0.9763307041615512,0.9784283513097073,0.979498861047836,0.9824561403508771,0.9836612204068023,0.985654507725815,0.9906371406371406,0.998997995991984,1,1,1.0001250156269534,1.0002233854511637,1,1,0.9980746051923957,0.9876543209876543,0.9816632709761067,0.9797153081447767,0.9761986892031735,0.979381443298969,0.9836065573770492,0.9854935351624093,0.9859154929577465,0.9845559845559846,0.9836065573770492,0.9791666666666666,0.9758134157891805,0.9733878943310201,0.9717424735316733,0.9705882352941176,0.9696969696969697,0.9762202753441802,0.9814814814814815,0.9868421052631579,0.9894736842105263,0.9896996309871217,0.9887359198998749,0.9874213836477987,0.9852476290832455,0.9806453788288595,0.9782608695652174,0.9796238244514106,0.9781956391278256,0.9818181818181818,0.988073937321678,0.990390272602471,0.9933110367892977,0.9925788497217068,0.9929078014184397,0.9892729439809297,0.9864864864864865,0.9838901502865175,0.9828274853555587,0.980131567211169,0.9801400200028576,0.9836065573770492,0.9910898202281377,1,1,1,1,0.9946270703280049,0.9908433394671927,0.9904761904761905,0.9895833333333334,0.9876543209876543,0.9881154499151104,0.9937363262336902,1,1,1,1,0.9942362558718143,0.9909576181107946,0.9837837837837838,0.9805825242718447,0.974984106087809,0.9711779448621554,0.9691160809371672,0.973630831643002
3,394463,"Chicago, IL",Msa,0.8803521408563425,0.8754377188594297,0.8791208791208791,0.8870967741935484,0.8936170212765957,0.9078769077164457,0.9046778464254193,0.9021462349945435,0.9003922166295983,0.8922837824524861,0.8834805800966827,0.8796296296296297,0.8703348765875367,0.8805500797897305,0.8792657210138113,0.88,0.8924663957486715,0.8994571715384064,0.8937465098775523,0.8994561201265112,0.886030725259021,0.8859600656813927,0.8756879643292488,0.8828722778104767,0.8793103448275862,0.8787244833269938,0.8772453500788372,0.8933954508084406,0.9079607371949656,0.9187952898550724,0.9209763492113268,0.9212730318257957,0.9221631759924976,0.9174311926605505,0.9171597633136095,0.9202453987730062,0.9130434782608695,0.9171634778889692,0.923558708859353,0.9317019631320312,0.9435310936383131,0.9515151515151515,0.9546165884194053,0.9524350772361684,0.9523351472177943,0.9495371752762019,0.9415484515484516,0.9387503847337643,0.9371142857142857,0.9395973154362416,0.9375,0.9481000481000481,0.9553158705701078,0.95875,0.9566184649610678,0.9551521559661879,0.9484994442386069,0.9411764705882353,0.9364813930031322,0.9311087190527448,0.9257714762301918,0.9285714285714286,0.9315286624203821,0.9465855307640297,0.9558823529411765,0.9595238095238096,0.9564449676280165,0.9531713541096823,0.9483793517406963,0.9437523593808984,0.9400921658986175,0.9349671699872057,0.9295539808253439,0.9310713911768812,0.9437327924749037,0.9554551323434474,0.9612345939113031,0.9636253376702133,0.9624457444800906,0.9604401692084169,0.9555555555555556,0.9515859766277128,0.9485714285714286,0.944,0.9404545532954565,0.9444444444444444,0.9532888465204957,0.9626274065685164,0.9687337151371963,0.9700136239782016,0.96875,0.9640102827763496,0.9604802401200601,0.9565054307055025,0.9518518518518518,0.9498138691687079,0.9441909441909442,0.9447236180904522,0.9576470588235294,0.9686221009549796,0.97116872522684,0.971830985915493,0.9693877551020408,0.9649749821300929,0.96,0.9556244205946454,0.95,0.9422750424448217,0.9384184443007972,0.944
4,394514,"Dallas-Fort Worth, TX",Msa,0.9745144927536232,0.9746718543012873,0.98748749949998,0.9865771812080537,0.9904490177736202,0.9839700598802396,0.9738933333333334,0.9659336196973525,0.9770957773275217,0.9601824408789226,0.9571283100016866,0.941923076923077,0.9446256520836177,0.9491697711548696,0.9556665783370395,0.9610191082802548,0.9635345772717689,0.9641930173081515,0.9585104285537853,0.9601958044745628,0.9572145214521453,0.9544516658437998,0.9515237688989999,0.9576770761727411,0.9673814890581317,0.9760475651189128,0.9690207754889552,0.9796665842535659,0.980281500074221,0.9820477290223248,0.9813068493150685,0.9820422301521325,0.9810982559156419,0.9718327272727273,0.9736555525977195,0.9809764705882353,0.9778621794871795,0.9808492875592943,0.9847341176470589,0.9894916666666667,0.988550298572191,0.9868559421554459,0.985382932166302,0.983682421111697,0.9811924343826859,0.97715,0.9741097612065355,0.9729086932750136,0.9677142857142857,0.9697165025439902,0.9728601972580351,0.9819471947194719,0.9852941176470589,0.9827303232665537,0.9840505276705277,0.9777264562483962,0.9781672843645155,0.966183574879227,0.967445205479452,0.9757943658075796,0.972672219828618,0.9754097222222222,0.9856962162162162,0.9846153846153847,0.9916787878787878,1.0003390979993219,0.9890357009230436,0.9884192307692308,0.9846900212314225,0.9759036144578314,0.9779199578725645,0.9729041643935261,0.9740818783068783,0.9784266425721981,0.9884032258064516,0.9898916914812869,0.9949238578680203,0.9931105527638191,0.9916311606257666,0.9901456614806307,0.9838709677419355,0.9815668224116476,0.9714285714285714,0.9717052631578947,0.9797508648648648,0.9788571238377335,0.9836612204068023,0.9900634050414834,0.9883305548940224,0.9915014164305949,0.9893359128414644,0.980980980980981,0.979720471362017,0.9737585238214093,0.9736842105263158,0.9719097744360903,0.9725225225225225,0.9766899766899767,0.9814903119242742,0.989417693169093,0.9904761904761905,0.9868558753383336,0.9824865999109271,0.977490377213241,0.9745362831858407,0.9721166622444998,0.9706257982120051,0.9682732509201464,0.96779142228739,0.9771688592655648
5,394974,"Philadelphia, PA",Msa,0.9186217155717931,0.9142857142857143,0.92,0.9306654257794323,0.9366754617414248,0.9412711182622687,0.9341723136495643,0.9244896459054303,0.9230769230769231,0.9176470588235294,0.9145470134324093,0.9099417393334945,0.9036777627534096,0.8974715198666297,0.8980629710141865,0.9005669428696031,0.9174311926605505,0.9237634685597531,0.925277991575816,0.9150167909692908,0.9079002079002079,0.9051907260980852,0.899581589958159,0.9005371669580668,0.8932111608487625,0.895,0.9,0.9068750695070162,0.92,0.9296305012944223,0.9336086295671269,0.9292929292929293,0.9230769230769231,0.9197022934518901,0.9205975409017731,0.9233827112992177,0.9174311926605505,0.9195919975104703,0.9214285714285714,0.9315068493150684,0.9411764705882353,0.9499683343888538,0.9545454545454546,0.946443058023642,0.9422192188437688,0.9381299426267639,0.9304347826086956,0.9306654257794323,0.9285714285714286,0.9245109060923817,0.93,0.9361702127659575,0.9454595281397145,0.9552969993876301,0.9523809523809523,0.9483282674772037,0.9425065137803259,0.9397209792050539,0.9334222391566648,0.9282475326753801,0.9245225826007881,0.9236970355858765,0.9289031797070382,0.9443593670239918,0.9546901045612972,0.955456570155902,0.9587020648967551,0.9516733512446923,0.9433962264150944,0.9433962264150944,0.9411741176470588,0.9378907878282617,0.9308141150319533,0.9333333333333333,0.9364262683434764,0.9503167722574192,0.961176823847345,0.9655172413793104,0.9646302250803859,0.9619238476953907,0.9577867490863695,0.9551379310344827,0.9514515735545255,0.95,0.9461954569881265,0.9417541859398524,0.95182530421736955,0.9611111111111111,0.9677367308913385,0.9719839908519153,0.9705882352941176,0.9662369424639363,0.9632792318682737,0.9615384615384616,0.957533185095344,0.9554384095452176,0.9534883720930233,0.9504752376188094,0.9579100145137881,0.9649749821300929,0.972972972972973,0.9777171441564347,0.975,0.9733373889118705,0.9687215305192833,0.963020030816641,0.9592617176795879,0.9568370838541883,0.9499916638879626,0.9484030439462057
6,394692,"Houston, TX",Msa,0.9445822911455728,0.9374248366013072,0.9494734651404787,0.9508947368421052,0.960167977915804,0.9539650072810666,0.9443197831978319,0.9404716981132075,0.9322405103668261,0.9217449581806922,0.9117058823529411,0.9164754829123328,0.9030373626373627,0.9137465258476931,0.9184080633549316,0.924310179267075,0.9204147157190635,0.9200974894164414,0.9129090909090909,0.9194277539341917,0.9218988095238095,0.9214821763602251,0.9190536688553088,0.920440855669395,0.9154962962962963,0.9345259046052632,0.9263981042654028,0.9295826186392224,0.9385900266001479,0.9500978179082017,0.9469193549384883,0.953480741485419,0.9537742421159716,0.9372263439413863,0.9373516819571865,0.9365233984973473,0.9428304661751672,0.9419572977158344,0.9440339622641509,0.948363208782983,0.9551603296056503,0.9551478260869565,0.9552560698212889,0.949392653300161,0.9563174999999999,0.9491228070175438,0.9390713784031814,0.9355126831011076,0.9418075569358177,0.9405621621621622,0.9523956371276727,0.9644931163954944,0.9647185185185185,0.971577398469688,0.9693668335258632,0.9722444444444445,0.9643615819209039,0.955767333913548,0.9500047500237501,0.95821688989922,0.972546875,0.9692307692307692,0.9700496657703702,0.9708670885404698,0.977803738317757,0.9818807588075881,0.9722040451293341,0.9720906507148102,0.965840622371741,0.9565217391304348,0.9612650579252799,0.9540673479723434,0.9568373510268107,0.9549670323657355,0.9659759633688327,0.9727626459143969,0.9709617997337232,0.9713279905478511,0.9720379399585921,0.9685659187489376,0.9607791524085285,0.949898600978853,0.9522673031026253,0.9507130302091815,0.9501552742407289,0.9512195121951219,0.96,0.9603841536614646,0.9682,0.9641655598019853,0.9677840112201963,0.9596146721007781,0.9533393385144852,0.9559426751592357,0.9573048699132756,0.9517144856543037,0.9557894736842105,0.9555223958742376,0.9604716873071586,0.9696877813918445,0.9701911287414353,0.968501619075655,0.9669889963321107,0.9622641509433962,0.96161089638146,0.9506424867665393,0.9474940334128878,0.9460278956943602,0.9498164667584278,0.9601036585365854
7,395209,"Washington, DC",Msa,0.95,0.9511111111111111,0.9533866591085237,0.9647950697445871,0.9653407769248662,0.9658462302300741,0.9614462406422914,0.9574201461099557,0.9552350962570673,0.9553571428571429,0.9556649422942709,0.952204520192664,0.9456066945606695,0.9447068711213451,0.9546171922223998,0.9621466561712937,0.9638322431704501,0.9665766520351933,0.9635416666666666,0.9599919967987195,0.9504149237739437,0.9475898096785278,0.949659485167901,0.948748416752339,0.9420612633549594,0.9481481481481482,0.9565217391304348,0.9695775313154644,0.9743260167424692,0.9764676426404313,0.9741969457609269,0.970886075949367,0.971383065257919,0.9707513875496299,0.9707241910631741,0.9690937663698271,0.9662714097496706,0.969857322992864,0.9794117647058823,0.9874326750448833,0.9904496602465682,0.9945848375451264,0.9914162914449447,0.987146529562982,0.9832691967213,0.9813610127956119,0.9764229578471064,0.974050024050024,0.9660303539832734,0.9714736167669078,0.9795938359098675,0.984997114274721,0.9884057971014493,0.9874686716791979,0.9821753364859949,0.977112676056338,0.9719934102141681,0.9707317073170731,0.9676991748447398,0.961063114473398,0.9597188429305218,0.9645153608001905,0.9750081251354189,0.9827232993475032,0.9863703703703703,0.9850746268656716,0.9807692307692307,0.9766022380467956,0.9722222222222222,0.9705644141984842,0.9687451156611442,0.9642857142857143,0.9629032258064516,0.9643674403399803,0.9753047827446076,0.9845789690775755,0.9883305548940224,0.986443580444877,0.9859959988568162,0.9803921568627451,0.9770114942528736,0.9776683946591398,0.9758620689655172,0.9713406424312367,0.9709090909090909,0.9739405106607002,0.9838709677419355,0.9919839679358717,0.9926144111711122,0.9922417313189057,0.9884678747940692,0.9839427493645202,0.9826589595375722,0.9821861530914823,0.9803921568627451,0.9748427672955975,0.9734513274336283,0.9786655569856677,0.9888707818099942,0.9995159819690898,1,1,0.9939851597619562,0.9877414278637779,0.9839883858479406,0.981956693169733,0.9787234042553191,0.9738573557072185,0.9748427672955975,0.98
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.8764607679465777,0.8675342974533089,0.8702586918904573,0.8669556518839613,0.8859422343098831,0.8917835671342685,0.9069352966145767,0.9123492994460737,0.9065295614140609,0.9047619047619048,0.9067417135709819,0.9037116834024284,0.9059853694020121,0.9047619047619048,0.8930699854331683,0.8947368421052632,0.8952108894737314,0.8990748528174937,0.9038089089735313,0.9129496402877698,0.9159591924092174,0.9097287406241785,0.9142612104876255,0.916963670704537,0.9194630872483222,0.92,0.9177276390008058,0.9200221747384434,0.924295544397632,0.9289031797070382,0.9333333333333333,0.9380863039399625,0.9381376614369575,0.9423423423423424,0.9422222222222222,0.9392394278928073,0.941944847605225,0.9371846878983126,0.9373695198329853,0.9404388714733543,0.9429143143000072,0.9425650523869187,0.949685534591195,0.9523809523809523,0.9518312364139385,0.9502136301503612,0.9485562258175186,0.9454573868075977,0.9433962264150944,0.9405204460966543,0.9380933070714093,0.9368788225105661,0.9389280125195618,0.9426612937702812,0.9404388714733543,0.9409255867589201,0.941320293398533,0.9405374499714122,0.9372496662216289,0.9375,0.9348756566302758,0.9340370119753882,0.9347826086956522,0.9358288770053476,0.9426751592356688,0.9454949944382648,0.9447943682845499,0.9440559440559441,0.944755804643715,0.9433962264150944,0.9433962264150944,0.942079553384508,0.9399699849924963,0.9383033419023136,0.9420560747663551,0.9411886507235536,0.9426842844888945,0.9462679949107142,0.9466666666666667,0.9468770837963992,0.9454949944382648,0.9444444444444444,0.944,0.9422800418348962,0.9384615384615385,0.9395180722891566,0.9392523364485982,0.9404242774498988,0.9416666666666667,0.9418721163256747,0.9416004225770964,0.9446676093505413,0.9433962264150944,0.9439339937586423,0.9412550066755674,0.9416909620991254,0.9391025641025641,0.9411764705882353,0.9421859205083256,0.9435742592942065,0.9428571428571428,0.9454545454545454,0.9447943682845499,0.9472902740233969,0.943126607602172,0.94186902133922,0.9419354838709677,0.9389895138226882,0.9352729581041049,0.9340974212034384
9,394347,"Atlanta, GA",Msa,0.8760951188986232,0.8740740740740741,0.87870890168738,0.8898887651696641,0.893254733833512,0.9082345322414285,0.9043015726179464,0.9000064286173473,0.8892900353777189,0.8920451592786988,0.8723489395758304,0.8769230769230769,0.8689602613656096,0.8570918002654957,0.8695652173913043,0.8769230769230769,0.8918008918008918,0.8934953538241601,0.8890434280767565,0.8999714122355632,0.8878764092567544,0.8928571428571429,0.9050920450961841,0.9010136544554568,0.9047380952380952,0.8978987509117433,0.9141494435612083,0.9322033898305084,0.9361362245938414,0.9383072860914865,0.9391650543295054,0.943086318635086,0.9418837675350702,0.9454949944382648,0.9442255664247603,0.9488398678692251,0.9447236180904522,0.954,0.9563318777292577,0.962278675904542,0.9622641509433962,0.9627618084645385,0.9631901840490797,0.9629629629629629,0.96,0.9578544061302682,0.9545454545454546,0.9518518518518518,0.9542857142857143,0.9516752074182528,0.9565217391304348,0.9633935742971887,0.9663585038363542,0.9653370551290998,0.962684549131035,0.9575873070870689,0.9543088490456911,0.950950950950951,0.9488369351753623,0.9480501440495884,0.948270512261993,0.9506337558372249,0.9612875163114397,0.9646237196772696,0.969796977701333,0.9698202780603594,0.967741935483871,0.9635294117647059,0.9614214737385469,0.9576437679218316,0.9571162046908316,0.9550561797752809,0.9550791102958037,0.959126448060762,0.9665897698943822,0.9733333333333334,0.9783106395212084,0.9783172713086923,0.976390556222489,0.9741969457609269,0.97040980750038,0.9696036937283571,0.9682355112587671,0.9658536585365853,0.9666666666666667,0.9675933075933076,0.9754877438719359,0.9793601431370877,0.9825,0.9815668202764977,0.9797199373286329,0.9759903961584634,0.9738279277673825,0.9713467048710601,0.9712863034131789,0.971186951553406,0.97,0.9757894227391033,0.98,0.9870967741935484,0.9887972531289773,0.987012987012987,0.9853561234600766,0.9801595958224556,0.9774015345268542,0.973294893661748,0.9717252107264485,0.9702371428571429,0.9662778601588824,0.9724655819774718
